#
# BUFR diff written from C:/dev/lib/mbufrtools_unx/bufrtables/B0000461300.txt against resource:/resources/bufrTables/wmo/TableB-121109.v14.csv 
#
Class,FXY,enElementName,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits
7, 7217,"LOCATION OF PLATFORM, Z",M,2,-1073741824,31
8, 8193,"TIME QUALIFIER",CODE TABLE 8193,0,0,6
8, 8194,"TOVS/ATOVS PRODUCT QUALIFIER",CODE TABLE 8194,0,0,4
8, 8195,"DATA TYPE",CODE TABLE 8195,0,0,7
8, 8200,"NUMBER OF OBSERVATIONS",NUMERIC,0,0,8
8, 8222,"GENERATOR SIGNIFICANCE",CODE TABLE 8222,0,0,4
8, 8223,"LAND/ICE SURFACE FLAG",FLAG TABLE 8223,0,0,7
8, 8224,"LAND/SEA FRACTION",NUMERIC,3,0,10
8, 8225,"GHRSST SURFACE TYPE",FLAG TABLE 8225,0,0,5
10,10195,"HEIGHT(HIGH ACCURACY)",M,1,-4096,20
10,10196,"SOLAR ZENITH ANGLE",DEGREE,2,-9000,15
10,10197,"ANEMOMETER HEIGHT",M,0,0,9
11,11192,"U - COMPONENT AT 10 M",M/S,1,-4096,13
11,11193,"V - COMPONENT AT 10 M",M/S,1,-4096,13
11,11194,"W - COMPONENT AT 10 M",M/S,1,-4096,13
11,11195,"STEADINESS OF WIND",%,0,0,7
11,11196,"FRICTION VELOCITY",M/S,5,0,19
11,11201,"HORIZONTAL LINE OF SIGHT COMPONENT",M/S,1,-4096,13
11,11210,"1D VAR WIND SPEED RETREIVED ERRO(S)",M/S,2,0,12
11,11211,"WIND SPEED INDEPENDENT ESTIMATE OF ERROR(S)",M/S,2,0,12
11,11220,"FORMAL UNCERTAINTY IN WIND SPEED",M/S,2,0,12
11,11221,"FORMAL UNCERTAINTY IN WIND DIRECTION",DEGREE TRUE,2,0,15
11,11230,"MAXIMUM MEAN WIND SPEED",M/S,1,-4096,13
11,11231,"MEAN WIND SPEED",M/S,1,-4096,13
11,11232,"MINIMUM MEAN WIND SPEED",M/S,1,-4096,13
11,11233,"HIGHEST GUST DURING THE 10 MINUTE PERIOD PRECEDING OBSERVATION",M/S,1,-4096,13
12,12073,"TEMPERATURE",K,2,0,16
12,12193,"COLDEST CLUSTER TEMPERATURE",K,1,0,12
12,12194,"RADIANCE",W/M**2*STER*M**(-1),6,0,31
12,12195,"SPECTRAL RADIANCE",W/M**2*STER*M**(-1),10,0,31
12,12196,"RADIANCE",W/M**2*STER,3,0,16
12,12197,"MAXIMUM TEMPERATURE AT 2M, PAST  3 HOURS",K,1,0,12
12,12198,"MINIMUM TEMPERATURE AT 2M, PAST  3 HOURS",K,1,0,12
12,12199,"MAXIMUM TEMPERATURE AT 2M, PAST  6 HOURS",K,1,0,12
12,12200,"MINIMUM TEMPERATURE AT 2M, PAST  6 HOURS",K,1,0,12
13,13192,"RELATIVE HUMIDITY AT 2 M",%,0,0,8
13,13193,"RELATIVE HUMIDITY",%,0,0,8
13,13194,"TOTAL COLUMN WATER",KG/M**2,2,0,11
13,13195,"RAIN RATE",KG/M**2HOUR,0,0,5
13,13196,"ANTECEDENT PRECIPITATION INDEX",KG/M**2,0,0,7
13,13197,"TOTAL COLUMN WATER VAPOUR",KG/M**2,1,0,10
13,13198,"RAIN FLAG",CODE TABLE 13198,0,0,3
13,13199,"SPECIFIC HUMIDITY AT 2 M",KG/KG,5,0,14
13,13201,"CLOUD LIQUID WATER",KG/KG,7,0,14
13,13202,"TYPE OF SURFACE",CODE TABLE 13202,0,0,8
13,13203,"1D VAR ESTIMATE OF RAIN RATE",KG/M**2*HOUR,2,0,12
13,13204,"SSMI INDEPENDENT ESTIMATE OF RAIN RATE",KG/M**2*HOUR,2,0,12
13,13205,"CLOUD LIQUID WATER PATH",KG/M**2,4,0,14
13,13206,"TOTAL PRECIPITATION ICE CONTENT",KG/M**2,6,0,14
13,13207,"TOTAL CLOUD LIQUID WATER",KG/M**2,6,0,14
13,13208,"SURFACE RAIN RATE ( INSTANTANEOUS )",KG/M**2*S,5,0,17
13,13209,"RAIN POSSIBILITY",NUMERIC,0,-256,9
13,13210,"1D VAR CLOUD LIQUID WATER PATH RETRIEVED ERROR(S)",KG/M**2,4,0,14
13,13211,"TOTAL PRECIPITABLE WATER INDIPENDENT ESTIMATE OF ERROR(S)",KG/M**2,2,0,11
13,13212,"CLOUD LIQUID WATER PATH INDIPENDENT ESTIMATE OF ERROR(S)",KG/M**2,4,0,14
13,13230,"CONVECTIVE PRECIPITATION",KG/M**2,1,-1,14
13,13231,"LARGE SCALE PRECIPITATION",KG/M**2,1,-1,14
13,13240,"AIR DENSITY",KG/M**3,3,0,10
13,13241,"CONVECTIVE AVAILABLE POTENTIAL ENERGY",J/KG,1,0,17
14,14001,"LONG-WAVE RADIATION, INTEGRATED OVER 24 HOURS",J/M**2,-3,-2048,12
14,14002,"LONG-WAVE RADIATION, INTEGRATED OVER PERIOD SPECIFIED",J/M**2,-3,-2048,12
14,14003,"SHORT-WAVE RADIATION, INTEGRATED OVER 24 HOURS",J/M**2,-3,-2048,12
14,14004,"SHORT-WAVE RADIATION, INTEGRATED OVER PERIOD SPECIFIED",J/M**2,-3,-2048,12
14,14011,"NET LONG-WAVE RADIATION, INTEGRATED OVER 24 HOURS",J/M**2,-3,-2048,12
14,14012,"NET LONG-WAVE RADIATION, INTEGRATED OVER PERIOD SPECIFIED",J/M**2,-3,-2048,12
14,14013,"NET SHORT-WAVE RADIATION, INTEGRATED OVER 24 HOURS",J/M**2,-3,-2048,12
14,14014,"NET SHORT-WAVE RADIATION, INTEGRATED OVER PERIOD SPECIFIED",J/M**2,-3,-2048,12
14,14017,"INSTANTANEOUS LONG-WAVE RADIATION (SEE NOTE 6)",W/M**2,-3,-2048,12
14,14018,"INSTANTANEOUS SHORT-WAVE RADIATION (SEE NOTE 6)",W/M**2,-3,-2048,12
14,14028,"GLOBAL SOLAR RADIATION (HIGH ACCURACY), INTEGRATED OVER PERIOD S",J/M**2,-2,0,16
14,14029,"DIFFUSE SOLAR RADIATION (HIGH ACCURACY), INTEGRATED OVER PERIOD",J/M**2,-2,0,16
14,14030,"DIRECT SOLAR RADIATION (HIGH ACCURACY), INTEGRATED OVER PERIOD S",J/M**2,-2,0,16
14,14061,"(VAL) INSTANTANEOUS LONG-WAVE RADIATION",W/M**2,0,-512,10
14,14062,"(VAL) INSTANTANEOUS SHORT-WAVE RADIATION",W/M**2,0,-2048,12
15,15202,"INTEGRATED ELECTRON DENSITY",1/M**2,3,13000,12
15,15231,"ATMOSPHERIC PATH DELAY IN SATELLITE SIGNAL",M,4,0,15
20,20192,"SPECIAL PHENOMENA",CODE TABLE  20192,0,0,14
20,20193,"CLOUD AMOUNT IN SEGMENT",%,0,0,7
20,20194,"AMOUNT OF SEGMENT CLOUD FREE",%,0,0,7
20,20215,"PRESSURE AT THE BASE OF CLOUD",PA,-1,0,14
20,20249,"SEA-ICE FRACTION",NUMERIC,2,0,7
20,20250,"CALCULATED SURFACE TYPE",CODE TABLE 20250,0,0,5
20,20251,"ICE AGE",CODE TABLE 20251,0,0,3
20,20252,"ICE EDGE",CODE TABLE 20252,0,0,3
20,20253,"SURFACE TYPE",CODE TABLE 20253,0,0,3
20,20254,"ICE CONCENTRATION",%,0,0,7
21,21192,"RADAR BACK SCATTER",dB,2,-5000,13
21,21193,"NOISE FIGURE",%,0,0,7
21,21194,"BACKGROUND NOISE LEVEL",NUMERIC,0,0,8
21,21195,"MISSING PACKET COUNTER",NUMERIC,0,-127,8
21,21196,"UWA PRODUCT CONFIDENCE",FLAG TABLE 21196,0,0,12
21,21197,"UWI PRODUCT CONFIDENCE",FLAG TABLE 21197,0,0,12
21,21198,"URA PRODUCT CONFIDENCE",FLAG TABLE 21198,0,0,8
21,21199,"UAT PRODUCT CONFIDENCE",FLAG TABLE 21199,0,0,7
21,21200,"MWI PRODUCT CONFIDENCE",FLAG TABLE 21200,0,0,15
21,21201,"PEAKINESS",NUMERIC,0,0,16
21,21202,"ALTIMETER CALIBRATION STATUS",FLAG TABLE 21202,0,0,4
21,21203,"ALTIMETER INSTRUMENT MODE",FLAG TABLE 21203,0,0,9
21,21204,"MULTI/SINGLE VIEW DIFFERENCE",K,2,-512,10
21,21205,"SPECTRAL INTENSITY",NUMERIC,0,0,8
21,21206,"REPRESENTATION OF INTENSITY",CODE TABLE 21206,0,0,3
21,21207,"ALTITUDE CORRECTION (IONOSPHERE)",M,3,0,14
21,21208,"ALTITUDE CORRECTION (DRY TROPOSPHERE)",M,3,0,9
21,21209,"LTITUDE CORRECTION (WET TROPOSPHERE)",M,3,2000,10
21,21210,"ALTITUDE CORRECTION (CALIBRATION CONSTANT)",M,3,0,11
21,21211,"OPEN LOOP CORRECTION (HTL)",M,3,0,10
21,21212,"OPEN LOOP CORRECTION (AGC)",dB,3,-3000,14
21,21213,"AMBIGUITY REMOVAL CONFIDENCE",%,0,0,7
21,21214,"UAT QUALITY SUMMARY",CODE TABLE 21214,0,0,3
21,21215,"UAT ACROSS-TRACK BAND NO.",NUMERIC,0,0,4
21,21222,"DOPPLER SPECTRUM 0 TH MOMENT (AMPLITUDE)",dB,0,0,7
21,21225,"PRESCAT PRODUCT CONFIDENCE",FLAG TABLE 21225,0,0,6
21,21226,"BACKSCATER DISTANCE",NUMERIC,1,-4096,13
21,21230,"NUMBER OF VECTOR AMBIGUITIES",NUMERIC,0,0,3
21,21231,"INDEX OF SELECTED WIND VECTOR",NUMERIC,0,0,3
21,21232,"TOTAL NMBER OF SIGMA-0 MEASUREMENTS",NUMERIC,0,0,5
21,21233,"NUMBER OF SIGMA-0 USABLE FOR WIND",NUMERIC,0,0,5
21,21234,"LIKELIHOOD COMPUTED FOR SOLUTION",NUMERIC,1,-10000,14
21,21235,"WIND VECTOR CELL QUALITY FLAG",FLAG TABLE 21235,0,0,3
21,21236,"NUMBER OF FORE-BEAM SIGMA-0",NUMERIC,1,0,6
21,21237,"NUMBER OF MID-BEAM V-POL SIGMA-0",NUMERIC,1,0,6
21,21238,"NUMBER OF MID-BEAM H-POL SIGMA-0",NUMERIC,1,0,6
21,21239,"NUMBER OF AFT-BEAM SIGMA-0",NUMERIC,1,0,6
21,21240,"NORMALIZED RADAR CROSS SECTION",NUMERIC,2,-10000,14
21,21241,"Kp VARIANCE COEFFICIENT (ALPHA)",NUMERIC,5,0,14
21,21242,"Kp VARIANCE COEFFICIENT (BETHA)",NUMERIC,6,0,16
21,21243,"Kp VARIANCE COEFFICIENT (GAMMA)",NUMERIC,6,0,16
21,21244,"SIGMA-0 QUALITY FLAG",FLAG TABLE 21244,0,0,15
22,22039,"METEOROLOGICAL RESIDUAL TIDAL ELEVATION (SURGE OR OFFSET)",M,3,-5000,12
22,22192,"SPECTRAL PERIOD",S,2,0,13
22,22193,"MEAN WAVENUMBER",1/M,5,0,15
22,22194,"PEAK WAVENUMBER",1/M,5,0,15
22,22195,"MEAN WAVE PROPAGATION DIRECTION",DEGREE,1,0,13
22,22196,"PEAK WAVE PROPAGATION DIRECTION",DEGREE,1,0,13
22,22197,"DIRECTION SPREAD",DEGREE,1,0,13
22,22198,"VARIANCE SPECTRAL DENSITY",M**2*S/RAD,4,0,18
22,22199,"CORRELATION COEFF OF SIMULATED FG AND OBSERVED SAR SPECTRUM",NUMERIC,4,-10000,15
22,22200,"CORRELATION COEFF OF SIMULATED BF AND OBSERVED SAR SPECTRUM",NUMERIC,4,-10000,15
22,22201,"CORRELATION COEFF OF OCEAN WAVE FG AND EXTRACTED WAVE SPECTRUM",NUMERIC,4,-10000,15
22,22202,"ERROR BETWEEN FIRST GUESS AND OBSERVED SAR",NUMERIC,5,0,21
22,22203,"ERROR BETWEEN SIMULATED AND OBSERVED SAR",NUMERIC,5,0,21
22,22204,"MEAN PERIOD OF WAVES",SECOND,2,0,13
22,22205,"SPECTRAL DENSITY",M**2*S/RAD,4,0,25
22,22206,"PEAK PERIOD OF WAVES",SECOND,2,0,13
22,22207,"MEAN WAVE PERIOD",S,1,0,10
22,22208,"PEAK PERIOD OF 1D SPECTRA",S,1,0,10
22,22209,"COEFICIENT OF DRAG WITH WAVES",NUMERIC,6,0,13
22,22210,"MEAN SQUARE SLOPE OF WAVES",NUMERIC,4,-10000,14
22,22211,"COEFICIENT OF DRAG WITH WAVES",NUMERIC,6,0,17
22,22243,"STANDARD DEVIATION SIGNIFICANT WAVE HEIGHT",M,2,0,10
25,25193,"ATTENUATION CORRECTION ON SIGMA0",dB,3,0,14
25,25194,"MAJOR FRAME COUNT",NUMERIC,0,0,4
25,25197,"ANTENNA CORRECTIONS VERSION NUMBER",NUMERIC,0,0,5
25,25198,"LOG (TEMP-RAD CENTRAL WAVE NUMBER)",1/M,8,0,30
25,25199,"BANDWIDTH CORRECTION COEFFICIENT 1",NUMERIC,4,-10000,15
25,25200,"BANDWIDTH CORRECTION COEFFICIENT 2",NUMERIC,5,0,17
25,25201,"ALBEDO-RAD SOLAR FILTERED IRRADIANCE",NUMERIC,4,0,24
25,25202,"ALBEDO-RAD EQUIVALENT FILTER WIDTH",NUMERIC,10,0,14
25,25203,"SCAN LINE STATUS FLAGS FOR ATOVS",FLAG TABLE 25203,0,0,31
25,25204,"SCAN LINE QUALITY FLAGS FOR ATOVS",FLAG TABLE 25204,0,0,31
25,25205,"CHANNEL QUALITY FLAGS FOR ATOVS",FLAG TABLE 25205,0,0,31
25,25206,"FOV QUALITY FLAGS FOR ATOVS",FLAG TABLE 25206,0,0,31
26,26193,"YEAR",YEAR,0,0,12
26,26194,"MONTH",MONTH,0,0,4
26,26195,"DAY",DAY,0,0,6
26,26196,"HOUR",HOUR,0,0,5
26,26197,"MINUTE",MINUTE,0,0,6
26,26198,"SECOND",SECOND,0,0,6
26,26200,"LOCATION WITHIN ASSIMILATION WINDOW IN TIME",NUMERIC,6,0,20
26,26201,"HOURS INCLUDED",FLAG TABLE 26201,0,0,26
27,27193,"SOLAR AZIMUTH",DEGREE TRUE,2,0,16
30,30193,"POSITION NUMBER ALONG SCAN",NUMERIC,0,0,8
33,33066,"SBUV TOTAL OZONE QUALITY",CODE TABLE 33066,0,0,4
33,33067,"SBUV PROFILE OZONE QUALITY",CODE TABLE 33067,0,0,4
33,33193,"DATA QUALITY 3 BIT CODE",CODE TABLE 33193,0,0,3
33,33194,"DATA QUALITY 2 BIT CODE",CODE TABLE 33194,0,0,2
33,33195,"ECMWF SAR QC INDICATOR",CODE TABLE 33195,0,0,5
33,33196,"ECMWF WAM QC INDICATOR",CODE TABLE 33196,0,0,2
33,33197,"ECMWF SAR INVERSION QC INDICATOR",CODE TABLE 33197,0,0,3
33,33198,"MINIMUM COST",NUMERIC,4,0,14
33,33199,"1D VAR TOTAL PRECIPITABLE WATER RETRIEVED ERROR(S)",KG/M**2,2,0,11
33,33200,"ANALYSIS REPORT EVENTS",FLAG TABLE 33200,0,0,31
33,33201,"ANALYSIS REPORT STATUS EVENT",FLAG TABLE 33201,0,0,13
33,33202,"ANALYSIS DATUM EVENT FLAGS (1)",FLAG TABLE 33202,0,0,31
33,33203,"ANALYSIS DATUM EVENT FLAGS (2)",FLAG TABLE 33203,0,0,11
33,33204,"ANALYSIS DATUM STATUS FLAGS",FLAG TABLE 33204,0,0,21
33,33205,"VARIATIONAL ANALYSIS BLACK LIST FLAG",CODE TABLE 33205,0,0,4
33,33206,"VARIATIONAL ANALYSIS QUALITY CONTROL FLAG",CODE TABLE 33206,0,0,4
33,33207,"VARIATIONAL ANALYSIS DEPARTURE FLAG",CODE TABLE 33207,0,0,4
33,33208,"VARIATIONAL ANALYSIS FIRST QUESS CHECK FLAG",CODE TABLE 33208,0,0,4
33,33209,"VARIATIONAL ANALYSIS FINAL FLAG",CODE TABLE 33209,0,0,4
33,33210,"INCREMENTAL VARIATIONAL ANALYSIS UPDATE NUMBER",NUMERIC,0,0,7
33,33211,"MINIMISATION SIMULATION NUMBER",NUMERIC,0,0,10
33,33212,"1D VAR ITERATION NUMBER",NUMERIC,0,0,10
33,33213,"1D VAR RADIANCE COST",NUMERIC,1,-1000,11
33,33214,"1D VAR ERROR(S)",FLAG TABLE 33214,0,0,11
33,33215,"DIRECTIONAL SKILL",NUMERIC,1,-4096,13
33,33216,"1D VAR SURFACE TYPE QUALITY CONTROL",CODE TABLE 33216,0,0,3
33,33217,"1D VAR FAILURE INDICATOR",CODE TABLE 33217,0,0,2
33,33218,"1D VAR ESTIMATE OF SCATTERING",NUMERIC,2,0,12
33,33219,"SSMI INDIPENDENT SCATTERING INDEX",NUMERIC,2,-50000,16
33,33220,"VARIATIONAL ANALYSIS REPORT EVENTS (1)",FLAG TABLE 33220,0,0,31
33,33221,"VARIATIONAL ANALYSIS SYNOP EVENTS (2)",FLAG TABLE 33221,0,0,31
33,33222,"VARIATIONAL ANALYSIS AIREP EVENTS (2)",FLAG TABLE 33222,0,0,31
33,33223,"VARIATIONAL ANALYSIS SATOB EVENTS (2)",FLAG TABLE 33223,0,0,31
33,33224,"VARIATIONAL ANALYSIS DRIBU EVENTS (2)",FLAG TABLE 33224,0,0,31
33,33225,"VARIATIONAL ANALYSIS TEMP EVENTS (2)",FLAG TABLE 33225,0,0,31
33,33226,"VARIATIONAL ANALYSIS PILOT EVENTS (2)",FLAG TABLE 33226,0,0,31
33,33227,"VARIATIONAL ANALYSIS SATEM/TOVS EVENTS (2)",FLAG TABLE 33227,0,0,31
33,33228,"VARIATIONAL ANALYSIS PAOB EVENTS (2)",FLAG TABLE 33228,0,0,31
33,33229,"VARIATIONAL ANALYSIS SCATTEROMETER EVENTS (2)",FLAG TABLE 33229,0,0,31
33,33230,"VARIATIONAL ANALYSIS RAW RADIANCES EVENTS (2)",FLAG TABLE 33230,0,0,31
33,33231,"PRESAT SUMMARY FLAGS",FLAG TABLE 33231,0,0,6
33,33232,"REPORT BLACK LIST EVENTS",FLAG TABLE 33232,0,0,31
33,33233,"VARIATIONAL ANALYSIS REPORT STATUS",FLAG TABLE 33233,0,0,31
33,33234,"VARIATIONAL ANALYSIS DATUM STATUS",FLAG TABLE 33234,0,0,31
33,33236,"VARIATIONAL ANALYSIS DATUM EVENTS (1)",FLAG TABLE 33236,0,0,31
33,33237,"VARIATIONAL ANALYSIS SYNOP DATUM EVENTS (2)",FLAG TABLE 33237,0,0,31
33,33238,"VARIATIONAL ANALYSIS AIREP DATUM EVENTS (2)",FLAG TABLE 33238,0,0,31
33,33239,"VARIATIONAL ANALYSIS SATOB DATUM EVENTS (2)",FLAG TABLE 33239,0,0,31
33,33240,"VARIATIONAL ANALYSIS DRIBU DATUM EVENTS (2)",FLAG TABLE 33240,0,0,31
33,33241,"GROSS ERROR PROBABILITY",NUMERIC,3,0,10
33,33242,"GROSS ERROR INDICATOR",CODE TABLE 33242,0,0,2
33,33243,"VARIATIONAL ANALYSIS TEMP DATUM EVENTS (2)",FLAG TABLE 33243,0,0,31
33,33244,"VARIATIONAL ANALYSIS PILOT DATUM EVENTS (2)",FLAG TABLE 33244,0,0,31
33,33245,"VARIATIONAL ANALYSIS SATEM/TOVS DATUM EVENTS (2)",FLAG TABLE 33245,0,0,31
33,33246,"VARIATIONAL ANALYSIS PAOB DATUM EVENTS (2)",FLAG TABLE 33246,0,0,31
33,33247,"VARIATIONAL ANALYSIS SCATTEROMETER DATUM EVENTS (2)",FLAG TABLE 33247,0,0,31
33,33248,"VARIATIONAL ANALYSIS RAW RADIANCES DATUM EVENTS (2)",FLAG TABLE 33248,0,0,31
33,33249,"DATUM BLACK LIST EVENTS",FLAG TABLE 33249,0,0,31
33,33250,"PROBABILITY OF GROSS ERROR",NUMERIC,6,0,20
33,33251,"RANGE OF POSSIBLE VALUES",NUMERIC,2,0,14
33,33252,"MANUAL-AUTOMATIC QUALITY CONTROL",CODE TABLE 33252,0,0,4
33,33253,"NOMINAL CONFIDENCE THRESHOLD",%,0,0,7
33,33254,"WIND CORRELATION METHOD",FLAG TABLE 33254,0,0,20
49,49193,"SAR INVERSION QC FLAGS",FLAG TABLE 49193,0,0,15
49,49194,"ALTIMETER WAVE HEIGHT QC FLAFS",FLAG TABLE 49194,0,0,15
