"No","CodeFigure_OriginatingCentres","Name_OriginatingCentres_E","CodeFigure_SubCentres","Name_SubCentres_E","Status"
62,"74","UK Met Office, Exeter (RSMC)","23","GeoForschungs Zentrum (Germany)","Operational"
63,"74","UK Met Office, Exeter (RSMC)","24","Geodetic Observatory Pecny (Czech Republic)","Operational"
64,"74","UK Met Office, Exeter (RSMC)","25","Institut d'Estudis Espacials de Catalunya (Spain)","Operational"
65,"74","UK Met Office, Exeter (RSMC)","26","Federal Office of Topography (Switzerland)","Operational"
66,"74","UK Met Office, Exeter (RSMC)","27","Nordic Commission of Geodesy (Norway)","Operational"
67,"74","UK Met Office, Exeter (RSMC)","28","Nordic Commission of Geodesy (Sweden)","Operational"
68,"74","UK Met Office, Exeter (RSMC)","29","Institute Géographique National (France) - Service de géodésie","Operational"
69,"74","UK Met Office, Exeter (RSMC)","30","Bundesamt für Kartographie und Geodäsie (Germany)","Operational"
70,"74","UK Met Office, Exeter (RSMC)","31","Institute of Engineering Satellite Surveying and Geodesy (U.K.)","Operational"
71,"74","UK Met Office, Exeter (RSMC)","32","Joint Operational Meteorology and Oceanography Centre (JOMOC)","Operational"
72,"74","UK Met Office, Exeter (RSMC)","33","Koninklijk Nederlands Meteorologisch Institut (Netherlands)","Operational"
73,"74","UK Met Office, Exeter (RSMC)","34","Nordic GPS Atmospheric Analysis centre (Sweden)","Operational"
74,"74","UK Met Office, Exeter (RSMC)","35","Instituto Geografico Nacional de España (Spain)","Operational"
75,"74","UK Met Office, Exeter (RSMC)","36","Met Éireann (Ireland)","Operational"
76,"74","UK Met Office, Exeter (RSMC)","37","Royal Observatory of Belgium (Belgium)","Operational"
77,"89","Prague (RTH)","1","Solar and Ozone Observatory Hradec Kralove","Operational"
78,,"Additional centres",,,"Operational"
79,"110","Hong-Kong, China","229","Hong-Kong","Operational"
80,"147","National Commission on Space Activities (CONAE) - Argentina","10","Córdoba","Operational"
81,"147","National Commission on Space Activities (CONAE) - Argentina","15","Ushuaia","Operational"
82,"147","National Commission on Space Activities (CONAE) - Argentina","20","Marambio","Operational"
83,"147","National Commission on Space Activities (CONAE) - Argentina","30","Santiago de Chile","Operational"
84,"147","National Commission on Space Activities (CONAE) - Argentina","40","Punta Arenas","Operational"
85,"147","National Commission on Space Activities (CONAE) - Argentina","50","Base Presidente Frei","Operational"
86,"147","National Commission on Space Activities (CONAE) - Argentina","60","Cotopaxi","Operational"
87,"160","U.S. NOAA/NESDIS","10","Tromso (Norway)","Operational"
88,"160","U.S. NOAA/NESDIS","11","McMurdo (Antarctica)","Operational"
89,"161","U.S. NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR)","1","Great Lakes Environmental Research Laboratory","Operational"
90,"161","U.S. NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR)","2","Earth System Research Laboratory","Operational"
91,"173","US National Aeronautics and Space Administration (NASA)","1","Ames Research Center","Operational"
92,"173","US National Aeronautics and Space Administration (NASA)","2","Dryden Flight Research Center","Operational"
93,"173","US National Aeronautics and Space Administration (NASA)","3","Glenn Research Center","Operational"
94,"173","US National Aeronautics and Space Administration (NASA)","4","Goddard Space Flight Center","Operational"
95,"173","US National Aeronautics and Space Administration (NASA)","5","Jet Propulsion Laboratory","Operational"
96,"173","US National Aeronautics and Space Administration (NASA)","6","Johnson Space Center","Operational"
97,"173","US National Aeronautics and Space Administration (NASA)","7","Kennedy Space Center","Operational"
98,"173","US National Aeronautics and Space Administration (NASA)","8","Langley Research Center","Operational"
99,"173","US National Aeronautics and Space Administration (NASA)","9","Marshall Space Flight Center","Operational"
100,"173","US National Aeronautics and Space Administration (NASA)","10","Stennis Space Center","Operational"
101,"173","US National Aeronautics and Space Administration (NASA)","11","Goddard Institute for Space Studies","Operational"
102,"173","US National Aeronautics and Space Administration (NASA)","12","Independent Verification and Validation Facility","Operational"
103,"173","US National Aeronautics and Space Administration (NASA)","13","NASA Shared Service Center","Operational"
104,"173","US National Aeronautics and Space Administration (NASA)","14","Wallops Flight Facility","Operational"
105,"176","Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States","10","Tromso (Norway)","Operational"
106,"176","Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States","11","McMurdo (Antarctica)","Operational"
107,"176","Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States","12","Sodankyla (Finland)","Operational"
108,"176","Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States","13","Fairbanks (United States)","Operational"
109,"176","Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States","14","Barrow (United States)","Operational"
110,"176","Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States","15","Rothera (Antarctica)","Operational"
111,"177","U.S. NOAA National Ocean Service","1","Centre for Operational Oceanographic Products and Services ","Operational"
112,"177","U.S. NOAA National Ocean Service","2","Coastal Survey Development Laboratory","Operational"
113,"204","National Institute of Water and Atmospheric Research 
(NIWA - New Zealand)","101","Maupia","Operational"
114,"204","National Institute of Water and Atmospheric Research 
(NIWA - New Zealand)","102","Lauder","Operational"
115,"250","COSMO (COnsortium for Small scale MOdelling)","76","RHM (Russia)","Operational"
116,"250","COSMO (COnsortium for Small scale MOdelling)","78","DWD (Germany)","Operational"
117,"250","COSMO (COnsortium for Small scale MOdelling)","80","USAM (Italy)","Operational"
118,"250","COSMO (COnsortium for Small scale MOdelling)","96","HNMS (Greece)","Operational"
119,"250","COSMO (COnsortium for Small scale MOdelling)","215","MCH (Switzerland)","Operational"
120,"250","COSMO (COnsortium for Small scale MOdelling)","220","IMGW (Poland)","Operational"
121,"250","COSMO (COnsortium for Small scale MOdelling)","242","NMA (Romania)","Operational"
122,"254","EUMETSAT Operation Centre","10","Tromso (Norway)","Operational"
123,"254","EUMETSAT Operation Centre","20","Maspalomas (Spain)","Operational"
124,"254","EUMETSAT Operation Centre","30","Kangerlussuaq (Greenland)","Operational"
125,"254","EUMETSAT Operation Centre","40","Edmonton (Canada)","Operational"
126,"254","EUMETSAT Operation Centre","50","Bedford (Canada)","Operational"
127,"254","EUMETSAT Operation Centre","60","Gander (Canada)","Operational"
128,"254","EUMETSAT Operation Centre","70","Monterey United States)","Operational"
129,"254","EUMETSAT Operation Centre","80","Wallops Island (United States)","Operational"
130,"254","EUMETSAT Operation Centre","90","Gilmor Creek (United States)","Operational"
131,"254","EUMETSAT Operation Centre","100","Athens (Greece)","Operational"
132,"254","EUMETSAT Operation Centre","120","Ewa Beach, Hawaii","Operational"
133,"254","EUMETSAT Operation Centre","130","Miami, Florida","Operational"
134,"254","EUMETSAT Operation Centre","140","Lannion (France)","Operational"
135,"254","EUMETSAT Operation Centre","150","Svalbard (Norway)","Operational"
136,"254","EUMETSAT Operation Centre","170","St Denis (La Réunion)","Operational"
137,"254","EUMETSAT Operation Centre","180","Moscow","Operational"
138,"254","EUMETSAT Operation Centre","190","Muscat","Operational"
139,"254","EUMETSAT Operation Centre","200","Khabarovsk","Operational"
140,"254","EUMETSAT Operation Centre","210","Novosibirsk","Operational"
