"No","CodeFigure","Meaning_E","ChemicalFormula","Status"
99,"30018","Nitrogen 13","N-13 ","Operational"
100,"30019","Nitrogen 16","N-16 ","Operational"
101,"30020","Fluorine 18","F-18","Operational"
102,"30021","Sodium 22","Na-22 ","Operational"
103,"30022","Phosphate 32","P-32 ","Operational"
104,"30023","Phosphate 33","P-33","Operational"
105,"30024","Sulfur 35","S-35","Operational"
106,"30025","Chlorine 36","Cl-36","Operational"
107,"30026","Potassium 40","K-40 ","Operational"
108,"30027","Argon 41","Ar-41 ","Operational"
109,"30028","Calcium 41","Ca-41","Operational"
110,"30029","Calcium 45","Ca-45","Operational"
111,"30030","Titanium 44","Ti-44","Operational"
112,"30031","Scandium 46","Sc-46 ","Operational"
113,"30032","Vanadium 48","V-48","Operational"
114,"30033","Vanadium 49","V-49","Operational"
115,"30034","Chrome 51","Cr-51 ","Operational"
116,"30035","Manganese 52","Mn-52","Operational"
117,"30036","Manganese 54","Mn-54 ","Operational"
118,"30037","Iron 55","Fe-55 ","Operational"
119,"30038","Iron 59","Fe-59","Operational"
120,"30039","Cobalt 56","Co-56","Operational"
121,"30040","Cobalt 57","Co-57 ","Operational"
122,"30041","Cobalt 58","Co-58","Operational"
123,"30042","Cobalt 60","Co-60","Operational"
124,"30043","Nickel 59","Ni-59","Operational"
125,"30044","Nickel 63","Ni-63 ","Operational"
126,"30045","Zinc 65","Zn-65 ","Operational"
127,"30046","Gallium 67","Ga-67","Operational"
128,"30047","Gallium 68","Ga-68","Operational"
129,"30048","Germanium 68","Ge-68","Operational"
130,"30049","Germanium 69","Ge-69","Operational"
131,"30050","Arsenic 73","As-73","Operational"
132,"30051","Selenium 75","Se-75 ","Operational"
133,"30052","Selenium 79","Se-79","Operational"
134,"30053","Rubidium 81","Rb-81","Operational"
135,"30054","Rubidium 83","Rb-83","Operational"
136,"30055","Rubidium 84","Rb-84","Operational"
137,"30056","Rubidium 86","Rb-86","Operational"
138,"30057","Rubidium 87","Rb-87","Operational"
139,"30058","Rubidium 88","Rb-88","Operational"
140,"30059","Krypton 85","Kr-85 ","Operational"
141,"30060","Krypton 85 metastable","Kr-85m","Operational"
142,"30061","Krypton 87","Kr-87","Operational"
143,"30062","Krypton 88","Kr-88","Operational"
144,"30063","Krypton 89","Kr-89","Operational"
145,"30064","Strontium 85","Sr-85 ","Operational"
146,"30065","Strontium 89","Sr-89","Operational"
147,"30066","Strontium 89/90","Sr-8990 ","Operational"
148,"30067","Strontium 90","Sr-90","Operational"
149,"30068","Strontium 91","Sr-91","Operational"
150,"30069","Strontium 92","Sr-92","Operational"
151,"30070","Yttrium 87","Y-87 ","Operational"
152,"30071","Yttrium 88","Y-88","Operational"
153,"30072","Yttrium 90","Y-90","Operational"
154,"30073","Yttrium 91","Y-91","Operational"
155,"30074","Yttrium 91 metastable","Y-91m","Operational"
156,"30075","Yttrium 92","Y-92","Operational"
157,"30076","Yttrium 93","Y-93","Operational"
158,"30077","Zirconium 89","Zr-89 ","Operational"
159,"30078","Zirconium 93","Zr-93","Operational"
160,"30079","Zirconium 95","Zr-95","Operational"
161,"30080","Zirconium 97","Zr-97","Operational"
162,"30081","Niobium 93 metastable","Nb-93m ","Operational"
163,"30082","Niobium 94","Nb-94","Operational"
164,"30083","Niobium 95","Nb-95","Operational"
165,"30084","Niobium 95 metastable","Nb-95m","Operational"
166,"30085","Niobium 97","Nb-97","Operational"
167,"30086","Niobium 97 metastable","Nb-97m","Operational"
168,"30087","Molybdenum 93","Mo-93 ","Operational"
169,"30088","Molybdenum 99","Mo-99","Operational"
170,"30089","Technetium 95 metastable","Tc-95m ","Operational"
171,"30090","Technetium 96","Tc-96","Operational"
172,"30091","Technetium 99","Tc-99","Operational"
173,"30092","Technetium 99 metastable","Tc-99m","Operational"
174,"30093","Rhodium 99","Rh-99","Operational"
175,"30094","Rhodium 101","Rh-101","Operational"
176,"30095","Rhodium 102 metastable","Rh-102m","Operational"
177,"30096","Rhodium 103 metastable","Rh-103m","Operational"
178,"30097","Rhodium 105","Rh-105","Operational"
179,"30098","Rhodium 106","Rh-106","Operational"
180,"30099","Palladium 100","Pd-100","Operational"
181,"30100","Palladium 103","Pd-103","Operational"
182,"30101","Palladium 107","Pd-107","Operational"
183,"30102","Ruthenium 103","Ru-103 ","Operational"
184,"30103","Ruthenium 105","Ru-105","Operational"
185,"30104","Ruthenium 106","Ru-106","Operational"
186,"30105","Silver 108 metastable","Ag-108m ","Operational"
187,"30106","Silver 110 metastable","Ag-110m","Operational"
188,"30107","Cadmium 109","Cd-109","Operational"
189,"30108","Cadmium 113 metastable","Cd-113m","Operational"
190,"30109","Cadmium 115 metastable","Cd-115m","Operational"
191,"30110","Indium 114 metastable","In-114m","Operational"
192,"30111","Tin 113","Sn-113 ","Operational"
193,"30112","Tin 119 metastable","Sn-119m","Operational"
194,"30113","Tin 121 metastable","Sn-121m","Operational"
195,"30114","Tin 122","Sn-122 ","Operational"
196,"30115","Tin 123","Sn-123 ","Operational"
197,"30116","Tin 126","Sn-126 ","Operational"
198,"30117","Antimony 124","Sb-124 ","Operational"
199,"30118","Antimony 125","Sb-125 ","Operational"
200,"30119","Antimony 126","Sb-126 ","Operational"
201,"30120","Antimony 127","Sb-127 ","Operational"
202,"30121","Antimony 129","Sb-129 ","Operational"
203,"30122","Tellurium 123 metastable","Te-123m ","Operational"
204,"30123","Tellurium 125 metastable","Te-125m","Operational"
205,"30124","Tellurium 127","Te-127","Operational"
206,"30125","Tellurium 127 metastable","Te-127m","Operational"
207,"30126","Tellurium 129","Te-129","Operational"
208,"30127","Tellurium 129 metastable","Te-129m","Operational"
209,"30128","Tellurium 131 metastable","Te-131m","Operational"
210,"30129","Tellurium 132","Te-132","Operational"
211,"30130","Iodine 123","I-123 ","Operational"
212,"30131","Iodine 124","I-124","Operational"
213,"30132","Iodine 125","I-125","Operational"
214,"30133","Iodine 126","I-126","Operational"
215,"30134","Iodine 129","I-129","Operational"
216,"30135","Iodine 129 elementary gaseous","I-129g ","Operational"
217,"30136","Iodine 129 organic bounded","I-129o ","Operational"
218,"30137","Iodine 131","I-131","Operational"
219,"30138","Iodine 131 elementary gaseous","I-131g ","Operational"
220,"30139","Iodine 131 organic bounded","I-131o ","Operational"
221,"30140","Iodine 131 gaseous elementary and organic bounded","I-131go","Operational"
222,"30141","Iodine 131 aerosol","I-131a ","Operational"
223,"30142","Iodine 132","I-132 ","Operational"
224,"30143","Iodine 132 elementary gaseous","I-132g ","Operational"
225,"30144","Iodine 132 organic bounded","I-132o","Operational"
226,"30145","Iodine 132 gaseous elementary and organic bounded","I-132go","Operational"
227,"30146","Iodine 132 aerosol","I-132a","Operational"
228,"30147","Iodine 133","I-133 ","Operational"
229,"30148","Iodine 133 elementary gaseous","I-133g ","Operational"
230,"30149","Iodine 133 organic bounded","I-133o ","Operational"
231,"30150","Iodine 133 gaseous elementary and organic bounded","I-133go ","Operational"
232,"30151","Iodine 133 aerosol","I-133a","Operational"
233,"30152","Iodine 134","I-134 ","Operational"
234,"30153","Iodine 134 elementary gaseous","I-134g","Operational"
235,"30154","Iodine 134 organic bounded","I-134o","Operational"
236,"30155","Iodine 135","I-135 ","Operational"
237,"30156","Iodine 135 elementary gaseous","I-135g","Operational"
238,"30157","Iodine 135 organic bounded","I-135o ","Operational"
239,"30158","Iodine 135 gaseous elementary and organic bounded","I-135go ","Operational"
240,"30159","Iodine 135 aerosol","I-135a ","Operational"
241,"30160","Xenon 131 metastable","Xe-131m ","Operational"
242,"30161","Xenon 133","Xe-133","Operational"
243,"30162","Xenon 133 metastable","Xe-133m","Operational"
244,"30163","Xenon 135","Xe-135","Operational"
245,"30164","Xenon 135 metastable","Xe-135m","Operational"
246,"30165","Xenon 137","Xe-137","Operational"
247,"30166","Xenon 138","Xe-138","Operational"
248,"30167","Xenon sum of all Xenon isotopes","Xe-sum","Operational"
249,"30168","Caesium 131","Cs-131 ","Operational"
250,"30169","Caesium 134","Cs-134","Operational"
251,"30170","Caesium 135","Cs-135","Operational"
252,"30171","Caesium 136","Cs-136","Operational"
253,"30172","Caesium 137","Cs-137","Operational"
254,"30173","Barium 133","Ba-133 ","Operational"
255,"30174","Barium 137 metastable","Ba-137m","Operational"
256,"30175","Barium 140","Ba-140","Operational"
257,"30176","Cerium 139","Ce-139 ","Operational"
258,"30177","Cerium 141","Ce-141","Operational"
259,"30178","Cerium 143","Ce-143","Operational"
260,"30179","Cerium 144","Ce-144","Operational"
261,"30180","Lanthanum 140","La-140 ","Operational"
262,"30181","Lanthanum 141","La-141","Operational"
263,"30182","Praseodymium 143","Pr-143","Operational"
264,"30183","Praseodymium 144","Pr-144","Operational"
265,"30184","Praseodymium 144 metastable","Pr-144m","Operational"
266,"30185","Samarium 145","Sm-145","Operational"
267,"30186","Samarium 147","Sm-147","Operational"
268,"30187","Samarium 151","Sm-151","Operational"
269,"30188","Neodymium 147","Nd-147 ","Operational"
270,"30189","Promethium 146","Pm-146 ","Operational"
271,"30190","Promethium 147","Pm-147","Operational"
272,"30191","Promethium 151","Pm-151","Operational"
273,"30192","Europium 152","Eu-152 ","Operational"
274,"30193","Europium 154","Eu-154","Operational"
275,"30194","Europium 155","Eu-155","Operational"
276,"30195","Gadolinium 153","Gd-153","Operational"
277,"30196","Terbium 160","Tb-160","Operational"
278,"30197","Holmium 166 metastable","Ho-166m","Operational"
279,"30198","Thulium 170","Tm-170","Operational"
280,"30199","Ytterbium 169","Yb-169","Operational"
281,"30200","Hafnium 175","Hf-175 ","Operational"
282,"30201","Hafnium 181","Hf-181","Operational"
283,"30202","Tantalum 179","Ta-179 ","Operational"
284,"30203","Tantalum 182","Ta-182","Operational"
285,"30204","Rhenium 184","Re-184","Operational"
286,"30205","Iridium 192","Ir-192","Operational"
287,"30206","Mercury 203","Hg-203 ","Operational"
288,"30207","Thallium 204","Tl-204 ","Operational"
289,"30208","Thallium 207","Tl-207","Operational"
290,"30209","Thallium 208","Tl-208","Operational"
291,"30210","Thallium 209","Tl-209","Operational"
292,"30211","Bismuth 205","Bi-205 ","Operational"
293,"30212","Bismuth 207","Bi-207","Operational"
294,"30213","Bismuth 210","Bi-210","Operational"
295,"30214","Bismuth 211","Bi-211","Operational"
296,"30215","Bismuth 212","Bi-212","Operational"
297,"30216","Bismuth 213","Bi-213","Operational"
298,"30217","Bismuth 214","Bi-214","Operational"
299,"30218","Polonium 208","Po-208","Operational"
300,"30219","Polonium 210","Po-210","Operational"
301,"30220","Polonium 212","Po-212","Operational"
302,"30221","Polonium 213","Po-213","Operational"
303,"30222","Polonium 214","Po-214","Operational"
304,"30223","Polonium 215","Po-215","Operational"
305,"30224","Polonium 216","Po-216","Operational"
306,"30225","Polonium 218","Po-218","Operational"
307,"30226","Lead 209","Pb-209","Operational"
308,"30227","Lead 210","Pb-210 ","Operational"
309,"30228","Lead 211","Pb-211","Operational"
310,"30229","Lead 212","Pb-212","Operational"
311,"30230","Lead 214","Pb-214","Operational"
312,"30231","Astatine 217","At-217","Operational"
313,"30232","Radon 219","Rn-219","Operational"
314,"30233","Radon 220","Rn-220 ","Operational"
315,"30234","Radon 222 ","Rn-222","Operational"
316,"30235","Francium 221","Fr-221","Operational"
317,"30236","Francium 223","Fr-223","Operational"
318,"30237","Radium 223","Ra-223","Operational"
319,"30238","Radium 224","Ra-224 ","Operational"
320,"30239","Radium 225","Ra-225 ","Operational"
321,"30240","Radium 226","Ra-226","Operational"
322,"30241","Radium 228","Ra-228","Operational"
323,"30242","Actinium 225","Ac-225 ","Operational"
324,"30243","Actinium 227","Ac-227","Operational"
325,"30244","Actinium 228","Ac-228","Operational"
326,"30245","Thorium 227","Th-227","Operational"
327,"30246","Thorium 228","Th-228 ","Operational"
328,"30247","Thorium 229","Th-229","Operational"
329,"30248","Thorium 230","Th-230","Operational"
330,"30249","Thorium 231","Th-231","Operational"
331,"30250","Thorium 232","Th-232","Operational"
332,"30251","Thorium 234","Th-234","Operational"
333,"30252","Protactinium 231","Pa-231","Operational"
334,"30253","Protactinium 233","Pa-233 ","Operational"
335,"30254","Protactinium 234 metastable","Pa-234m","Operational"
336,"30255","Uranium 232","U-232 ","Operational"
337,"30256","Uranium 233","U-233","Operational"
338,"30257","Uranium 234","U-234","Operational"
339,"30258","Uranium 235","U-235","Operational"
340,"30259","Uranium 236","U-236","Operational"
341,"30260","Uranium 237","U-237","Operational"
342,"30261","Uranium 238","U-238","Operational"
343,"30262","Plutonium 236","Pu-236 ","Operational"
344,"30263","Plutonium 238","Pu-238","Operational"
345,"30264","Plutonium 239","Pu-239","Operational"
346,"30265","Plutonium 240","Pu-240","Operational"
347,"30266","Plutonium 241","Pu-241","Operational"
348,"30267","Plutonium 242","Pu-242","Operational"
349,"30268","Plutonium 244","Pu-244","Operational"
350,"30269","Neptunium 237","Np-237 ","Operational"
351,"30270","Neptunium 238","Np-238","Operational"
352,"30271","Neptunium 239","Np-239","Operational"
353,"30272","Americium 241","Am-241 ","Operational"
354,"30273","Americium 242","Am-242","Operational"
355,"30274","Americium 242 metastable","Am-242m","Operational"
356,"30275","Americium 243","Am-243","Operational"
357,"30276","Curium 242","Cm-242 ","Operational"
358,"30277","Curium 243","Cm-243","Operational"
359,"30278","Curium 244","Cm-244","Operational"
360,"30279","Curium 245","Cm-245","Operational"
361,"30280","Curium 246","Cm-246","Operational"
362,"30281","Curium 247","Cm-247","Operational"
363,"30282","Curium 248","Cm-248","Operational"
364,"30283","Curium 243/244","Cm-243244 ","Operational"
365,"30284","Plutonium 238/Americium 241","Pu-238Am-241","Operational"
366,"30285","Plutonium 239/240","Pu-239240 ","Operational"
367,"30286","Berkelium 249","Bk-249","Operational"
368,"30287","Californium 249","Cf-249","Operational"
369,"30288","Californium 250","Cf-250","Operational"
370,"30289","Californium 252","Cf-252","Operational"
371,"30290","Sum aerosol particulates","SumAer","Operational"
372,"30291","Sum Iodine","SumIod","Operational"
373,"30292","Sum noble gas","SumNG","Operational"
374,"30293","Activation gas","ActGas","Operational"
375,"30294","Cs-137 Equivalent","EquCs137 ","Operational"
376,"30295 - 59999","Reserved",,"Operational"
377,"60000","HOx radical (OH+HO2)",,"Operational"
378,"60001","Total inorganic and organic peroxy radicals (HO2 + RO2)","RO2","Operational"
379,"60002","Passive Ozone",,"Operational"
380,"60003","NOx expressed as nitrogen","NOx","Operational"
381,"60004","All nitrogen oxides (NOy) expressed as nitrogen","NOy","Operational"
382,"60005","Total inorganic chlorine","Clx","Operational"
383,"60006","Total inorganic bromine","Brx","Operational"
384,"60007","Total inorganic chlorine except HCl, ClONO2: ClOx",,"Operational"
385,"60008","Total inorganic bromine except HBr, BrONO2: BrOx",,"Operational"
386,"60009","Lumped alkanes",,"Operational"
387,"60010","Lumped alkenes",,"Operational"
388,"60011","Lumped aromatic compounds",,"Operational"
389,"60012","Lumped terpenes",,"Operational"
390,"60013","Non-methane volatile organic compounds expressed as carbon","NMVOC","Operational"
391,"60014","Anthropogenic non-methane volatile organic compounds expressed as carbon","aNMVOC","Operational"
392,"60015","Biogenic non-methane volatile organic compounds expressed as carbon","bNMVOC","Operational"
393,"60016","Lumped oxygenated hydrocarbons","OVOC","Operational"
394,"60017-61999","Reserved",,"Operational"
395,"62000","Total aerosol",,"Operational"
396,"62001","Dust dry",,"Operational"
397,"62002","Water in ambient",,"Operational"
398,"62003","Ammonium dry",,"Operational"
399,"62004","Nitrate dry",,"Operational"
400,"62005","Nitric acid trihydrate",,"Operational"
401,"62006","Sulphate dry",,"Operational"
402,"62007","Mercury dry",,"Operational"
403,"62008","Sea salt dry",,"Operational"
404,"62009","Black carbon dry",,"Operational"
405,"62010","Particulate organic matter dry",,"Operational"
406,"62011","Primary particulate organic matter dry",,"Operational"
407,"62012","Secondary particulate organic matter dry",,"Operational"
408,"62013-65534","Reserved",,"Operational"
409,"65535","Missing",,"Operational"
