"No","Categry","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
21,"01","Location and identification sequences","D01075","(Sounding identification)",,"B08021","Time significance","18 = launch time",,"Operational"
22,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01011",,"Year, month, day",,"Operational"
23,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01012",,"Hour, minute",,"Operational"
24,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02011","Radiosonde type","Radiosonde type",,"Operational"
25,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
26,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number or identifier",,"Operational"
27,"02","Meteorological sequences common to surface data","D02013",,,"D02006",,"Pressure and pressure change",,"Operational"
28,"02","Meteorological sequences common to surface data","D02013",,,"D02003",,"Wind, temperature, humidity, visibility, weather",,"Operational"
29,"02","Meteorological sequences common to surface data","D02013",,,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
30,"02","Meteorological sequences common to surface data","D02013",,,"D02005",,"Cloud layer information",,"Operational"
31,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B11001","Wind direction","Wind direction",,"Operational"
32,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B11002","Wind speed","Wind speed",,"Operational"
33,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
34,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B13071","Upstream water level","Upstream water level",,"Operational"
35,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"D01012",,"Hour, minute of environmental measurement",,"Operational"
36,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
37,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13003","Relative humidity","Relative humidity",,"Operational"
38,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B14051","Direct solar radiation integrated over last hour","Direct solar radiation integrated over last hour",,"Operational"
39,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
40,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13072","Downstream water level","Downstream water level",,"Operational"
41,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13080","Water pH","pH",,"Operational"
42,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13081","Water conductivity","Conductivity",,"Operational"
43,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13082","Water temperature","Water temperature",,"Operational"
44,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13083","Dissolved oxygen","Dissolved oxygen",,"Operational"
45,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13084","Turbidity","Turbidity",,"Operational"
46,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"D01012",,"Hour, minute of first single measurement minus increment",,"Operational"
47,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
48,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
49,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"D05001","(SADC-HYCOS single measurement)","Single measurement",,"Operational"
50,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D01030","(Identification - with physical location)","Identification",,"Operational"
51,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D05002","(SADC-HYCOS environmental measurement)","Environmental measurement",,"Operational"
52,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D05003","(SADC-HYCOS measurement array definition)","Measurement array",,"Operational"
53,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13072","Downstream water level","Downstream water level",,"Operational"
54,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13082","Water temperature","Water temperature",,"Operational"
55,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13019","Total precipitation past 1 hour","Precipitation last hour",,"Operational"
56,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"C07005","Unit replacement","Next datum in kelvin",,"Operational"
57,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"C01004","Data width replacement","Next datum over four characters",,"Operational"
58,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
59,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13073","Maximum water level","Maximum water height observed",,"Operational"
60,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
61,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D01029","(Identification)","Identification",,"Operational"
62,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D01012",,"Hour, minute (time of first measurement)",,"Operational"
63,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
64,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
65,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D05006","(MEDHYCOS measurement)","Single measurement",,"Operational"
66,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"D05006","(MEDHYCOS measurement)","Same as MEDHYCOS type measurement",,"Operational"
67,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"C07005","Unit replacement","Next datum in kelvin",,"Operational"
68,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"C01004","Data width replacement","Next datum over four characters",,"Operational"
69,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"B12030","Soil temperature","Soil temperature at -50 cm",,"Operational"
70,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"D01029","(Identification)","Identification",,"Operational"
71,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"D01012",,"Hour, minute (time of first measurement)",,"Operational"
72,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
73,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
74,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"D05008","(AOCHYCOS-Chad measurement)","Single measurement",,"Operational"
75,"05","Meteorological or hydrological sequences common to hydrological observations","D05010","(MEDHYCOS-Measurement type 2)",,"D05008","(AOCHYCOS-Chad measurement)","Same as AOCHYCOS type measurement",,"Operational"
76,"05","Meteorological or hydrological sequences common to hydrological observations","D05010","(MEDHYCOS-Measurement type 2)",,"B02091","Entry sensor 4/20 mA","Sensor entry 4/20 mA (no. 1)",,"Operational"
77,"05","Meteorological or hydrological sequences common to hydrological observations","D05010","(MEDHYCOS-Measurement type 2)",,"B02091","Entry sensor 4/20 mA","Sensor entry 4/20 mA (no. 2)",,"Operational"
78,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"D01029","(Identification)","Identification",,"Operational"
79,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"D01012",,"Hour, minute (time of first measurement)",,"Operational"
80,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
81,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
82,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"D05010","(MEDHYCOS-Measurement type 2)","Single measurement",,"Operational"
83,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B14021","Global solar radiation, integrated over period specified","Global radiation over period",,"Operational"
84,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B07004","Pressure","Atmospheric pressure",,"Operational"
85,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B13003","Relative humidity","Relative humidity",,"Operational"
86,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11002","Wind speed","Wind speed",,"Operational"
87,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11001","Wind direction","Wind direction",,"Operational"
88,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11041","Maximum wind gust speed","Maximum wind speed (gusts)",,"Operational"
89,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11043","Maximum wind gust direction","Maximum wind gust direction",,"Operational"
90,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13080","Water pH","pH",,"Operational"
91,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13081","Water conductivity","Conductivity",,"Operational"
92,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13083","Dissolved oxygen","Dissolved oxygen",,"Operational"
93,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13085","Oxydation Reduction Potential (ORP)","Oxidation reduction potential (ORP)",,"Operational"
94,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13084","Turbidity","Turbidity",,"Operational"
95,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D01029","(Identification)","Identification",,"Operational"
96,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D01012",,"Hour, minute (time) of first measurement",,"Operational"
97,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"B04065","Short time increment","Hour increment",,"Operational"
98,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"R03000","Delayed replication descriptor","Number of replications of next three descriptors",,"Operational"
99,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D05008","(AOCHYCOS-Chad measurement)","Same as AOCHYCOS type measurement",,"Operational"
100,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D05016","(Meteorological parameters associated with hydrological data)","Meteorological parameters associated to hydrological data",,"Operational"
101,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D05017","(Water quality measurement)","Water quality measurement",,"Operational"
102,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B02032","Indicator for digitization","Indicator for digitization",,"Operational"
103,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors",,"Operational"
104,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
105,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B22042","Sea/water temperature","Subsurface sea temperature",,"Operational"
106,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B02032","Indicator for digitization","Indicator for digitization",,"Operational"
107,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B02033","Method of salinity/depth measurement","Method of salinity/depth measurement",,"Operational"
108,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors",,"Operational"
109,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
110,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B22043","Sea/water temperature","Subsurface sea temperature",,"Operational"
111,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B22062","Salinity","Salinity",,"Operational"
112,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B02031","Duration and time of current measurement","Method of current measurement",,"Operational"
113,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors",,"Operational"
114,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
115,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B22004","Direction of current","Direction of current",,"Operational"
116,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B22031","Speed of current","Speed of current",,"Operational"
117,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B01075","Tide station identification","Tide station alphanumeric identification",,"Operational"
118,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"D01011",,"Year, month, day",,"Operational"
119,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"D01012",,"Hour, minute",,"Operational"
120,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22042","Sea/water temperature","Sea/water temperature",,"Operational"
121,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22120","Tide station automated water level check","Tide station automated water level check",,"Operational"
122,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22121","Tide station manual water level check","Tide station manual water level check",,"Operational"
123,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"C01002","Data width replacement","Change data width to 2 characters",,"Operational"
124,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B04015","Time increment","Time increment",,"Operational"
125,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B04065","Short time increment","Short time increment",,"Operational"
126,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B01075","Tide station identification","Tide station alphanumeric identification","(see Note 1)#CREX_16_0_0_TableD.doc#C_Cat06","Operational"
127,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"D01011",,"Year, month, day",,"Operational"
128,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"D01012",,"Hour, minute",,"Operational"
129,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22042","Sea/water temperature","Sea/water temperature",,"Operational"
130,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22120","Tide station automated water level check","Tide station automated water level check",,"Operational"
131,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22121","Tide station manual water level check","Tide station manual water level check",,"Operational"
132,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B04075","Short time period or displacement","Short time period or displacement",,"Operational"
133,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B04065","Short time increment","Short time increment",,"Operational"
134,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B01075","Tide station identification","Tide station alphanumeric identification",,"Operational"
135,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D01011",,"Year, month, day",,"Operational"
136,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D01012",,"Hour, minute",,"Operational"
137,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B22122","Tide station automated meteorological data check","Tide station automated meteorological data check",,"Operational"
138,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B22123","Tide station manual meteorological data check","Tide station manual meteorological data check",,"Operational"
139,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
140,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D03002",,"Pressure, wind direction, wind speed",,"Operational"
141,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B01075","Tide station identification","Tide station identification",,"Operational"
142,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"D01011",,"Year, month, day",,"Operational"
143,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"D01012",,"Hour, minute",,"Operational"
144,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
145,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
146,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"D06020","(Tide report identification, water level checks, time period or displacement, time increment) (see Note 1)","Tide report identification, water level checks, time period or displacement, time increment","(see Note 2)#CREX_16_0_0_TableD.doc#C_Cat06","Operational"
147,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"R02006","Replication descriptor","Replicate two descriptors six times",,"Operational"
148,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
149,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
150,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"D06019","(Tide report identification, water level checks, time increments)","Tide report identification, water level checks, time increments",,"Operational"
151,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"R02006","Replication descriptor","Replicate 2 descriptors 6 times",,"Operational"
152,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
153,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
154,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Station identification","B01075","Tide station identification","Tide station identification",,"Validation"
155,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Station identification","B01015","Station or site name","Station or site name",,"Validation"
156,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Data for each sensor","D01021",,,,"Validation"
157,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Data for each sensor","D01011",,,,"Validation"
158,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Data for each sensor","D01013",,,,"Validation"
159,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)",,"R15000","Delayed replication descriptor","Delayed replication of 15 descriptors ",,"Validation"
160,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Offset from reference date and time","B04016","Time increment","Time increment (offset) - in seconds",,"Validation"
161,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of sensor","B08015","Significance qualifier for sensor","Identification of primary or secondary sensor ",,"Validation"
162,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of sensor","B02007","Type of sensor for water level measuring instrument","Type of sensor ",,"Validation"
163,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of quality check","B22120","Tide station automated water level check","Tide station automated water level check",,"Validation"
164,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of quality check","B22121","Tide station manual water level check","Tide station manual water level check",,"Validation"
165,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B04016","Time increment","Time increment - in seconds",,"Validation"
166,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","R08000","Delayed replication descriptor","Delayed replication of 8 descriptors",,"Validation"
167,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B10051","Pressure reduced to mean sea level","Pressure reduced to mean sea level",,"Validation"
168,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Validation"
169,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B22040","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Validation"
170,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B04026","Time period or displacement","Time period or displacement (averaging period) - in seconds",,"Validation"
171,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","R03004","Replication descriptor","Replicate 3 descriptors 4 times",,"Validation"
172,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B08023","First-order statistics","First-order statistics (mean, max., min., standard dev.)",,"Validation"
173,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Validation"
174,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B22040","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Validation"
175,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"D07001",,"Location (high accuracy) and basic report",,"Operational"
176,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
177,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"D02005",,"Cloud layer information",,"Operational"
178,"07","Surface report sequences (land)","D07004","(Low altitude station)",,"D07002",,"Location (coarse accuracy) and basic report",,"Operational"
179,"07","Surface report sequences (land)","D07004","(Low altitude station)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
180,"07","Surface report sequences (land)","D07004","(Low altitude station)",,"D02005",,"Cloud layer information",,"Operational"
181,"07","Surface report sequences (land)","D07012","(DvVVVV)",,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors (up to 3)",,"Operational"
182,"07","Surface report sequences (land)","D07012","(DvVVVV)",,"B08023","First-order statistics","First order statistics",,"Operational"
