High Resolution Rapid Refresh (HRRR)
CONUS 2-D Fields
GRIB2 Table Documentation
04 May 2020
Record,MasterTable,LocalTable,Discipline,Category,Parameter,WGrib2Name,                         NCLName,                                             FieldType,      VerticalLevels,          Units,
    17,          2,         1,         0,       7,       199,   MXUPHL,      MXUPHL_P8_2L103_GLC0_max1h,                       Hourly Maximum Updraft Helicity,     5000-2000 m AGL,        m^2/s^2,
    18,          2,         1,         0,       7,       199,   MXUPHL,      MXUPHL_P8_2L103_GLC0_max1h,                       Hourly Maximum Updraft Helicity,     6000-1000 m AGL,        m^2/s^2,
    19,          2,         1,         0,       7,       200,   MNUPHL, VAR_0_7_200_P8_2L103_GLC0_min1h,                       Hourly Minimum Updraft Helicity,     5000-2000 m AGL,        m^2/s^2,
    20,          2,         1,         0,       7,       200,   MNUPHL, VAR_0_7_200_P8_2L103_GLC0_min1h,                       Hourly Minimum Updraft Helicity,     6000-1000 m AGL,        m^2/s^2,
    21,          2,         1,         0,       7,       199,   MXUPHL,      MXUPHL_P8_2L103_GLC0_max1h,                       Hourly Maximum Updraft Helicity,        2000-0 m AGL,        m^2/s^2,
    22,          2,         1,         0,       7,       200,   MNUPHL, VAR_0_7_200_P8_2L103_GLC0_min1h,                       Hourly Minimum Updraft Helicity,        2000-0 m AGL,        m^2/s^2,
    23,          2,         1,         0,       7,       199,   MXUPHL,      MXUPHL_P8_2L103_GLC0_max1h,                       Hourly Maximum Updraft Helicity,        3000-0 m AGL,        m^2/s^2,
    24,          2,         1,         0,       7,       200,   MNUPHL, VAR_0_7_200_P8_2L103_GLC0_min1h,                       Hourly Minimum Updraft Helicity,        3000-0 m AGL,        m^2/s^2,
    25,          2,         1,         0,       2,        12,     RELV,        RELV_P8_2L103_GLC0_max1h,                     Hourly Maximum Relative Vorticity,        2000-0 m AGL,            1/s,
    26,          2,         1,         0,       2,        12,     RELV,        RELV_P8_2L103_GLC0_max1h,                     Hourly Maximum Relative Vorticity,        1000-0 m AGL,            1/s,
    27,          2,         1,         0,       1,        31,     HAIL,          HAIL_P8_L10_GLC0_max1h,                  Hourly Maximum Hail/Graupel Diameter,   entire atmosphere,              m,
    28,          2,         1,         0,       1,        31,     HAIL,          HAIL_P8_L10_GLC0_max1h,                  Hourly Maximum Hail/Graupel Diameter,           0.1 sigma,              m,
    29,          2,         1,         0,       1,        31,     HAIL,          HAIL_P8_L10_GLC0_max1h,                  Hourly Maximum Hail/Graupel Diameter,             surface,              m,
    30,          2,         1,         0,       1,        74,    TCOLG,        TCOLG_P8_L200_GLC0_max1h,                       Total Column Integrated Graupel,   entire atmosphere,         kg/m^2,
    31,          2,         1,         0,      17,         1,   LTPINX,         VAR_0_17_1_P0_L103_GLC0,    Lightning threat 1 (vertical grapuel flux at -15C),             1 m AGL,flash/km^2/5min,
    32,          2,         1,         0,      17,         1,   LTPINX,         VAR_0_17_1_P0_L103_GLC0,Lightning threat 2 (vert integrated froz hydrometeors),             2 m AGL,flash/km^2/5min,
    33,          2,         1,         0,      17,       192,     LTNG,                LTNG_P0_L10_GLC0,   Lightning threat 3 (combination of threats 1 and 2),   entire atmosphere,flash/km^2/5min,
    34,          2,         1,         0,       7,       197,     UPHL,              UPHL_P0_2L103_GLC0,                                      Updraft Helicity,     5000-2000 m AGL,        m^2/s^2,
    35,          2,         1,         0,       7,       197,     UPHL,              UPHL_P0_2L103_GLC0,                                      Updraft Helicity,     6000-1000 m AGL,        m^2/s^2,
    36,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             1 m AGL,              s,
    37,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             4 m AGL,              s,
    38,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             2 m AGL,              s,
    39,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             5 m AGL,              s,
    40,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             3 m AGL,              s,
    41,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             6 m AGL,              s,
    42,          2,         1,         0,       2,         2,     UGRD,               UGRD_P0_L103_GLC0,                                   U-Component of Wind,            80 m AGL,            m/s,
    43,          2,         1,         0,       2,         3,     VGRD,               VGRD_P0_L103_GLC0,                                   V-Component of Wind,            80 m AGL,            m/s,
    44,          2,         1,         0,       3,         0,     PRES,                 PRES_P0_L1_GLC0,                                              Pressure,             surface,             Pa,
    45,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,             surface,            gpm,
    46,          2,         1,         0,       0,         0,      TMP,                  TMP_P0_L1_GLC0,                                           Temperature,             surface,              K,
    47,          2,         1,         0,       1,        29,    ASNOW,            ASNOW_P8_L1_GLC0_acc,                                        Total Snowfall,             surface,              m,
    48,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,           0-0 m BGL,              K,
    49,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,           0-0 m BGL,       Fraction,
    50,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,     0.01-0.01 m BGL,              K,
    51,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,     0.01-0.01 m BGL,       Fraction,
    52,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,     0.04-0.04 m BGL,              K,
    53,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,     0.04-0.04 m BGL,       Fraction,
    54,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,       0.1-0.1 m BGL,              K,
    55,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,       0.1-0.1 m BGL,       Fraction,
    56,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,       0.3-0.3 m BGL,              K,
    57,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,       0.3-0.3 m BGL,       Fraction,
    58,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,       0.6-0.6 m BGL,              K,
    59,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,       0.6-0.6 m BGL,       Fraction,
    60,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,           1-1 m BGL,              K,
    61,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,           1-1 m BGL,       Fraction,
    62,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,       1.6-1.6 m BGL,              K,
    63,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,       1.6-1.6 m BGL,       Fraction,
    64,          2,         1,         2,       0,         2,    TSOIL,             TSOIL_P0_2L106_GLC0,                                      Soil Temperature,           3-3 m BGL,              K,
    65,          2,         1,         2,       0,       192,    SOILW,             SOILW_P0_2L106_GLC0,                      Volumetric Soil Moisture Content,           3-3 m BGL,       Fraction,
    66,          2,         1,         2,       0,       194,    MSTAV,              MSTAV_P0_L106_GLC0,                                 Moisture Availability,             0 m BGL,              %,
    67,          2,         1,         2,       0,        13,    CNWAT,                CNWAT_P0_L1_GLC0,                            Plant Canopy Surface Water,             surface,         kg/m^2,
    68,          2,         1,         0,       1,        13,    WEASD,                WEASD_P0_L1_GLC0,            Water Equivalent of Accumulated Snow Depth,             surface,         kg/m^2,
    69,          2,         1,         0,       1,        42,    SNOWC,                SNOWC_P0_L1_GLC0,                                            Snow Cover,             surface,              %,
    70,          2,         1,         0,       1,        11,     SNOD,                 SNOD_P0_L1_GLC0,                                            Snow Depth,             surface,              m,
    71,          2,         1,         0,       0,         0,      TMP,                  TMP_P0_L1_GLC0,                                           Temperature,             2 m AGL,              K,
    72,          2,         1,         0,       0,         2,      POT,                POT_P0_L103_GLC0,                                 Potential Temperature,             2 m AGL,              K,
    73,          2,         1,         0,       1,         0,     SPFH,               SPFH_P0_L103_GLC0,                                     Specific Humidity,             2 m AGL,          kg/kg,
    74,          2,         1,         0,       0,         6,      DPT,                DPT_P0_L103_GLC0,                                 Dew Point Temperature,             2 m AGL,              K,
    75,          2,         1,         0,       1,         1,       RH,                   RH_P0_L4_GLC0,                                     Relative Humidity,             2 m AGL,              %,
    76,          2,         1,         0,      20,         0,  MASSDEN,            MASSDEN_P0_L103_GLC0,                                   Smoke Concentration,             8 m AGL,         ug/m^3,
    77,          2,         1,         0,       2,         2,     UGRD,               UGRD_P0_L103_GLC0,                                   U-Component of Wind,            10 m AGL,            m/s,
    78,          2,         1,         0,       2,         3,     VGRD,               VGRD_P0_L103_GLC0,                                   V-Component of Wind,            10 m AGL,            m/s,
    79,          2,         1,         0,       2,         1,     WIND,         WIND_P8_L103_GLC0_max1h,                                            Wind Speed,            10 m AGL,            m/s,
    80,          2,         1,         0,       2,       222,    MAXUW,        MAXUW_P8_L103_GLC0_max1h,          U Component of Hourly Maximum 10m Wind Speed,            10 m AGL,            m/s,
    81,          2,         1,         0,       2,       223,    MAXVW,        MAXVW_P8_L103_GLC0_max1h,          V Component of Hourly Maximum 10m Wind Speed,            10 m AGL,            m/s,
    82,          2,         1,         0,       1,        39,    CPOFP,                CPOFP_P0_L1_GLC0,                          Percent frozen precipitation,             surface,              %,
    83,          2,         1,         0,       1,         7,    PRATE,                PRATE_P0_L1_GLC0,                                    Precipitation Rate,             surface,       kg/m^2/s,
    84,          2,         1,         0,       1,         8,     APCP,           APCP_P8_L1_GLC0_acc6h,                                   Total Precipitation,             surface,         kg/m^2,
    85,          2,         1,         0,       1,        13,    WEASD,                WEASD_P0_L1_GLC0,            Water Equivalent of Accumulated Snow Depth,             surface,         kg/m^2,
    86,          2,         1,         0,       1,       227,    FROZR,          FROZR_P8_L1_GLC0_acc6h,                                           Frozen Rain,             surface,         kg/m^2,
    87,          2,         1,         0,       1,       225,     FRZR,             FRZR_P8_L1_GLC0_acc,                                         Freezing Rain,             surface,         kg/m^2,
    88,          2,         1,         1,       0,         6,    SSRUN,          SSRUN_P8_L1_GLC0_acc1h,                                  Storm Surface Runoff,             surface,         kg/m^2,
    89,          2,         1,         1,       0,         5,    BGRUN,          BGRUN_P8_L1_GLC0_acc1h,                           Baseflow-Groundwater Runoff,             surface,         kg/m^2,
    90,          2,         1,         0,       1,         8,     APCP,           APCP_P8_L1_GLC0_acc6h,                                   Total Precipitation,             surface,         kg/m^2,
    91,          2,         1,         0,       1,        13,    WEASD,                WEASD_P0_L1_GLC0,            Water Equivalent of Accumulated Snow Depth,             surface,         kg/m^2,
    92,          2,         1,         0,       1,       227,    FROZR,          FROZR_P8_L1_GLC0_acc6h,                                           Frozen Rain,             surface,         kg/m^2,
    93,          2,         1,         0,       1,        36,    CSNOW,                CSNOW_P0_L1_GLC0,                                      Categorical Snow,             surface,              -,
    94,          2,         1,         0,       1,        35,    CICEP,                CICEP_P0_L1_GLC0,                               Categorical Ice Pellets,             surface,              -,
    95,          2,         1,         0,       1,        34,    CFRZR,                CFRZR_P0_L1_GLC0,                             Categorical Freezing Rain,             surface,              -,
    96,          2,         1,         0,       1,        33,    CRAIN,                CRAIN_P0_L1_GLC0,                                      Categorical Rain,             surface,              -,
    97,          2,         1,         2,       0,         1,     SFCR,                 SFCR_P0_L1_GLC0,                                     Surface Roughness,             surface,              m,
    98,          2,         1,         0,       2,        30,    FRICV,                FRICV_P0_L1_GLC0,                                   Frictional Velocity,             surface,            m/s,
    99,          2,         1,         0,       0,        11,    SHTFL,                SHTFL_P0_L1_GLC0,                                Sensible Heat Net Flux,             surface,          W/m^2,
   100,          2,         1,         0,       0,        10,    LHTFL,                LHTFL_P0_L1_GLC0,                                  Latent Heat Net Flux,             surface,          W/m^2,
   101,          2,         1,         2,       0,         4,      VEG,                  VEG_P0_L1_GLC0,                                            Vegetation,             surface,              %,
   102,          2,         1,         2,       0,         4,      VEG,                  VEG_P0_L1_GLC0,                                            Vegetation,             surface,              %,
   103,          2,         1,         2,       0,         4,      VEG,                  VEG_P0_L1_GLC0,                                            Vegetation,             surface,              %,
   104,          2,         1,         0,       7,       198,      LAI,                  LAI_P0_L1_GLC0,                                       Leaf Area Index,             surface,              -,
   105,          2,         1,         2,       0,        10,    GFLUX,                GFLUX_P0_L1_GLC0,                                      Ground Heat Flux,             surface,          W/m^2,
   106,          2,         1,         2,       0,       198,    VGTYP,                VGTYP_P0_L1_GLC0,                                       Vegetation Type,             surface,  Integer(0-13),
   107,          2,         1,         0,       7,        10,     LFTX,              LFTX_P0_2L100_GLC0,                                  Surface Lifted Index,        500-1000 hPa,              K,
   108,          2,         1,         0,       7,         6,     CAPE,                 CAPE_P0_L1_GLC0,                 Convective Available Potential Energy,             surface,           J/kg,
   109,          2,         1,         0,       7,         7,      CIN,                  CIN_P0_L1_GLC0,                                 Convective Inhibition,             surface,           J/kg,
   110,          2,         1,         0,       1,         3,     PWAT,               PWAT_P0_L200_GLC0,                                    Precipitable Water,   entire atmosphere,         kg/m^2,
   111,          2,         1,         0,      20,       102,     AOTK,               AOTK_P0_L200_GLC0,                             Aerosol optical thickness,   entire atmosphere,         kg/m^2,
   112,          2,         1,         0,      20,         1,    COLMD,              COLMD_P0_L200_GLC0,                        Column-integrated mass density,   entire atmosphere,         kg/m^2,
   113,          2,         1,         0,       6,        18,    TCOLW,               TCOLW_P0_L10_GLC0,                   Total column-integrated cloud water,   entire atmosphere,         kg/m^2,
   114,          2,         1,         0,       1,        70,    TCOLI,               TCOLI_P0_L10_GLC0,                     Total column-integrated cloud ice,   entire atmosphere,         kg/m^2,
   115,          2,         1,         0,       6,         1,     TCDC,               TCDC_P0_L211_GLC0,                                     Total Cloud Cover,      boundary layer,              %,
   116,          2,         1,         0,       6,         3,     LCDC,               LCDC_P0_L214_GLC0,                                       Low Cloud Cover,     low cloud layer,              %,
   117,          2,         1,         0,       6,         4,     MCDC,               MCDC_P0_L224_GLC0,                                    Medium Cloud Cover,  middle cloud layer,              %,
   118,          2,         1,         0,       6,         5,     HCDC,               HCDC_P0_L234_GLC0,                                      High Cloud Cover,    high cloud layer,              %,
   119,          2,         1,         0,       6,         1,     TCDC,                TCDC_P0_L10_GLC0,                                     Total Cloud Cover,   entire atmosphere,              %,
   120,          2,         1,         0,       3,         0,     PRES,                 PRES_P0_L1_GLC0,                                              Pressure,          cloud base,             Pa,
   121,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,          cloud base,            gpm,
   122,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,       cloud ceiling,            gpm,
   123,          2,         1,         0,       6,        13,      HGT,                    CEIL_P0_GLC0,                                               Ceiling,            no level,              m,
   124,          2,         1,         0,       6,        13,      HGT,                 CEIL_L0_L2_GLC0,                                               Ceiling,          cloud base,              m,
   125,          2,         1,         0,       3,         0,     PRES,                 PRES_P0_L1_GLC0,                                              Pressure,           cloud top,             Pa,
   126,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,           cloud top,            gpm,
   127,          2,         1,         0,       5,         4,    ULWRF,                ULWRF_P0_L1_GLC0,                            Upward Long-Wave Rad. Flux,   top of atmosphere,          W/m^2,
   128,          2,         1,         0,       4,         7,    DSWRF,                DSWRF_P0_L1_GLC0,                    Downward Short-Wave Radiation Flux,             surface,          W/m^2,
   129,          2,         1,         0,       5,         3,    DLWRF,                DLWRF_P0_L1_GLC0,                          Downward Long-Wave Rad. Flux,             surface,          W/m^2,
   130,          2,         1,         0,       4,         8,    USWRF,                USWRF_P0_L1_GLC0,                      Upward Short-Wave Radiation Flux,             surface,          W/m^2,
   131,          2,         1,         0,       5,         4,    ULWRF,                ULWRF_P0_L1_GLC0,                            Upward Long-Wave Rad. Flux,             surface,          W/m^2,
   132,          2,         1,         0,       4,       199,    CFNSF,                CFNSF_P0_L1_GLC0,          Satellite-detected Mean Fire Radiative Power,             surface,             MW,
   133,          2,         1,         0,       4,       200,    VBDSF,                VBDSF_P0_L1_GLC0,                      Visible Beam Downward Solar Flux,             surface,          W/m^2,
   134,          2,         1,         0,       4,       201,    VDDSF,                VDDSF_P0_L1_GLC0,                   Visible Diffuse Downward Solar Flux,             surface,          W/m^2,
   135,          2,         1,         0,       4,         8,    USWRF,                USWRF_P0_L1_GLC0,                      Upward Short-Wave Radiation Flux,   top of atmosphere,          W/m^2,
   136,          2,         1,         0,       7,         8,     HLCY,              HLCY_P0_2L103_GLC0,                               Storm Relative Helicity,        3000-0 m AGL,        m^2/s^2,
   137,          2,         1,         0,       7,         8,     HLCY,              HLCY_P0_2L103_GLC0,                               Storm Relative Helicity,        1000-0 m AGL,        m^2/s^2,
   138,          2,         1,         0,       2,        27,     USTM,              USTM_P0_2L103_GLC0,                              U-Component Storm Motion,        0-6000 m AGL,            m/s,
   139,          2,         1,         0,       2,        28,     VSTM,              VSTM_P0_2L103_GLC0,                              V-Component Storm Motion,        0-6000 m AGL,            m/s,
   140,          2,         1,         0,       2,        15,    VUCSH,             VUCSH_P0_2L103_GLC0,                            Vertical U-Component Shear,        0-1000 m AGL,            1/s,
   141,          2,         1,         0,       2,        16,    VVCSH,             VVCSH_P0_2L103_GLC0,                            Vertical V-Component Shear,        0-1000 m AGL,            1/s,
   142,          2,         1,         0,       2,        15,    VUCSH,              VUCSH_P0_2L103_GLC0,                           Vertical U-Component Shear,        0-6000 m AGL,            1/s,
   143,          2,         1,         0,       2,        16,    VVCSH,              VVCSH_P0_2L103_GLC0,                           Vertical V-Component Shear,        0-6000 m AGL,            1/s,
   144,          2,         1,         0,       3,         5,      HGT,                   HGT_P0_L1_GLC0,                                  Geopotential Height,         0C isotherm,            gpm,
   145,          2,         1,         0,       1,         1,       RH,                    RH_P0_L4_GLC0,                                    Relative Humidity,         0C isotherm,              %,
   146,          2,         1,         0,       3,         0,     PRES,                  PRES_P0_L1_GLC0,                                             Pressure,         0C isotherm,             Pa,
   147,          2,         1,         0,       3,         5,      HGT,                   HGT_P0_L1_GLC0,                                  Geopotential Height,highest trop frz lvl,            gpm,
   148,          2,         1,         0,       1,         1,       RH,                    RH_P0_L4_GLC0,                                    Relative Humidity,highest trop frz lvl,              %,
   149,          2,         1,         0,       3,         0,     PRES,                  PRES_P0_L1_GLC0,                                             Pressure,highest trop frz lvl,             Pa,
   150,          2,         1,         0,       3,         5,      HGT,                   HGT_P0_L1_GLC0,                                  Geopotential Height,         263 K level,            gpm,
   151,          2,         1,         0,       3,         5,      HGT,                   HGT_P0_L1_GLC0,                                  Geopotential Height,          253 K level,            gpm,
   152,          2,         1,         0,       7,       193,    4LFTX,              4LFTX_P0_2L108_GLC0,                             Best (4 layer) Lifted Index,    180-0 hPa AGL,              K,
   153,          2,         1,         0,       7,         6,     CAPE,                  CAPE_P0_L1_GLC0,                   Convective Available Potential Energy,    180-0 hPa AGL,           J/kg,
   154,          2,         1,         0,       7,         7,      CIN,                   CIN_P0_L1_GLC0,                                   Convective Inhibition,    180-0 hPa AGL,           J/kg,
   155,          2,         1,         0,       3,        18,     HPBL,                  HPBL_P0_L1_GLC0,                         Planetary Boundary Layer Height,          surface,              m,
   156,          2,         1,         0,       3,         5,      HGT,                   HGT_P0_L1_GLC0,                                      Geopotential Height,lifted condn lvl,            gpm,
   157,          2,         1,         0,       7,         6,     CAPE,                  CAPE_P0_L1_GLC0,                    Convective Available Potential Energy,    90-0 hPa AGL,           J/kg,
   158,          2,         1,         0,       7,         7,      CIN,                   CIN_P0_L1_GLC0,                                    Convective Inhibition,    90-0 hPa AGL,           J/kg,
   159,          2,         1,         0,       7,         6,     CAPE,                  CAPE_P0_L1_GLC0,                    Convective Available Potential Energy,    55-0 hPa AGL,           J/kg,
   160,          2,         1,         0,       7,         7,      CIN,                   CIN_P0_L1_GLC0,                                    Convective Inhibition,    55-0 hPa AGL,           J/kg,
   161,          2,         1,         0,       3,         5,      HGT,                   HGT_P0_L1_GLC0,                                      Geopotential Height,equilibrium level,           gpm,
   162,          2,         1,         0,       3,       200,     PLPL,               PLPL_P0_2L108_GLC0,           Pressure of level from which parcel was lifted,    255-0 hPa AGL,            Pa,
   163,          2,         1,         0,       1,       242,     RHPW,                 RHPW_P0_L10_GLC0,     Relative Humidity with Respect to Precipitable Water,entire atmosphere,             %,
   164,          2,         1,         2,       0,         0,     LAND,                  LAND_P0_L1_GLC0,                                Land Cover (0=sea 1=land),          surface,    Proportion,
   165,          2,         1,        10,       2,         0,     ICEC,                  ICEC_P0_L1_GLC0,                                                Ice Cover,          surface,    Proportion,
   166,          2,         1,         3,     192,         1,   SBT123,                SBT123_P0_L8_GLC0,   Simulated Brightness Temperature for GOES 12 Channel 3,top of atmosphere,             K,
   167,          2,         1,         3,     192,         2,   SBT124,                SBT124_P0_L8_GLC0,   Simulated Brightness Temperature for GOES 12 Channel 4,top of atmosphere,             K,
   168,          2,         1,         3,     192,         7,   SBT113,                SBT113_P0_L8_GLC0,   Simulated Brightness Temperature for GOES 11 Channel 3,top of atmosphere,             K,
   169,          2,         1,         3,     192,         8,   SBT114,                SBT114_P0_L8_GLC0,   Simulated Brightness Temperature for GOES 11 Channel 4,top of atmosphere,             K,
High Resolution Rapid Refresh (HRRR)
CONUS Sub-hourly 2-D Fields
GRIB2 Table Documentation
04 May 2020
Record,MasterTable,LocalTable,Discipline,Category,Parameter,WGrib2Name,                         NCLName,                                             FieldType,      VerticalLevels,          Units,
     1,          2,         1,         0,      16,       196,     REFC,                REFC_P0_L10_GLC0,                                Composite reflectivity,   entire atmosphere,             dB,
     2,          2,         1,         0,      16,         3,    RETOP,                RETOP_P0_L3_GLC0,                                              Echo Top,           cloud top,              m,
     3,          2,         1,         0,      16,       201,      var,        VAR_0_16_201_P0_L10_GLC0,  Hydrometeor-Based Vertically-Integrated Liquid Water,   entire atmosphere,         kg/m^2,
     4,          2,         1,         0,      15,         3,      VIL,                 VIL_P0_L10_GLC0,    Radar-Simulated Vertically-Integrated Liquid Water,   entire atmosphere,         kg/m^2,
     5,          2,         1,         0,      19,         0,      VIS,                  VIS_P0_L1_GLC0,                                            Visibility,             surface,              m,
     6,          2,         1,         0,      16,       195,     REFD,                REFD_P0_L20_GLC0,                                          Reflectivity,          1000 m AGL,             dB,
     7,          2,         1,         0,      16,       195,     REFD,                REFD_P0_L20_GLC0,                                          Reflectivity,          4000 m AGL,             dB,
     8,          2,         1,         0,       2,        22,     GUST,                 GUST_P0_L1_GLC0,                                     Wind Speed (Gust),             surface,            m/s,
     9,          2,         1,         0,       7,       197,     UPHL,              UPHL_P0_2L103_GLC0,                                      Updraft Helicity,     5000-2000 m AGL,        m^2/s^2,
    10,          2,         1,         0,       7,       197,     UPHL,              UPHL_P0_2L103_GLC0,                                      Updraft Helicity,     6000-1000 m AGL,        m^2/s^2,
    11,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             1 m AGL,              s,
    12,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             4 m AGL,              s,
    13,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             2 m AGL,              s,
    14,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             5 m AGL,              s,
    15,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             3 m AGL,              s,
    16,          2,         1,        10,     191,         0,     TSEC,               TSEC_P0_L103_GLC0,               Seconds Prior To Initial Reference Time,             6 m AGL,              s,
    17,          2,         1,         0,       2,         2,     UGRD,               UGRD_P0_L103_GLC0,                                   U-Component of Wind,            80 m AGL,            m/s,
    18,          2,         1,         0,       2,         3,     VGRD,               VGRD_P0_L103_GLC0,                                   V-Component of Wind,            80 m AGL,            m/s,
    19,          2,         1,         0,       3,         0,     PRES,                 PRES_P0_L1_GLC0,                                              Pressure,             surface,             Pa,
    20,          2,         1,         0,       3,         5,      HGT,                  HGT_P0_L1_GLC0,                                   Geopotential Height,             surface,            gpm,
    21,          2,         1,         0,       0,         0,      TMP,                  TMP_P0_L1_GLC0,                                           Temperature,             2 m AGL,              K,
    22,          2,         1,         0,       1,         0,     SPFH,               SPFH_P0_L103_GLC0,                                     Specific Humidity,             2 m AGL,          kg/kg,
