Discipline,Category,Parameter,Name,Unit,Missing,Range Folded,No Coverage,Description,Notes
209,3,32,MESHMax240min,mm,-1,n/a,-3,MESH Hail Swath 240-min,
209,3,33,MESHMax360min,mm,-1,n/a,-3,MESH Hail Swath 360-min,
209,3,34,MESHMax1440min,mm,-1,n/a,-3,MESH Hail Swath 1440-min,
209,3,41,VIL,kg/m^2,-1,n/a,-3,Vertically Integrated Liquid,
209,3,42,VILDensity,g/m^3,-1,n/a,-3,Vertically Integrated Liquid Density,
209,3,43,VII,kg/m^2,-1,n/a,-3,Vertically Integrated Ice,
209,3,44,EchoTop18,km MSL,-1,n/a,-3,Echo Top - 18 dBZ,
209,3,45,EchoTop30,km MSL,-1,n/a,-3,Echo Top - 30 dBZ,
209,3,46,EchoTop50,km MSL,-1,n/a,-3,Echo Top - 50 dBZ,
209,3,47,EchoTop60,km MSL,-1,n/a,-3,Echo Top - 60 dBZ,
209,3,48,H50AboveM20C,km,-99,n/a,-999,Thickness [50 dBZ top - (-20C)],updated special values
209,3,49,H50Above0C,km,-99,n/a,-999,Thickness [50 dBZ top - 0C],updated special values
209,3,50,H60AboveM20C,km,-99,n/a,-999,Thickness [60 dBZ top - (-20C)],updated special values
209,3,51,H60Above0C,km,-99,n/a,-999,Thickness [60 dBZ top - 0C],updated special values
209,3,52,Reflectivity0C,dBZ,-99,n/a,-999,Isothermal Reflectivity at 0C,
209,3,53,ReflectivityM5C,dBZ,-99,n/a,-999,Isothermal Reflectivity at -5C,
209,3,54,ReflectivityM10C,dBZ,-99,n/a,-999,Isothermal Reflectivity at -10C,
209,3,55,ReflectivityM15C,dBZ,-99,n/a,-999,Isothermal Reflectivity at -15C,
209,3,56,ReflectivityM20C,dBZ,-99,n/a,-999,Isothermal Reflectivity at -20C,
209,3,57,ReflectivityAtLowestAltitude,dBZ,-99,n/a,-999,ReflectivityAtLowestAltitude,
209,3,58,MergedReflectivityAtLowestAltitude,dBZ,-99,n/a,-999,Non Quality Controlled Reflectivity At Lowest Altitude,Available in March 2015
209,4,0,IRband4,K,-99,n/a,-999,Infrared (E/W blend),not disseminated
209,4,1,Visible,non-dim,-1,n/a,-3,Visible (E/W blend),not disseminated
209,4,2,WaterVapor,K,-99,n/a,-999,Water Vapor (E/W blend),not disseminated
209,4,3,CloudCover,K,-99,n/a,-999,Cloud Cover,Available in March 2015
209,6,0,PrecipFlag,flag,-1,n/a,-3,"Surface Precipitation Type (Convective, Stratiform, Tropical, Hail, Snow)",see flag table
209,6,1,PrecipRate,mm/hr,-1,n/a,-3,Radar Precipitation Rate,
209,6,2,RadarOnlyQPE01H,mm,-1,n/a,-3,Radar precipitation accumulation 1-hour,
209,6,3,RadarOnlyQPE03H,mm,-1,n/a,-3,Radar precipitation accumulation 3-hour,
209,6,4,RadarOnlyQPE06H,mm,-1,n/a,-3,Radar precipitation accumulation 6-hour,
209,6,5,RadarOnlyQPE12H,mm,-1,n/a,-3,Radar precipitation accumulation 12-hour,
209,6,6,RadarOnlyQPE24H,mm,-1,n/a,-3,Radar precipitation accumulation 24-hour,
209,6,7,RadarOnlyQPE48H,mm,-1,n/a,-3,Radar precipitation accumulation 48-hour,
209,6,8,RadarOnlyQPE72H,mm,-1,n/a,-3,Radar precipitation accumulation 72-hour,
209,6,9,GaugeCorrQPE01H,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 1-hour,
209,6,10,GaugeCorrQPE03H,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 3-hour,
209,6,11,GaugeCorrQPE06H,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 6-hour,
209,6,12,GaugeCorrQPE12H,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 12-hour,
209,6,13,GaugeCorrQPE24H,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 24-hour,
209,6,14,GaugeCorrQPE48H,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 48-hour,
209,6,15,GaugeCorrQPE72H,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 72-hour,
209,6,16,GaugeOnlyQPE01H,mm,-1,n/a,-3,Gauge only precipitation accumulation 1-hour,
209,6,17,GaugeOnlyQPE03H,mm,-1,n/a,-3,Gauge only precipitation accumulation 3-hour,
209,6,18,GaugeOnlyQPE06H,mm,-1,n/a,-3,Gauge only precipitation accumulation 6-hour,
209,6,19,GaugeOnlyQPE12H,mm,-1,n/a,-3,Gauge only precipitation accumulation 12-hour,
209,6,20,GaugeOnlyQPE24H,mm,-1,n/a,-3,Gauge only precipitation accumulation 24-hour,
209,6,21,GaugeOnlyQPE48H,mm,-1,n/a,-3,Gauge only precipitation accumulation 48-hour,
209,6,22,GaugeOnlyQPE72H,mm,-1,n/a,-3,Gauge only precipitation accumulation 72-hour,
209,6,23,MountainMapperQPE01H,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 1-hour,
209,6,24,MountainMapperQPE03H,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 3-hour,
209,6,25,MountainMapperQPE06H,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 6-hour,
209,6,26,MountainMapperQPE12H,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 12-hour,
209,6,27,MountainMapperQPE24H,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 24-hour,
209,6,28,MountainMapperQPE48H,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 48-hour,
209,6,29,MountainMapperQPE72H,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 72-hour,
209,7,0,ModelSurfaceTemp,C,-99,n/a,-999,Model Surface temperature [RAP 13km],Available in March 2015
209,7,1,ModelWetBulbTemp,C,-99,n/a,-999,Model Surface wet bulb temperature [RAP 13km],Available in March 2015
209,7,2,WarmRainProbability,%,-1,n/a,-3,Probability of warm rain [RAP 13km derived],
209,7,3,ModelHeight0C,m MSL,-1,n/a,-3,Model Freezing Level Height [RAP 13km],Available in March 2015
209,7,4,BrightBandTopHeight,m AGL,-1,n/a,-3,Brightband Top Radar [RAP 13km derived],
209,7,5,BrightBandBottomHeight,m AGL,-1,n/a,-3,Brightband Bottom Radar [RAP 13km derived],
209,8,0,RadarQualityIndex,non-dim,-1,n/a,-3,Radar Quality Index,
209,8,1,GaugeInflIndex01H,non-dim,-1,n/a,-3,Gauge Influence Index for 1-hour QPE,Available in March 2015
209,8,2,GaugeInflIndex03H,non-dim,-1,n/a,-3,Gauge Influence Index for 3-hour QPE,Available in March 2015
209,8,3,GaugeInflIndex06H,non-dim,-1,n/a,-3,Gauge Influence Index for 6-hour QPE,Available in March 2015
209,8,4,GaugeInflIndex12H,non-dim,-1,n/a,-3,Gauge Influence Index for 12-hour QPE,Available in March 2015
209,8,5,GaugeInflIndex24H,non-dim,-1,n/a,-3,Gauge Influence Index for 24-hour QPE,Available in March 2015
209,8,6,GaugeInflIndex48H,non-dim,-1,n/a,-3,Gauge Influence Index for 48-hour QPE,Available in March 2015
209,8,7,GaugeInflIndex72H,non-dim,-1,n/a,-3,Gauge Influence Index for 72-hour QPE,Available in March 2015
209,8,8,SeamlessHSR,dBZ,-99,n/a,-999,Seamless Hybrid Scan Reflectivity with VPR correction,
209,8,9,SeamlessHSRHeight,km AGL,-1,n/a,-3,Height of Seamless Hybrid Scan Reflectivity,
209,9,0,ConusMergedReflectivityQC,dBZ,-99,n/a,-999,WSR-88D 3D Reflectivty Mosaic - 33 CAPPIS (500-19000m),33 levels (one file per level)
209,9,1,ConusPlusMergedReflectivityQC,dBZ,-99,n/a,-999,All Radar 3D Reflectivty Mosaic - 33 CAPPIS (500-19000m),33 levels (one file per level)
209,10,0,MergedReflectivityQCComposite,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (optimal method),
209,10,1,HeightCompositeReflectivity,m MSL,-1,n/a,-3,Height of Composite Reflectivity Mosaic (optimal method),
209,10,2,LowLevelCompositeReflectivity,dBZ,-99,n/a,-999,Low-Level Composite Reflectivity Mosaic (0-4km),
209,10,3,HeightLowLevelCompositeReflectivity,m MSL,-1,n/a,-3,Height of Low-Level Composite Reflectivity Mosaic (0-4km),
209,10,4,LayerCompositeReflectivity_Low,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 0-24kft (low altitude),
209,10,5,LayerCompositeReflectivity_High,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 24-60 kft (highest altitude),
209,10,6,LayerCompositeReflectivity_Super,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 33-60 kft (super high altitude),
209,10,7,ReflectivityCompositeHourlyMax,dBZ,-99,n/a,-999,Composite Reflectivity Hourly Maximum,
209,10,8,ReflectivityMaxAboveM10C,dBZ,-99,n/a,-999,Maximum Reflectivity at -10 deg C height and above,Available in March 2015
209,11,0,MergedBaseReflectivityQC,dBZ,-99,n/a,-999,Mosaic Base Reflectivity (optimal method),
209,11,1,MergedReflectivityComposite,dBZ,-99,n/a,-999,UnQc’d Composite Reflectivity Mosaic (max ref),
209,11,2,MergedReflectivityQComposite,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (max ref),
