Class,FXY,enElementName,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth,Status
02,002056,Geostationary soundings accuracy statistics,Code table,0,0,4,Code table,0,2,Operational
02,002057,Origin of first guess information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2,Operational
02,002058,Valid times of first guess information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2,Operational
02,002059,Origin of analysis information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2,Operational
02,002060,Origin of surface information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2,Operational
02,002061,Aircraft navigational system,Code table,0,0,3,Code table,0,1,Operational
02,002062,Type of aircraft data relay system,Code table,0,0,4,Code table,0,2,Operational
02,002063,Aircraft roll angle,Degree,2,-18000,16,Degree,2,5,Operational
02,002064,Aircraft roll angle quality,Code table,0,0,2,Code table,0,1,Operational
02,002065,ACARS ground-receiving station,CCITT IA5,0,0,40,Character,0,5,Operational
02,002066,Radiosonde ground receiving system,Code table,0,0,6,Code table,0,2,Operational
02,002067,Radiosonde operating frequency,Hz,-5,0,15,Hz,-5,5,Operational
02,002070,Original specification of latitude/longitude,Code table,0,0,4,Code table,0,2,Operational
02,002071,Spectrographic wavelength,m,13,0,30,m,13,10,Operational
02,002072,Spectrographic width,m,13,0,30,m,13,10,Operational
02,002080,Balloon manufacturer,Code table,0,0,6,Code table,0,2,Operational
02,002081,Type of balloon,Code table,0,0,5,Code table,0,2,Operational
02,002082,Weight of balloon,kg,3,0,12,kg,3,4,Operational
02,002083,Type of balloon shelter,Code table,0,0,4,Code table,0,2,Operational
02,002084,Type of gas used in balloon,Code table,0,0,4,Code table,0,2,Operational
02,002085,Amount of gas used in balloon,kg,3,0,13,kg,3,4,Operational
02,002086,Balloon flight train length,m,1,0,10,m,1,4,Operational
02,002091,Entry sensor 4/20 mA,A,4,0,10,A,4,3,Operational
02,002095,Type of pressure sensor,Code table,0,0,5,Code table,0,2,Operational
02,002096,Type of temperature sensor,Code table,0,0,5,Code table,0,2,Operational
02,002097,Type of humidity sensor,Code table,0,0,5,Code table,0,2,Operational
02,002098,Type of wave sensor,Code table,0,0,4,Code table,0,2,Validation
02,002099,Polarisation,Code table,0,0,3,Code table,0,1,Operational
02,002100,Radar constant,dB,1,0,12,dB,1,4,Operational
02,002101,Type of antenna,Code table,0,0,4,Code table,0,2,Operational
02,002102,Antenna height above tower base,m,0,0,8,m,0,3,Operational
02,002103,Radome,Flag table,0,0,2,Flag table,0,1,Operational
02,002104,Antenna polarisation,Code table,0,0,4,Code table,0,2,Operational
02,002105,Maximum antenna gain,dB,0,0,6,dB,0,2,Operational
02,002106,3-dB beamwidth,Degree,1,0,6,Degree,1,2,Operational
02,002107,Sidelobe suppression,dB,0,0,6,dB,0,2,Operational
02,002108,Crosspol discrimination (on axis),dB,0,0,6,dB,0,2,Operational
02,002109,Antenna speed (azimuth),Degree s-1,2,0,12,Degree s-1,2,4,Operational
02,002110,Antenna speed (elevation),Degree s-1,2,0,12,Degree s-1,2,4,Operational
02,002111,Radar incidence angle,Degree,1,0,10,Degree,1,4,Operational
02,002112,Radar look angle,Degree,1,0,12,Degree,1,4,Operational
02,002113,Number of azimuth looks,Numeric,0,0,4,Numeric,0,2,Operational
02,002114,Antenna effective surface area,m2,0,0,15,m2,0,5,Operational
02,002115,Type of surface observing equipment,Code table,0,0,5,Code table,0,2,Operational
02,002116,Percentage of 320 MHz band processed,%,0,0,7,%,0,3,Operational
02,002117,Percentage of 80 MHz band processed,%,0,0,7,%,0,3,Operational
02,002118,Percentage of 20 MHz band processed,%,0,0,7,%,0,3,Operational
02,002119,RA-2 instrument operations,Code table,0,0,3,Code table,0,1,Operational
02,002120,Ocean wave frequency,Hz,3,0,10,Hz,3,4,Operational
02,002121,Mean frequency,Hz,-8,0,7,Hz,-8,3,Operational
02,002122,Frequency agility range,Hz,-6,-128,8,Hz,-6,3,Operational
02,002123,Peak power,W,-4,0,7,W,-4,3,Operational
02,002124,Average power,W,-1,0,7,W,-1,3,Operational
02,002125,Pulse repetition frequency,Hz,-1,0,8,Hz,-1,3,Operational
02,002126,Pulse width,s,7,0,6,s,7,2,Operational
02,002127,Receiver intermediate frequency,Hz,-6,0,7,Hz,-6,3,Operational
02,002128,Intermediate frequency bandwidth,Hz,-5,0,6,Hz,-5,2,Operational
02,002129,Minimum detectable signal,dB,0,-150,5,dB,0,3,Operational
02,002130,Dynamic range,dB,0,0,7,dB,0,3,Operational
02,002131,Sensitivity time control (STC),Flag table,0,0,2,Flag table,0,1,Operational
02,002132,Azimuth pointing accuracy,Degree,2,0,6,Degree,2,2,Operational
02,002133,Elevation pointing accuracy,Degree,2,0,6,Degree,2,2,Operational
02,002134,Antenna beam azimuth,Degree,2,0,16,Degree,2,5,Operational
02,002135,Antenna elevation,Degree,2,-9000,15,Degree,2,5,Operational
02,002136,Range processed by range attenuation correction,m,-3,0,16,m,-3,5,Operational
02,002137,Radar Dual PRF ratio,Code table,0,0,4,Code table,0,2,Validation
02,002138,Antenna rotation direction,Code table,0,0,2,Code table,0,1,Validation
02,002140,Satellite radar beam azimuth angle,Degree,0,0,9,Degree,0,3,Operational
02,002141,Measurement type,CCITT IA5,0,0,24,Character,0,3,Operational
02,002142,Ozone instrument serial number/identification,CCITT IA5,0,0,32,Character,0,4,Operational
02,002143,Ozone instrument type,Code table,0,0,7,Code table,0,3,Operational
02,002144,Light source type for Brewer spectrophotometer,Code table,0,0,4,Code table,0,2,Operational
02,002145,Wave length setting for Dobson instruments,Code table,0,0,4,Code table,0,2,Operational
02,002146,Source conditions for Dobson instruments,Code table,0,0,4,Code table,0,2,Operational
02,002147,Method of transmission to collection centre,Code table,0,0,7,Code table,0,2,Validation
02,002148,Data collection and/or location system,Code table,0,0,5,Code table,0,2,Operational
02,002149,Type of data buoy,Code table,0,0,6,Code table,0,2,Operational
02,002150,TOVS/ATOVS/AVHRR instrumentation channel number,Code table,0,0,6,Code table,0,2,Operational
02,002151,Radiometer identifier,Code table,0,0,11,Code table,0,4,Operational
02,002152,Satellite instrument used in data processing,Flag table,0,0,31,Flag table,0,10,Operational
02,002153,Satellite channel centre frequency,Hz,-8,0,26,Hz,-8,8,Operational
02,002154,Satellite channel band width,Hz,-8,0,26,Hz,-8,8,Operational
02,002156,Percentage of valid KU ocean retracker measurements,%,0,0,7,%,0,3,Operational
02,002157,Percentage of valid S ocean retracker measurements,%,0,0,7,%,0,3,Operational
02,002158,RA-2 instrument,Flag table,0,0,9,Flag table,0,3,Operational
02,002159,MWR instrument,Flag table,0,0,8,Flag table,0,3,Operational
02,002160,Wave length of the radar,Code table,0,0,4,Code table,0,2,Operational
02,002163,Height assignment method,Code table,0,0,4,Code table,0,2,Operational
02,002164,Tracer correlation method,Code table,0,0,3,Code table,0,1,Operational
02,002165,Radiance type flags,Flag table,0,0,15,Flag table,0,5,Pre-operational
02,002166,Radiance type,Code table,0,0,4,Code table,0,2,Operational
02,002167,Radiance computational method,Code table,0,0,4,Code table,0,2,Operational
02,002168,Hydrostatic pressure of lower end of cable (thermistor string),Pa,-3,0,16,kPa,0,5,Operational
02,002169,Anemometer type,Code table,0,0,4,Code table,0,2,Operational
02,002172,Product type for retrieved atmospheric gases,Code table,0,0,8,Code table,0,3,Operational
02,002173,Square of the off-nadir angle,Degree2,4,0,10,Degree2,4,4,Operational
02,002174,Mean across track pixel number,Numeric,0,0,9,Numeric,0,3,Operational
02,002175,Method of precipitation measurement,Code table,0,0,4,Code table,0,2,Operational
02,002176,Method of state of ground measurement,Code table,0,0,4,Code table,0,2,Operational
02,002177,Method of snow depth measurement,Code table,0,0,4,Code table,0,2,Operational
02,002178,Method of liquid content measurement of precipitation,Code table,0,0,4,Code table,0,2,Operational
02,002179,Type of sky condition algorithm,Code table,0,0,4,Code table,0,2,Operational
02,002180,Main present weather detecting system,Code table,0,0,4,Code table,0,2,Operational
02,002181,Supplementary present weather sensor,Flag table,0,0,21,Flag table,0,7,Operational
02,002182,Visibility measurement system,Code table,0,0,4,Code table,0,2,Operational
02,002183,Cloud detection system,Code table,0,0,4,Code table,0,2,Operational
02,002184,Type of lightning detection sensor,Code table,0,0,4,Code table,0,2,Operational
02,002185,Method of evaporation measurement,Code table,0,0,4,Code table,0,2,Operational
02,002186,Capability to detect precipitation phenomena,Flag table,0,0,30,Flag table,0,10,Operational
02,002187,Capability to detect other weather phenomena,Flag table,0,0,18,Flag table,0,6,Operational
02,002188,Capability to detect obscuration,Flag table,0,0,21,Flag table,0,7,Operational
02,002189,Capability to discriminate lightning strikes,Flag table,0,0,12,Flag table,0,4,Operational
02,002190,Lagrangian drifter submergence (% time submerged),%,0,0,7,%,0,3,Operational
02,002191,Geopotential height calculation,Code table,0,0,4,Code table,0,2,Validation
04,004001,Year,Year,0,0,12,Year,0,4,Operational
04,004002,Month,Month,0,0,4,Month,0,2,Operational
04,004003,Day,Day,0,0,6,Day,0,2,Operational
04,004004,Hour,Hour,0,0,5,Hour,0,2,Operational
04,004005,Minute,Minute,0,0,6,Minute,0,2,Operational
04,004006,Second,Second,0,0,6,Second,0,2,Operational
04,004007,Seconds within a minute (microsecond accuracy),Second,6,0,26,Second,6,8,Operational
04,004008,Seconds Within a Minute (high accuracy),Second,7,0,30,,,,Validation
04,004011,Time increment,Year,0,-1024,11,Year,0,4,Operational
04,004012,Time increment,Month,0,-1024,11,Month,0,4,Operational
04,004013,Time increment,Day,0,-1024,11,Day,0,4,Operational
04,004014,Time increment,Hour,0,-1024,11,Hour,0,4,Operational
04,004015,Time increment,Minute,0,-2048,12,Minute,0,4,Operational
04,004016,Time increment,Second,0,-4096,13,Second,0,4,Operational
04,004017,Reference time period for accumulated or extreme data,Minute,0,-1440,12,Minute,0,4,Operational
04,004021,Time period or displacement,Year,0,-1024,11,Year,0,4,Operational
04,004022,Time period or displacement,Month,0,-1024,11,Month,0,4,Operational
04,004023,Time period or displacement,Day,0,-1024,11,Day,0,4,Operational
04,004024,Time period or displacement,Hour,0,-2048,12,Hour,0,4,Operational
04,004025,Time period or displacement,Minute,0,-2048,12,Minute,0,4,Operational
04,004026,Time period or displacement,Second,0,-4096,13,Second,0,4,Operational
04,004031,Duration of time relating to following value,Hour,0,0,8,Hour,0,3,Operational
04,004032,Duration of time relating to following value,Minute,0,0,6,Minute,0,2,Operational
04,004041,"Time difference, UTC - LMT",Minute,0,-1440,12,Minute,0,4,Operational
04,004043,Day of the year,Day,0,0,9,Day,0,3,Operational
04,004051,Principal time of daily reading of maximum temperature,Hour,0,0,5,Hour,0,2,Operational
04,004052,Principal time of daily reading of minimum temperature,Hour,0,0,5,Hour,0,2,Operational
04,004053,Number of days with precipitation equal to or more than 1 mm,Numeric,0,0, 6,Numeric,0,2,Operational
04,004059,Times of observation used to compute the reported mean values,Flag table,0,0,6,Flag table,0,2,Operational
04,004065,Short time increment,Minute,0,-128,8,Minute,0,2,Operational
04,004066,Short time increment,Second,0,-128,8,Second,0,2,Pre-operational
04,004073,Short time period or displacement,Day,0,-128,8,Day,0,2,Operational
04,004074,Short time period or displacement,Hour,0,-128,8,Hour,0,2,Operational
04,004075,Short time period or displacement,Minute,0,-128,8,Minute,0,2,Operational
04,004080,Averaging period for following value,Code table,0,0,4,Code table,0,2,Operational
04,004086,Long time period or displacement,Second,0,-8192,15,Second,0,5,Operational
05,005001,Latitude (high accuracy),Degree,5,-9000000,25,Degree,5,7,Operational
05,005002,Latitude (coarse accuracy),Degree,2,-9000,15,Degree,2,4,Operational
05,005011,Latitude increment (high accuracy),Degree,5,-9000000,25,Degree,5,7,Operational
05,005012,Latitude increment (coarse accuracy),Degree,2,-9000,15,Degree,2,4,Operational
05,005015,Latitude displacement (high accuracy),Degree,5,-9000000,25,Degree,5,7,Operational
05,005016,Latitude displacement (coarse accuracy),Degree,2,-9000,15,Degree,2,4,Operational
05,005021,Bearing or azimuth,Degree true,2,0,16,Degree true,2,5,Operational
05,005022,Solar azimuth,Degree true,2,0,16,Degree true,2,5,Operational
05,005023,Sun to satellite azimuth difference,Degree,1,-1800,12,Degree,1,4,Operational
05,005030,Direction (spectral),Degree,0,0,12,Degree,0,4,Operational
05,005031,Row number,Numeric,0,0,12,Numeric,0,4,Operational
05,005033,Pixel size on horizontal - 1,m,-1,0,16,m,-1,5,Operational
05,005034,Along track row number,Numeric,0,0,11,Numeric,0,4,Operational
05,005035,Maximum size of X-dimension,Numeric,0,0,12,Numeric,0,4,Validation
05,005036,Ship transect number according to SOOP,Numeric,0,0,7,Numeric,0,2,Operational
05,005040,Orbit number,Numeric,0,0,24,Numeric,0,8,Operational
05,005041,Scan line number,Numeric,0,0,8,Numeric,0,3,Operational
05,005042,Channel number,Numeric,0,0,6,Numeric,0,2,Operational
05,005043,Field of view number,Numeric,0,0,8,Numeric,0,3,Operational
05,005044,Satellite cycle number,Numeric,0,0,11,Numeric,0,4,Operational
05,005045,Field of regard number,Numeric,0,0,8,Numeric,0,3,Pre-operational
05,005052,Channel number increment,Numeric,0,0,5,Numeric,0,2,Operational
05,005053,Field of view number increment,Numeric,0,0,5,Numeric,0,2,Operational
05,005060,Y angular position from centre of gravity,Degree,6,-8000000,24,Degree,6,8,Operational
05,005061,Z angular position from centre of gravity,Degree,6,-8000000,24,Degree,6,8,Operational
06,006001,Longitude (high accuracy),Degree,5,-18000000,26,Degree,5,8,Operational
06,006002,Longitude (coarse accuracy),Degree,2,-18000,16,Degree,2,5,Operational
06,006011,Longitude increment (high accuracy),Degree,5,-18000000,26,Degree,5,8,Operational
06,006012,Longitude increment (coarse accuracy),Degree,2,-18000,16,Degree,2,5,Operational
06,006015,Longitude displacement (high accuracy),Degree,5,-18000000,26,Degree,5,8,Operational
06,006016,Longitude displacement (coarse accuracy),Degree,2,-18000,16,Degree,2,5,Operational
06,006021,Distance,m,-1,0,13,m,-1,4,Operational
06,006029,Wave number,m-1,1,0,22,m-1,1,7,Pre-operational
06,006030,Wave number (spectral),rad m-1,5,0,13,rad m-1,5,4,Operational
06,006031,Column number,Numeric,0,0,12,Numeric,0,4,Operational
06,006033,Pixel size on horizontal - 2,m,-1,0,16,m,-1,5,Operational
06,006034,Cross-track cell number,Numeric,0,0,7,Numeric,0,3,Operational
06,006035,Maximum size of Y-dimension,Numeric,0,0,12,Numeric,0,4,Validation
06,006040,Radius of confidence,m,0,0,13,m,0,4,Operational
07,007001,Height of station,m,0,-400,15,m,0,5,Operational
07,007002,Height or altitude,m,-1,-40,16,m,-1,5,Operational
07,007003,Geopotential,m2 s-2,-1,-400,17,m2 s-2, 1,6,Operational
07,007004,Pressure,Pa,-1,0,14,Pa,-1,5,Operational
07,007005,Height increment,m,0,-400,12,m,0,4,Operational
07,007006,Height above station,m,0,0,15,m,0,5,Operational
07,007007,Height,m,0,-1000,17,m,0,6,Operational
07,007008,Geopotential,m2 s-2,0,-10000,20,m2 s-2,0,7,Operational
07,007009,Geopotential height,gpm,0,-1000,17,gpm,0,5,Operational
07,007010,Flight level,m,0,-1024,16,ft,-1,5,Operational
07,007011,Pressure (high precision),Pa,0,0,30,Pa,0,10,Validation
07,007012,Grid point altitude,m,2,-50000,20,m,2,7,Operational
07,007021,Elevation,Degree,2,-9000,15,Degree,2,5,Operational
07,007022,Solar elevation,Degree,2,-9000,15,Degree,2,5,Operational
07,007024,Satellite zenith angle,Degree,2,-9000,15,Degree,2,5,Operational
07,007025,Solar zenith angle,Degree,2,-9000,15,Degree,2,5,Operational
07,007026,Satellite zenith angle,Degree,4,-900000,21,Degree,4,7,Operational
07,007030,Height of station ground above mean sea level,m,1,-4000,17,m,1,5,Operational
07,007031,Height of barometer above mean sea level,m,1,- 4000,17,m,1,5,Operational
07,007032,Height of sensor above local ground (or deck of marine platform),m,2,0,16,m,2,5,Operational
07,007033,Height of sensor above water surface,m,1,0,12,m,1,4,Operational
07,007035,Maximum size of Z-dimension,Numeric,0,0,12,Numeric,0,4,Validation
07,007036,Level index of Z,Numeric,0,0,12,Numeric,0,4,Validation
07,007040,Impact parameter,m,1,62000000,22,m,1,8,Operational
07,007061,Depth below land surface,m,2,0,14,m,2,5,Operational
07,007062,Depth below sea/water surface,m,1,0,17,m,1,6,Operational
