"No","ClassNo","ClassName_E","FXY","ElementName_E","Note_E","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit","CREX_Scale","CREX_DataWidth_Char","Status"
14.00,"00","BUFR/CREX table entries","000015","Units name",,"CCITT IA5","0","0","192","Character","0","24","Operational"
15.00,"00","BUFR/CREX table entries","000016","Units scale sign",,"CCITT IA5","0","0","8","Character","0","1","Operational"
16.00,"00","BUFR/CREX table entries","000017","Units scale",,"CCITT IA5","0","0","24","Character","0","3","Operational"
17.00,"00","BUFR/CREX table entries","000018","Units reference sign",,"CCITT IA5","0","0","8","Character","0","1","Operational"
18.00,"00","BUFR/CREX table entries","000019","Units reference value",,"CCITT IA5","0","0","80","Character","0","10","Operational"
19.00,"00","BUFR/CREX table entries","000020","Element data width",,"CCITT IA5","0","0","24","Character","0","3","Operational"
20.00,"00","BUFR/CREX table entries","000024","Code figure",,"CCITT IA5","0","0","64","Character","0","8","Validation"
21.00,"00","BUFR/CREX table entries","000025","Code figure meaning",,"CCITT IA5","0","0","496","Character","0","62","Validation"
22.00,"00","BUFR/CREX table entries","000026","Bit number",,"CCITT IA5","0","0","16","Character","0","2","Validation"
23.00,"00","BUFR/CREX table entries","000027","Bit number meaning",,"CCITT IA5","0","0","496","Character","0","62","Validation"
24.00,"00","BUFR/CREX table entries","000030","Descriptor defining sequence",,"CCITT IA5","0","0","48","Character","0","6","Operational"
25.00,"01","Identification","001001","WMO block number",,"Numeric","0","0","7","Numeric","0","2","Operational"
26.00,"01","Identification","001002","WMO station number",,"Numeric","0","0","10","Numeric","0","3","Operational"
27.00,"01","Identification","001003","WMO Region number/geographical area",,"Code table","0","0","3","Code table","0","1","Operational"
28.00,"01","Identification","001004","WMO Region sub-area","(see Note 9)#BUFR_15_1_1_TableB.doc#BC_Cls01","Numeric","0","0","3","Numeric","0","1","Operational"
29.00,"01","Identification","001005","Buoy/platform identifier",,"Numeric","0","0","17","Numeric","0","5","Operational"
30.00,"01","Identification","001006","Aircraft flight number",,"CCITT IA5","0","0","64","Character","0","8","Operational"
31.00,"01","Identification","001007","Satellite identifier",,"Code table","0","0","10","Code table","0","4","Operational"
32.00,"01","Identification","001008","Aircraft registration number or other identification",,"CCITT IA5","0","0","64","Character","0","8","Operational"
33.00,"01","Identification","001009","Type of commercial aircraft",,"CCITT IA5","0","0","64","Character","0","8","Operational"
34.00,"01","Identification","001010","Stationary buoy platform identifier; e.g. C-MAN buoys",,"CCITT IA5","0","0","64","Character","0","8","Operational"
35.00,"01","Identification","001011","Ship or mobile land station identifier",,"CCITT IA5","0","0","72","Character","0","9","Operational"
36.00,"01","Identification","001012","Direction of motion of moving observing platform (degree true)","*#BUFR_15_1_1_TableB.doc#BC_Cls01a","deg","0","0","9","deg","0","3","Operational"
37.00,"01","Identification","001013","Speed of motion of moving observing platform","*#BUFR_15_1_1_TableB.doc#BC_Cls01a","m/s","0","0","10","m/s","0","3","Operational"
38.00,"01","Identification","001014","Platform drift speed (high precision)",,"m/s","2","0","10","m/s","2","4","Operational"
39.00,"01","Identification","001015","Station or site name",,"CCITT IA5","0","0","160","Character","0","20","Operational"
40.00,"01","Identification","001018","Short station or site name",,"CCITT IA5","0","0","40","Character","0","5","Operational"
41.00,"01","Identification","001019","Long station or site name",,"CCITT IA5","0","0","256","Character","0","32","Operational"
42.00,"01","Identification","001020","WMO Region sub-area",,"Numeric","0","0","4","Numeric","0","2","Operational"
43.00,"01","Identification","001021","Synoptic feature identifier",,"Numeric","0","0","14","Numeric","0","4","Operational"
44.00,"01","Identification","001022","Name of feature","(see Note 11)#BUFR_15_1_1_TableB.doc#BC_Cls01","CCITT IA5","0","0","224","Character","0","28","Operational"
45.00,"01","Identification","001023","Observation sequence number",,"Numeric","0","0","9","Numeric","0","3","Operational"
46.00,"01","Identification","001024","Wind speed source",,"Code table","0","0","5","Code table","0","2","Operational"
47.00,"01","Identification","001025","Storm identifier","(see Note 1)#BUFR_15_1_1_TableB.doc#BC_Cls01","CCITT IA5","0","0","24","Character","0","3","Operational"
48.00,"01","Identification","001026","WMO storm name","**#BUFR_15_1_1_TableB.doc#BC_Cls01aa","CCITT IA5","0","0","64","Character","0","8","Operational"
49.00,"01","Identification","001027","WMO long storm name","**#BUFR_15_1_1_TableB.doc#BC_Cls01aa","CCITT IA5","0","0","80","Character","0","10","Operational"
50.00,"01","Identification","001028","Aerosol optical depth (AOD) source",,"Code table","0","0","5","Code table","0","2","Operational"
51.00,"01","Identification","001029","SSI source",,"Code table","0","0","5","Code table","0","2","Operational"
52.00,"01","Identification","001030","Numerical model identifier","(see Note 13)#BUFR_15_1_1_TableB.doc#BC_Cls01","CCITT IA5","0","0","128","Character","0","16","Operational"
53.00,"01","Identification","001031","Identification of originating/generating centre","(see Note 10)#BUFR_15_1_1_TableB.doc#BC_Cls01","Code table","0","0","16","Code table","0","5","Operational"
54.00,"01","Identification","001032","Generating application","(Notes 3, 4 and 5)#BUFR_15_1_1_TableB.doc#BC_Cls01","Code table defined by originating/generating centre","0","0","8","Code table","0","3","Operational"
55.00,"01","Identification","001033","Identification of originating/generating centre",,"Common Code table C-1","0","0","8","Common Code table C-1","0","3","Operational"
56.00,"01","Identification","001034","Identification of originating/generating sub-centre",,"Common Code table C-12","0","0","8","Common Code table C-12","0","3","Operational"
57.00,"01","Identification","001035","Originating centre",,"Common Code table C-11","0","0","16","Common Code Table C-11","0","5","Operational"
58.00,"01","Identification","001036","Agency in charge of operating the observing platform",,"Code table","0","0","20","Code table","0","7","Operational"
59.00,"01","Identification","001037","SIGMET sequence identifier",,"CCITT IA5","0","0","24","Character","0","3","Operational"
60.00,"01","Identification","001038","Source of sea ice fraction",,"Code table","0","0","5","Code table","0","2","Operational"
61.00,"01","Identification","001039","Graphical Area Forecast (GFA) sequence identifier",,"CCITT IA5","0","0","40","Character","0","5","Operational"
62.00,"01","Identification","001041","Absolute platform velocity - first component","(see Note 6)#BUFR_15_1_1_TableB.doc#BC_Cls01","m/s","5","-1073741824","31","m/s","5","10","Operational"
63.00,"01","Identification","001042","Absolute platform velocity - second component","(see Note 6)#BUFR_15_1_1_TableB.doc#BC_Cls01","m/s","5","-1073741824","31","m/s","5","10","Operational"
64.00,"01","Identification","001043","Absolute platform velocity - third component","(see Note 6)#BUFR_15_1_1_TableB.doc#BC_Cls01","m/s","5","-1073741824","31","m/s","5","10","Operational"
65.00,"01","Identification","001050","Platform transmitter ID number",,"Numeric","0","0","17","Numeric","0","6","Operational"
66.00,"01","Identification","001051","Platform transmitter ID number",,"CCITT IA5","0","0","96","Character","0","12","Operational"
67.00,"01","Identification","001052","Platform transmitter ID",,"Code table","0","0","3","Code table","0","1","Operational"
68.00,"01","Identification","001053","Tsunameter report sequence number triggered by a tsunami event",,"Numeric","0","0","7","Numeric","0","2","Operational"
69.00,"01","Identification","001060","Aircraft reporting point (Beacon identifier)",,"CCITT IA5","0","0","64","Character","0","8","Operational"
70.00,"01","Identification","001062","Short ICAO location indicator",,"CCITT IA5","0","0","32","Character","0","4","Operational"
71.00,"01","Identification","001063","ICAO location indicator",,"CCITT IA5","0","0","64","Character","0","8","Operational"
72.00,"01","Identification","001064","Runway designator",,"CCITT IA5","0","0","32","Character","0","4","Operational"
73.00,"01","Identification","001065","ICAO region identifier",,"CCITT IA5","0","0","256","Character","0","32","Operational"
74.00,"01","Identification","001075","Tide station identification",,"CCITT IA5","0","0","40","Character","0","5","Operational"
75.00,"01","Identification","001080","Ship line number according to SOOP",,"CCITT IA5","0","0","32","Character","0","4","Operational"
76.00,"01","Identification","001081","Radiosonde serial number",,"CCITT IA5","0","0","160","Character","0","20","Operational"
77.00,"01","Identification","001082","Radiosonde ascension number","(see Note 12)#BUFR_15_1_1_TableB.doc#BC_Cls01","Numeric","0","0","14","Numeric","0","4","Operational"
78.00,"01","Identification","001083","Radiosonde release number","(see Note 12)#BUFR_15_1_1_TableB.doc#BC_Cls01","Numeric","0","0","3","Numeric","0","1","Operational"
79.00,"01","Identification","001085","Observing platform manufacturer's model",,"CCITT IA5","0","0","160","Character","0","20","Operational"
80.00,"01","Identification","001086","Observing platform manufacturer's serial number",,"CCITT IA5","0","0","256","Character","0","32","Operational"
81.00,"01","Identification","001087","WMO Marine observing platform extended identifier",,"Numeric","0","0","23","Numeric","0","7","Operational"
82.00,"01","Identification","001090","Technique for making up initial perturbations",,"Code table","0","0","8","Code table","0","3","Operational"
83.00,"01","Identification","001091","Ensemble member number",,"Numeric","0","0","10","Numeric","0","4","Operational"
84.00,"01","Identification","001092","Type of ensemble forecast",,"Code table","0","0","8","Code table","0","3","Operational"
85.00,"01","Identification","001093","Balloon lot number",,"CCITT IA5","0","0","96","Character","0","12","Operational"
86.00,"01","Identification","001094","WBAN Number",,"Numeric","0","0","17","Numeric","0","5","Operational"
87.00,"01","Identification","001095","Observer identification",,"CCITT IA5","0","0","32","Character","0","4","Operational"
88.00,"01","Identification","001096","Station acquisition",,"CCITT IA5","0","0","160","Character","0","20","Operational"
89.00,"01","Identification","001097","Star catalog number",,"Numeric","0","0","13","Numeric","0","4","Validation"
90.00,"01","Identification","001098","Type of product",,"Code table","0","0","12","Code table","0","4","Validation"
91.00,"01","Identification","001099","Unique product definition",,"CCITT IA5","0","0","248","Character","0","31","Validation"
92.00,"01","Identification","001101","State identifier",,"Code table","0","0","10","Code table","0","3","Operational"
93.00,"01","Identification","001102","National station number",,"Numeric","0","0","30","Numeric","0","9","Operational"
94.00,"01","Identification","001103","IMO Number. Unique Lloyd's registry",,"Numeric","0","0","14","Numeric","0","5","Validation"
95.00,"01","Identification","001110","Aircraft tail number",,"CCITT IA5","0","0","48","Character","0","6","Validation"
96.00,"01","Identification","001111","Origination airport",,"CCITT IA5","0","0","24","Character","0","3","Validation"
97.00,"01","Identification","001112","Destination airport",,"CCITT IA5","0","0","24","Character","0","3","Validation"
98.00,"01","Identification","001113","Template version number defined by originating centre",,"Numeric","1","0","9","Numeric","1","3","Validation"
99.00,"01","Identification","001124","Grid point identifier",,"Numeric","0","0","24","Numeric","0","8","Operational"
100.00,"01","Identification","001144","Snapshot identifier",,"Numeric","0","0","31","Numeric","0","10","Operational"
101.00,"02","Instrumentation","002001","Type of station",,"Code table","0","0","2","Code table","0","1","Operational"
102.00,"02","Instrumentation","002002","Type of instrumentation for wind measurement",,"Flag table","0","0","4","Flag table","0","2","Operational"
103.00,"02","Instrumentation","002003","Type of measuring equipment used",,"Code table","0","0","4","Code table","0","2","Operational"
104.00,"02","Instrumentation","002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported",,"Code table","0","0","4","Code table","0","2","Operational"
105.00,"02","Instrumentation","002005","Precision of temperature observation",,"K","2","0","7","K","2","3","Operational"
106.00,"02","Instrumentation","002007","Type of sensor for water level measuring instrument",,"Code table","0","0","4","Code table","0","2","Validation"
107.00,"02","Instrumentation","002011","Radiosonde type",,"Code table","0","0","8","Code table","0","3","Operational"
108.00,"02","Instrumentation","002012","Radiosonde computational method",,"Code table","0","0","4","Code table","0","2","Operational"
109.00,"02","Instrumentation","002013","Solar and infrared radiation correction",,"Code table","0","0","4","Code table","0","2","Operational"
110.00,"02","Instrumentation","002014","Tracking technique/status of system used",,"Code table","0","0","7","Code table","0","3","Operational"
111.00,"02","Instrumentation","002015","Radiosonde completeness",,"Code table","0","0","4","Code table","0","2","Operational"
112.00,"02","Instrumentation","002016","Radiosonde configuration",,"Flag table","0","0","5","Flag table","0","2","Operational"
113.00,"02","Instrumentation","002019","Satellite instruments",,"Code table","0","0","11","Code table","0","4","Operational"
114.00,"02","Instrumentation","002020","Satellite classification",,"Code table","0","0","9","Code table","0","3","Operational"
115.00,"02","Instrumentation","002021","Satellite instrument data used in processing","*#BUFR_15_1_1_TableB.doc#BC_Cls02a","Flag table","0","0","9","Flag table","0","3","Operational"
116.00,"02","Instrumentation","002022","Satellite data-processing technique used",,"Flag table","0","0","8","Flag table","0","3","Operational"
117.00,"02","Instrumentation","002023","Satellite-derived wind computation method",,"Code table","0","0","4","Code table","0","2","Operational"
118.00,"02","Instrumentation","002024","Integrated mean humidity computational method",,"Code table","0","0","4","Code table","0","2","Operational"
119.00,"02","Instrumentation","002025","Satellite channel(s) used in computation",,"Flag table","0","0","25","Flag table","0","9","Operational"
120.00,"02","Instrumentation","002026","Cross-track resolution",,"m","2","0","12","m","2","4","Operational"
121.00,"02","Instrumentation","002027","Along-track resolution",,"m","2","0","12","m","2","4","Operational"
122.00,"02","Instrumentation","002028","Segment size at nadir in x-direction",,"m","0","0","18","m","0","6","Operational"
123.00,"02","Instrumentation","002029","Segment size at nadir in y-direction",,"m","0","0","18","m","0","6","Operational"
124.00,"02","Instrumentation","002030","Method of current measurement",,"Code table","0","0","3","Code table","0","1","Operational"
125.00,"02","Instrumentation","002031","Duration and time of current measurement",,"Code table","0","0","5","Code table","0","2","Operational"
126.00,"02","Instrumentation","002032","Indicator for digitization",,"Code table","0","0","2","Code table","0","1","Operational"
127.00,"02","Instrumentation","002033","Method of salinity/depth measurement",,"Code table","0","0","3","Code table","0","1","Operational"
128.00,"02","Instrumentation","002034","Drogue type",,"Code table","0","0","5","Code table","0","2","Operational"
129.00,"02","Instrumentation","002035","Cable length",,"m","0","0","9","m","0","3","Operational"
130.00,"02","Instrumentation","002036","Buoy type",,"Code table","0","0","2","Code table","0","1","Operational"
131.00,"02","Instrumentation","002037","Method of tidal observation",,"Code table","0","0","3","Code table","0","1","Operational"
132.00,"02","Instrumentation","002038","Method of water temperature and/or salinity measurement",,"Code table","0","0","4","Code table","0","2","Operational"
133.00,"02","Instrumentation","002039","Method of wet-bulb temperature measurement",,"Code table","0","0","3","Code table","0","1","Operational"
134.00,"02","Instrumentation","002040","Method of removing velocity and motion of platform from current",,"Code table","0","0","4","Code table","0","2","Operational"
135.00,"02","Instrumentation","002041","Method for estimating reports related to synoptic features",,"Code table","0","0","6","Code table","0","2","Operational"
136.00,"02","Instrumentation","002042","Indicator for sea surface current speed",,"Code table","0","0","2","Code table","0","1","Operational"
137.00,"02","Instrumentation","002044","Indicator for method of calculating spectral wave data",,"Code table","0","0","4","Code table","0","2","Operational"
138.00,"02","Instrumentation","002045","Indicator for type of platform",,"Code table","0","0","4","Code table","0","2","Operational"
139.00,"02","Instrumentation","002046","Wave measurement instrumentation",,"Code table","0","0","4","Code table","0","2","Operational"
140.00,"02","Instrumentation","002047","Deep-ocean tsunameter type",,"Code table","0","0","7","Code table","0","2","Operational"
141.00,"02","Instrumentation","002048","Satellite sensor indicator",,"Code table","0","0","4","Code table","0","2","Operational"
142.00,"02","Instrumentation","002049","Geostationary satellite data-processing technique used",,"Flag table","0","0","8","Flag table","0","3","Operational"
143.00,"02","Instrumentation","002050","Geostationary sounder satellite channels used",,"Flag table","0","0","20","Flag table","0","7","Operational"
144.00,"02","Instrumentation","002051","Indicator to specify observing method for extreme temperatures",,"Code table","0","0","4","Code table","0","2","Operational"
145.00,"02","Instrumentation","002052","Geostationary imager satellite channels used",,"Flag table","0","0","6","Flag table","0","2","Operational"
146.00,"02","Instrumentation","002053","GOES-I/M brightness temperature characteristics",,"Code table","0","0","4","Code table","0","2","Operational"
147.00,"02","Instrumentation","002054","GOES-I/M soundings parameter characteristics",,"Code table","0","0","4","Code table","0","2","Operational"
148.00,"02","Instrumentation","002055","Geostationary soundings statistical parameters",,"Code table","0","0","4","Code table","0","2","Operational"
149.00,"02","Instrumentation","002056","Geostationary soundings accuracy statistics",,"Code table","0","0","4","Code table","0","2","Operational"
150.00,"02","Instrumentation","002057","Origin of first-guess information for GOES-I/M soundings",,"Code table","0","0","4","Code table","0","2","Operational"
151.00,"02","Instrumentation","002058","Valid times of first guess information for GOES-I/M soundings",,"Code table","0","0","4","Code table","0","2","Operational"
152.00,"02","Instrumentation","002059","Origin of analysis information for GOES-I/M soundings",,"Code table","0","0","4","Code table","0","2","Operational"
153.00,"02","Instrumentation","002060","Origin of surface information for GOES-I/M soundings",,"Code table","0","0","4","Code table","0","2","Operational"
154.00,"02","Instrumentation","002061","Aircraft navigational system",,"Code table","0","0","3","Code table","0","1","Operational"
155.00,"02","Instrumentation","002062","Type of aircraft data relay system",,"Code table","0","0","4","Code table","0","2","Operational"
156.00,"02","Instrumentation","002063","Aircraft roll angle",,"deg","2","-18000","16","deg","2","5","Operational"
157.00,"02","Instrumentation","002064","Aircraft roll angle quality",,"Code table","0","0","2","Code table","0","1","Operational"
158.00,"02","Instrumentation","002065","ACARS ground-receiving station",,"CCITT IA5","0","0","40","Character","0","5","Operational"
159.00,"02","Instrumentation","002066","Radiosonde ground receiving system",,"Code table","0","0","6","Code table","0","2","Operational"
160.00,"02","Instrumentation","002067","Radiosonde operating frequency",,"Hz","-5","0","15","Hz","-5","5","Operational"
161.00,"02","Instrumentation","002070","Original specification of latitude/longitude",,"Code table","0","0","4","Code table","0","2","Operational"
162.00,"02","Instrumentation","002071","Spectrographic wavelength",,"m","13","0","30","m","13","10","Operational"
163.00,"02","Instrumentation","002072","Spectrographic width",,"m","13","0","30","m","13","10","Validation"
164.00,"02","Instrumentation","002080","Balloon manufacturer",,"Code table","0","0","6","Code table","0","2","Operational"
165.00,"02","Instrumentation","002081","Type of balloon",,"Code table","0","0","5","Code table","0","2","Operational"
166.00,"02","Instrumentation","002082","Weight of balloon",,"kg","3","0","12","kg","3","4","Operational"
167.00,"02","Instrumentation","002083","Type of balloon shelter",,"Code table","0","0","4","Code table","0","2","Operational"
168.00,"02","Instrumentation","002084","Type of gas used in balloon",,"Code table","0","0","4","Code table","0","2","Operational"
169.00,"02","Instrumentation","002085","Amount of gas used in balloon",,"kg","3","0","13","kg","3","4","Operational"
170.00,"02","Instrumentation","002086","Balloon flight train length",,"m","1","0","10","m","1","4","Operational"
171.00,"02","Instrumentation","002091","Entry sensor 4/20 mA",,"A","4","0","10","A","4","3","Operational"
172.00,"02","Instrumentation","002095","Type of pressure sensor",,"Code table","0","0","5","Code table","0","2","Operational"
173.00,"02","Instrumentation","002096","Type of temperature sensor",,"Code table","0","0","5","Code table","0","2","Operational"
174.00,"02","Instrumentation","002097","Type of humidity sensor",,"Code table","0","0","5","Code table","0","2","Operational"
175.00,"02","Instrumentation","002098","Type of wave sensor",,"Code table","0","0","4","Code table","0","2","Validation"
176.00,"02","Instrumentation","002099","Polarization",,"Code table","0","0","3","Code table","0","1","Operational"
177.00,"02","Instrumentation","002100","Radar constant","**#BUFR_15_1_1_TableB.doc#BC_Cls02aa","dB","1","0","12","dB","1","4","Operational"
178.00,"02","Instrumentation","002101","Type of antenna",,"Code table","0","0","4","Code table","0","2","Operational"
179.00,"02","Instrumentation","002102","Antenna height above tower base",,"m","0","0","8","m","0","3","Operational"
180.00,"02","Instrumentation","002103","Radome",,"Flag table","0","0","2","Flag table","0","1","Operational"
181.00,"02","Instrumentation","002104","Antenna polarization",,"Code table","0","0","4","Code table","0","2","Operational"
182.00,"02","Instrumentation","002105","Maximum antenna gain",,"dB","0","0","6","dB","0","2","Operational"
183.00,"02","Instrumentation","002106","3-dB beamwidth",,"deg","1","0","6","deg","1","2","Operational"
184.00,"02","Instrumentation","002107","Sidelobe suppression",,"dB","0","0","6","dB","0","2","Operational"
185.00,"02","Instrumentation","002108","Crosspol discrimination (on axis)",,"dB","0","0","6","dB","0","2","Operational"
186.00,"02","Instrumentation","002109","Antenna speed (azimuth)",,"deg/s","2","0","12","deg/s","2","4","Operational"
187.00,"02","Instrumentation","002110","Antenna speed (elevation)",,"deg/s","2","0","12","deg/s","2","4","Operational"
188.00,"02","Instrumentation","002111","Radar incidence angle",,"deg","1","0","10","deg","1","4","Operational"
189.00,"02","Instrumentation","002112","Radar look angle",,"deg","1","0","12","deg","1","4","Operational"
190.00,"02","Instrumentation","002113","Number of azimuth looks",,"Numeric","0","0","4","Numeric","0","2","Operational"
191.00,"02","Instrumentation","002114","Antenna effective surface area",,"m2","0","0","15","m2","0","5","Operational"
192.00,"02","Instrumentation","002115","Type of surface observing equipment",,"Code table","0","0","5","Code table","0","2","Operational"
193.00,"02","Instrumentation","002116","Percentage of 320 MHz band processed",,"%","0","0","7","%","0","3","Operational"
194.00,"02","Instrumentation","002117","Percentage of 80 MHz band processed",,"%","0","0","7","%","0","3","Operational"
195.00,"02","Instrumentation","002118","Percentage of 20 MHz band processed",,"%","0","0","7","%","0","3","Operational"
196.00,"02","Instrumentation","002119","Instrument operations",,"Code table","0","0","3","Code table","0","1","Operational"
197.00,"02","Instrumentation","002120","Ocean wave frequency",,"Hz","3","0","10","Hz","3","4","Operational"
198.00,"02","Instrumentation","002121","Mean frequency",,"Hz","-8","0","7","Hz","-8","3","Operational"
199.00,"02","Instrumentation","002122","Frequency agility range",,"Hz","-6","-128","8","Hz","-6","3","Operational"
200.00,"02","Instrumentation","002123","Peak power",,"W","-4","0","7","W","-4","3","Operational"
201.00,"02","Instrumentation","002124","Average power",,"W","-1","0","7","W","-1","3","Operational"
202.00,"02","Instrumentation","002125","Pulse repetition frequency",,"Hz","-1","0","8","Hz","-1","3","Operational"
203.00,"02","Instrumentation","002126","Pulse width",,"s","7","0","6","s","7","2","Operational"
204.00,"02","Instrumentation","002127","Receiver intermediate frequency",,"Hz","-6","0","7","Hz","-6","3","Operational"
205.00,"02","Instrumentation","002128","Intermediate frequency bandwidth",,"Hz","-5","0","6","Hz","-5","2","Operational"
206.00,"02","Instrumentation","002129","Minimum detectable signal",,"dB","0","-150","5","dB","0","3","Operational"
207.00,"02","Instrumentation","002130","Dynamic range",,"dB","0","0","7","dB","0","3","Operational"
208.00,"02","Instrumentation","002131","Sensitivity time control (STC)",,"Flag table","0","0","2","Flag table","0","1","Operational"
209.00,"02","Instrumentation","002132","Azimuth pointing accuracy",,"deg","2","0","6","deg","2","2","Operational"
210.00,"02","Instrumentation","002133","Elevation pointing accuracy",,"deg","2","0","6","deg","2","2","Operational"
211.00,"02","Instrumentation","002134","Antenna beam azimuth",,"deg","2","0","16","deg","2","5","Operational"
212.00,"02","Instrumentation","002135","Antenna elevation",,"deg","2","-9000","15","deg","2","5","Operational"
213.00,"02","Instrumentation","002136","Range processed by range attenuation correction",,"m","-3","0","16","m","-3","5","Operational"
214.00,"02","Instrumentation","002137","Radar dual PRF ratio",,"Code table","0","0","4","Code table","0","2","Validation"
215.00,"02","Instrumentation","002138","Antenna rotation direction",,"Code table","0","0","2","Code table","0","1","Validation"
216.00,"02","Instrumentation","002140","Satellite radar beam azimuth angle",,"deg","0","0","9","deg","0","3","Operational"
217.00,"02","Instrumentation","002141","Measurement type","(see Note 4)#BUFR_15_1_1_TableB.doc#BC_Cls02","CCITT IA5","0","0","24","Character","0","3","Operational"
218.00,"02","Instrumentation","002142","Ozone instrument serial number/identification","(see Note 5)#BUFR_15_1_1_TableB.doc#BC_Cls02","CCITT IA5","0","0","32","Character","0","4","Operational"
219.00,"02","Instrumentation","002143","Ozone instrument type",,"Code table","0","0","7","Code table","0","3","Operational"
220.00,"02","Instrumentation","002144","Light source type for Brewer spectrophotometer",,"Code table","0","0","4","Code table","0","2","Operational"
221.00,"02","Instrumentation","002145","Wavelength setting for Dobson instruments",,"Code table","0","0","4","Code table","0","2","Operational"
222.00,"02","Instrumentation","002146","Source conditions for Dobson instruments",,"Code table","0","0","4","Code table","0","2","Operational"
223.00,"02","Instrumentation","002147","Method of transmission to collection centre",,"Code table","0","0","7","Code table","0","2","Validation"
224.00,"02","Instrumentation","002148","Data collection and/or location system",,"Code table","0","0","5","Code table","0","2","Operational"
225.00,"02","Instrumentation","002149","Type of data buoy",,"Code table","0","0","6","Code table","0","2","Operational"
226.00,"02","Instrumentation","002150","TOVS/ATOVS/AVHRR instrumentation channel number",,"Code table","0","0","6","Code table","0","2","Operational"
227.00,"02","Instrumentation","002151","Radiometer identifier",,"Code table","0","0","11","Code table","0","4","Operational"
228.00,"02","Instrumentation","002152","Satellite instrument used in data processing","(see Note 6)#BUFR_15_1_1_TableB.doc#BC_Cls02","Flag table","0","0","31","Flag table","0","10","Operational"
229.00,"02","Instrumentation","002153","Satellite channel centre frequency",,"Hz","-8","0","26","Hz","-8","8","Operational"
230.00,"02","Instrumentation","002154","Satellite channel band width",,"Hz","-8","0","26","Hz","-8","8","Operational"
231.00,"02","Instrumentation","002155","Satellite channel wavelength",,"m","9","0","16","m","9","5","Validation"
232.00,"02","Instrumentation","002156","Percentage of valid KU ocean retracker measurements",,"%","0","0","7","%","0","3","Operational"
233.00,"02","Instrumentation","002157","Percentage of valid S ocean retracker measurements",,"%","0","0","7","%","0","3","Operational"
234.00,"02","Instrumentation","002158","RA-2 instruments",,"Flag table","0","0","9","Flag table","0","3","Operational"
235.00,"02","Instrumentation","002159","MWR instruments",,"Flag table","0","0","8","Flag table","0","3","Operational"
236.00,"02","Instrumentation","002160","Wave length of the radar",,"Code table","0","0","4","Code table","0","2","Operational"
237.00,"02","Instrumentation","002163","Height assignment method",,"Code table","0","0","4","Code table","0","2","Operational"
238.00,"02","Instrumentation","002164","Tracer correlation method",,"Code table","0","0","3","Code table","0","1","Operational"
239.00,"02","Instrumentation","002165","Radiance type flags",,"Flag table","0","0","15","Flag table","0","5","Operational"
240.00,"02","Instrumentation","002166","Radiance type",,"Code table","0","0","4","Code table","0","2","Operational"
241.00,"02","Instrumentation","002167","Radiance computational method",,"Code table","0","0","4","Code table","0","2","Operational"
242.00,"02","Instrumentation","002168","Hydrostatic pressure of lower end of cable (thermistor string)",,"Pa","-3","0","16","kPa","0","5","Operational"
243.00,"02","Instrumentation","002169","Anemometer type",,"Code table","0","0","4","Code table","0","2","Operational"
