"No","CodeFigure","Meaning_E","ChemicalFormula","Status"
89.00,"60000","HOx radical (OH+HO2)",,"Operational"
90.00,"60001","Total inorganic and organic peroxy radicals (HO2 + RO2)","RO2","Operational"
91.00,"60002","Passive Ozone",,"Operational"
92.00,"60003","NOx expressed as nitrogen","NOx","Operational"
93.00,"60004","All nitrogen oxides (NOy) expressed as nitrogen","NOy","Operational"
94.00,"60005","Total inorganic chlorine","Clx","Operational"
95.00,"60006","Total inorganic bromine","Brx","Operational"
96.00,"60007","Total inorganic chlorine except HCl, ClONO2: ClOx",,"Operational"
97.00,"60008","Total inorganic bromine except HBr, BrONO2: BrOx",,"Operational"
98.00,"60009","Lumped alkanes",,"Operational"
99.00,"60010","Lumped alkenes",,"Operational"
100.00,"60011","Lumped aromatic compounds",,"Operational"
101.00,"60012","Lumped terpenes",,"Operational"
102.00,"60013","Non-methane volatile organic compounds expressed as carbon","NMVOC","Operational"
103.00,"60014","Anthropogenic non-methane volatile organic compounds expressed as carbon","aNMVOC","Operational"
104.00,"60015","Biogenic non-methane volatile organic compounds expressed as carbon","bNMVOC","Operational"
105.00,"60016","Lumped oxygenated hydrocarbons","OVOC","Operational"
106.00,"60017-61999","Reserved",,"Operational"
107.00,"62000","Total aerosol",,"Operational"
108.00,"62001","Dust dry",,"Operational"
109.00,"62002","Water in ambient",,"Operational"
110.00,"62003","Ammonium dry",,"Operational"
111.00,"62004","Nitrate dry",,"Operational"
112.00,"62005","Nitric acid trihydrate",,"Operational"
113.00,"62006","Sulphate dry",,"Operational"
114.00,"62007","Mercury dry",,"Operational"
115.00,"62008","Sea salt dry",,"Operational"
116.00,"62009","Black carbon dry",,"Operational"
117.00,"62010","Particulate organic matter dry",,"Operational"
118.00,"62011","Primary particulate organic matter dry",,"Operational"
119.00,"62012","Secondary particulate organic matter dry",,"Operational"
120.00,"62013-65534","Reserved",,"Operational"
121.00,"65535","Missing",,"Operational"
