"No","Categry","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
362.00,"09","Vertical sounding sequences (conventional data)","D09005","(Vertical sounding with relative humidity)",,"D02004",,"Significant cloud information",,"Operational"
363.00,"09","Vertical sounding sequences (conventional data)","D09005","(Vertical sounding with relative humidity)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
364.00,"09","Vertical sounding sequences (conventional data)","D09005","(Vertical sounding with relative humidity)",,"D03013",,"Pressure, geopotential, temperature and wind data",,"Operational"
365.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"D01038",,"Identification, etc. (land station, coarse accuracy position)",,"Operational"
366.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"D02004",,"Significant cloud information",,"Operational"
367.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
368.00,"09","Vertical sounding sequences (conventional data)","D09006","(Vertical sounding with relative humidity)",,"D03013",,"Pressure, geopotential, temperature and wind data",,"Operational"
369.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"D01037",,"Identification, etc. (land station, high accuracy position)",,"Operational"
370.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"D02004",,"Significant cloud information",,"Operational"
371.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
372.00,"09","Vertical sounding sequences (conventional data)","D09007","(Vertical sounding with dew-point data)",,"D03014",,"Pressure, geopotential, temperature and wind data",,"Operational"
373.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"D01038",,"Identification, etc. (land station, coarse accuracy position)",,"Operational"
374.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"D02004",,"Significant cloud information",,"Operational"
375.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
376.00,"09","Vertical sounding sequences (conventional data)","D09008","(Vertical sounding with dew-point data)",,"D03014",,"Pressure, geopotential, temperature and wind data",,"Operational"
377.00,"09","Vertical sounding sequences (conventional data)","D09011","(Vertical wind profile)",,"D01039",,"Ship's identification, etc.",,"Operational"
378.00,"09","Vertical sounding sequences (conventional data)","D09011","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
379.00,"09","Vertical sounding sequences (conventional data)","D09011","(Vertical wind profile)",,"D03011",,"Winds at heights",,"Operational"
380.00,"09","Vertical sounding sequences (conventional data)","D09012","(Vertical wind profile)",,"D01039",,"Ship's identification, etc.",,"Operational"
381.00,"09","Vertical sounding sequences (conventional data)","D09012","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
382.00,"09","Vertical sounding sequences (conventional data)","D09012","(Vertical wind profile)",,"D03012",,"Winds at pressure levels",,"Operational"
383.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"D01039",,"Ship's identification, etc.",,"Operational"
384.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"D02004",,"Significant cloud information",,"Operational"
385.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
386.00,"09","Vertical sounding sequences (conventional data)","D09013","(Vertical sounding with relative humidity)",,"D03013",,"Pressure, geopotential, temperature and wind data",,"Operational"
387.00,"09","Vertical sounding sequences (conventional data)","D09014","(Vertical sounding with dew-point data)",,"D01039",,"Ship's identification, etc.",,"Operational"
388.00,"09","Vertical sounding sequences (conventional data)","D09014","(Vertical sounding with dew-point data)",,"D02004",,"Significant cloud information",,"Operational"
389.00,"09","Vertical sounding sequences (conventional data)","D09014","(Vertical sounding with dew-point data)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
390.00,"09","Vertical sounding sequences (conventional data)","D09014","(Vertical sounding with dew-point data)",,"D03014",,"Pressure, geopotential, temperature and wind data",,"Operational"
391.00,"09","Vertical sounding sequences (conventional data)","D09015","(Vertical wind profile)",,"D01040",,"Ship's identification, etc.",,"Operational"
392.00,"09","Vertical sounding sequences (conventional data)","D09015","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
393.00,"09","Vertical sounding sequences (conventional data)","D09015","(Vertical wind profile)",,"D03011",,"Winds at heights",,"Operational"
394.00,"09","Vertical sounding sequences (conventional data)","D09016","(Vertical wind profile)",,"D01040",,"Ship's identification, etc.",,"Operational"
395.00,"09","Vertical sounding sequences (conventional data)","D09016","(Vertical wind profile)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
396.00,"09","Vertical sounding sequences (conventional data)","D09016","(Vertical wind profile)",,"D03012",,"Winds at pressure levels",,"Operational"
397.00,"09","Vertical sounding sequences (conventional data)","D09017","(Vertical sounding with relative humidity)",,"D01040",,"Ship's identification, etc.",,"Operational"
398.00,"09","Vertical sounding sequences (conventional data)","D09017","(Vertical sounding with relative humidity)",,"D02004",,"Significant cloud information",,"Operational"
399.00,"09","Vertical sounding sequences (conventional data)","D09017","(Vertical sounding with relative humidity)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
400.00,"09","Vertical sounding sequences (conventional data)","D09017","(Vertical sounding with relative humidity)",,"D03013",,"Pressure, geopotential, temperature and wind data",,"Operational"
401.00,"09","Vertical sounding sequences (conventional data)","D09018","(Vertical sounding with dew-point data)",,"D01040",,"Ship's identification, etc.",,"Operational"
402.00,"09","Vertical sounding sequences (conventional data)","D09018","(Vertical sounding with dew-point data)",,"D02004",,"Significant cloud information",,"Operational"
403.00,"09","Vertical sounding sequences (conventional data)","D09018","(Vertical sounding with dew-point data)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
404.00,"09","Vertical sounding sequences (conventional data)","D09018","(Vertical sounding with dew-point data)",,"D03014",,"Pressure, geopotential, temperature and wind data",,"Operational"
405.00,"09","Vertical sounding sequences (conventional data)","D09019","(Wind profiler - wind data sounding)",,"D01031",,"Identification, etc.",,"Operational"
406.00,"09","Vertical sounding sequences (conventional data)","D09019","(Wind profiler - wind data sounding)",,"B02003","Type of measuring equipment used","Type of measuring equipment used",,"Operational"
407.00,"09","Vertical sounding sequences (conventional data)","D09019","(Wind profiler - wind data sounding)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
408.00,"09","Vertical sounding sequences (conventional data)","D09019","(Wind profiler - wind data sounding)",,"D03011",,"Winds at heights",,"Operational"
409.00,"09","Vertical sounding sequences (conventional data)","D09020","(Wind profiler - Cartesian coordinates)",,"D01031",,"Identification, etc.",,"Operational"
410.00,"09","Vertical sounding sequences (conventional data)","D09020","(Wind profiler - Cartesian coordinates)",,"B02003","Type of measuring equipment used","Type of measuring equipment used",,"Operational"
411.00,"09","Vertical sounding sequences (conventional data)","D09020","(Wind profiler - Cartesian coordinates)",,"R04000","Delayed replication descriptor","Delayed replication of 4 descriptors",,"Operational"
412.00,"09","Vertical sounding sequences (conventional data)","D09020","(Wind profiler - Cartesian coordinates)",,"B07003","Geopotential","Geopotential",,"Operational"
413.00,"09","Vertical sounding sequences (conventional data)","D09020","(Wind profiler - Cartesian coordinates)",,"B11003","u-component","u-component",,"Operational"
414.00,"09","Vertical sounding sequences (conventional data)","D09020","(Wind profiler - Cartesian coordinates)",,"B11004","v-component","v-component",,"Operational"
415.00,"09","Vertical sounding sequences (conventional data)","D09020","(Wind profiler - Cartesian coordinates)",,"B11005","w-component","w-component",,"Operational"
416.00,"09","Vertical sounding sequences (conventional data)","D09030","(Ozone sonde flight data)",,"B15004","Ozone sounding correction factor (CF)","Ozone sounding correction factor","(see Note 1)#CREX_7_1_1_TableD.doc#C_Cat09","Operational"
417.00,"09","Vertical sounding sequences (conventional data)","D09030","(Ozone sonde flight data)",,"B15005","Ozone p","Ozone p",,"Operational"
418.00,"09","Vertical sounding sequences (conventional data)","D09030","(Ozone sonde flight data)",,"R04000","Delayed replication descriptor","Delayed replication",,"Operational"
419.00,"09","Vertical sounding sequences (conventional data)","D09030","(Ozone sonde flight data)",,"B04015","Time increment","Time increment since launch time, if needed; in minutes",,"Operational"
420.00,"09","Vertical sounding sequences (conventional data)","D09030","(Ozone sonde flight data)",,"B08006","Ozone vertical sounding significance","Ozone vertical sounding significance",,"Operational"
421.00,"09","Vertical sounding sequences (conventional data)","D09030","(Ozone sonde flight data)",,"B07004","Pressure","Pressure",,"Operational"
422.00,"09","Vertical sounding sequences (conventional data)","D09030","(Ozone sonde flight data)",,"B15003","Measured ozone partial pressure (sounding)","Measured ozone partial pressure",,"Operational"
423.00,"09","Vertical sounding sequences (conventional data)","D09031","(Ozone sonde flight data)",,"B15004","Ozone sounding correction factor (CF)","Ozone sounding correction factor",,"Operational"
424.00,"09","Vertical sounding sequences (conventional data)","D09031","(Ozone sonde flight data)",,"B15005","Ozone p","Ozone p",,"Operational"
425.00,"09","Vertical sounding sequences (conventional data)","D09031","(Ozone sonde flight data)",,"R04000","Delayed replication descriptor","Delayed replication",,"Operational"
426.00,"09","Vertical sounding sequences (conventional data)","D09031","(Ozone sonde flight data)",,"B04025","Time period or displacement","Time displacement (since launch time) in minutes",,"Operational"
427.00,"09","Vertical sounding sequences (conventional data)","D09031","(Ozone sonde flight data)",,"B08006","Ozone vertical sounding significance","Ozone vertical sounding significance",,"Operational"
428.00,"09","Vertical sounding sequences (conventional data)","D09031","(Ozone sonde flight data)",,"B07004","Pressure","Pressure",,"Operational"
429.00,"09","Vertical sounding sequences (conventional data)","D09031","(Ozone sonde flight data)",,"B15003","Measured ozone partial pressure (sounding)","Measured ozone partial pressure",,"Operational"
430.00,"09","Vertical sounding sequences (conventional data)","D09040","(Ozone sounding not coupled to a ground-based spectrophotometer)",,"D01075","(Sounding identification)","Identification","(see Note 2)#CREX_7_1_1_TableD.doc#C_Cat09","Operational"
431.00,"09","Vertical sounding sequences (conventional data)","D09040","(Ozone sounding not coupled to a ground-based spectrophotometer)",,"D01076","(Ozone sounding instrumentation)","Instrumentation",,"Operational"
432.00,"09","Vertical sounding sequences (conventional data)","D09040","(Ozone sounding not coupled to a ground-based spectrophotometer)",,"D09030","(Ozone sonde flight data) (see Note 1)","Ozone flight data",,"Operational"
433.00,"09","Vertical sounding sequences (conventional data)","D09041","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)","Description of the ground-based part","(see Note 2)#CREX_7_1_1_TableD.doc#C_Cat09","Operational"
434.00,"09","Vertical sounding sequences (conventional data)","D09041","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
435.00,"09","Vertical sounding sequences (conventional data)","D09041","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
436.00,"09","Vertical sounding sequences (conventional data)","D09041","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D09030","(Ozone sonde flight data) (see Note 1)","Ozone flight data",,"Operational"
437.00,"09","Vertical sounding sequences (conventional data)","D09042","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)","Description of the ground-based part","(see Note 2)#CREX_7_1_1_TableD.doc#C_Cat09","Operational"
438.00,"09","Vertical sounding sequences (conventional data)","D09042","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
439.00,"09","Vertical sounding sequences (conventional data)","D09042","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
440.00,"09","Vertical sounding sequences (conventional data)","D09042","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D09030","(Ozone sonde flight data) (see Note 1)","Ozone flight data",,"Operational"
441.00,"09","Vertical sounding sequences (conventional data)","D09043","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)","Description of the ground-based part","(see Note 2)#CREX_7_1_1_TableD.doc#C_Cat09","Operational"
442.00,"09","Vertical sounding sequences (conventional data)","D09043","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
443.00,"09","Vertical sounding sequences (conventional data)","D09043","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
444.00,"09","Vertical sounding sequences (conventional data)","D09043","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D09030","(Ozone sonde flight data) (see Note 1)","Ozone flight data",,"Operational"
445.00,"09","Vertical sounding sequences (conventional data)","D09044","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)","Description of the ground-based part","(see Note 2)#CREX_7_1_1_TableD.doc#C_Cat09","Operational"
446.00,"09","Vertical sounding sequences (conventional data)","D09044","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
447.00,"09","Vertical sounding sequences (conventional data)","D09044","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
448.00,"09","Vertical sounding sequences (conventional data)","D09044","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D09030","(Ozone sonde flight data) (see Note 1)","Ozone flight data",,"Operational"
449.00,"09","Vertical sounding sequences (conventional data)","D09045","(Ozone sounding not coupled to a ground-based spectrophotometer)",,"D01075","(Sounding identification)","Identification",,"Operational"
450.00,"09","Vertical sounding sequences (conventional data)","D09045","(Ozone sounding not coupled to a ground-based spectrophotometer)",,"D01076","(Ozone sounding instrumentation)","Instrumentation",,"Operational"
451.00,"09","Vertical sounding sequences (conventional data)","D09045","(Ozone sounding not coupled to a ground-based spectrophotometer)",,"D09031","(Ozone sonde flight data)","Ozone flight data",,"Operational"
452.00,"09","Vertical sounding sequences (conventional data)","D09046","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D07041","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation)","Description of the ground-based part",,"Operational"
453.00,"09","Vertical sounding sequences (conventional data)","D09046","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
454.00,"09","Vertical sounding sequences (conventional data)","D09046","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
455.00,"09","Vertical sounding sequences (conventional data)","D09046","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is a single value)",,"D09031","(Ozone sonde flight data)","Ozone flight data",,"Operational"
456.00,"09","Vertical sounding sequences (conventional data)","D09047","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D07042","(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations)","Description of the ground-based part",,"Operational"
457.00,"09","Vertical sounding sequences (conventional data)","D09047","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
458.00,"09","Vertical sounding sequences (conventional data)","D09047","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
459.00,"09","Vertical sounding sequences (conventional data)","D09047","(Ozone sounding coupled to measurements from a Brewer ground-based spectrophotometer; the total ozone obtained from the Brewer is an averaged value)",,"D09031","(Ozone sonde flight data)","Ozone flight data",,"Operational"
460.00,"09","Vertical sounding sequences (conventional data)","D09048","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D07043","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation)","Description of the ground-based part",,"Operational"
461.00,"09","Vertical sounding sequences (conventional data)","D09048","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
462.00,"09","Vertical sounding sequences (conventional data)","D09048","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
463.00,"09","Vertical sounding sequences (conventional data)","D09048","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is a single value)",,"D09031","(Ozone sonde flight data)","Ozone flight data",,"Operational"
464.00,"09","Vertical sounding sequences (conventional data)","D09049","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D07044","(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations)","Description of the ground-based part",,"Operational"
465.00,"09","Vertical sounding sequences (conventional data)","D09049","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D01075","(Sounding identification)","Identification of the ozone sounding part",,"Operational"
466.00,"09","Vertical sounding sequences (conventional data)","D09049","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D01076","(Ozone sounding instrumentation)","Instrumentation of sounding",,"Operational"
467.00,"09","Vertical sounding sequences (conventional data)","D09049","(Ozone sounding coupled to measurements from a Dobson ground-based spectrophotometer; the total ozone obtained from the Dobson is an averaged value)",,"D09031","(Ozone sonde flight data)","Ozone flight data",,"Operational"
468.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
469.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"B11034","Vertical gust velocity","Vertical gust velocity",,"Operational"
470.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
471.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"B11035","Vertical gust acceleration","Vertical gust acceleration",,"Operational"
472.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
473.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"B11075","Mean turbulence intensity (eddy dissipation rate)","Mean turbulence intensity (eddy dissipation rate)",,"Operational"
474.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
475.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"B11076","Peak turbulence intensity (eddy dissipation rate)","Peak turbulence intensity (eddy dissipation rate)",,"Operational"
476.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
477.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"B33025","ACARS interpolated values indicator","ACARS interpolated values indicator",,"Operational"
478.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
479.00,"11","Single-level report sequences (conventional data)","D11004","(ACARS supplementary reported variables)",,"B33026","Moisture quality","Moisture quality",,"Operational"
480.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B01008","Aircraft registration number or other identification","Aircraft identification",,"Operational"
481.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B01023","Observation sequence number","Sequence number",,"Operational"
482.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"D01021",,"Latitude and longitude",,"Operational"
483.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"D01011",,"Year, month and day",,"Operational"
484.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"D01013",,"Hour, minute and second",,"Operational"
485.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B07010","Flight level","Flight level",,"Operational"
486.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B08009","Detailed phase of flight","Detailed phase of flight",,"Operational"
487.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B11001","Wind direction","Wind direction",,"Operational"
488.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B11002","Wind speed","Wind speed",,"Operational"
489.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B11031","Degree of turbulence","Degree of turbulence",,"Operational"
490.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B11036","Maximum derived equivalent vertical gust speed","Derived equivalent vertical gust speed",,"Operational"
491.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B12101","Temperature/air temperature","Temperature/air temperature",,"Operational"
492.00,"11","Single-level report sequences (conventional data)","D11005","(Standard AMDAR reports)",,"B33025","ACARS interpolated values indicator","ACARS interpolated values indicator",,"Operational"
493.00,"11","Single-level report sequences (conventional data)","D11006","(AMDAR data or aircraft data for one level without latitude/longitude)",,"B07010","Flight level","Flight level",,"Operational"
494.00,"11","Single-level report sequences (conventional data)","D11006","(AMDAR data or aircraft data for one level without latitude/longitude)",,"B11001","Wind direction","Wind direction",,"Operational"
495.00,"11","Single-level report sequences (conventional data)","D11006","(AMDAR data or aircraft data for one level without latitude/longitude)",,"B11002","Wind speed","Wind speed",,"Operational"
496.00,"11","Single-level report sequences (conventional data)","D11006","(AMDAR data or aircraft data for one level without latitude/longitude)",,"B02064","Aircraft roll angle quality","Aircraft roll angle quality",,"Operational"
497.00,"11","Single-level report sequences (conventional data)","D11006","(AMDAR data or aircraft data for one level without latitude/longitude)",,"B12101","Temperature/air temperature","Temperature/air temperature",,"Operational"
498.00,"11","Single-level report sequences (conventional data)","D11006","(AMDAR data or aircraft data for one level without latitude/longitude)",,"B12103","Dew-point temperature","Dew-point temperature",,"Operational"
499.00,"11","Single-level report sequences (conventional data)","D11007","(Aircraft data for one level with latitude/longitude indicated)",,"B07010","Flight level","Flight level",,"Operational"
500.00,"11","Single-level report sequences (conventional data)","D11007","(Aircraft data for one level with latitude/longitude indicated)",,"D01021",,"Latitude, longitude",,"Operational"
501.00,"11","Single-level report sequences (conventional data)","D11007","(Aircraft data for one level with latitude/longitude indicated)",,"B11001","Wind direction","Wind direction",,"Operational"
502.00,"11","Single-level report sequences (conventional data)","D11007","(Aircraft data for one level with latitude/longitude indicated)",,"B11002","Wind speed","Wind speed",,"Operational"
503.00,"11","Single-level report sequences (conventional data)","D11007","(Aircraft data for one level with latitude/longitude indicated)",,"B02064","Aircraft roll angle quality","Aircraft roll angle quality",,"Operational"
504.00,"11","Single-level report sequences (conventional data)","D11007","(Aircraft data for one level with latitude/longitude indicated)",,"B12101","Temperature/air temperature","Temperature/air temperature",,"Operational"
505.00,"11","Single-level report sequences (conventional data)","D11007","(Aircraft data for one level with latitude/longitude indicated)",,"B12103","Dew-point temperature","Dew-point temperature",,"Operational"
506.00,"11","Single-level report sequences (conventional data)","D11008","(Aircraft ascent/descent profile without latitude/longitude indicated at each level)",,"B01008","Aircraft registration number or other identification","Aircraft identification",,"Operational"
507.00,"11","Single-level report sequences (conventional data)","D11008","(Aircraft ascent/descent profile without latitude/longitude indicated at each level)",,"D01011",,"Year, month, day",,"Operational"
508.00,"11","Single-level report sequences (conventional data)","D11008","(Aircraft ascent/descent profile without latitude/longitude indicated at each level)",,"D01013",,"Hour, minute, second",,"Operational"
509.00,"11","Single-level report sequences (conventional data)","D11008","(Aircraft ascent/descent profile without latitude/longitude indicated at each level)",,"D01021",,"Latitude, longitude",,"Operational"
510.00,"11","Single-level report sequences (conventional data)","D11008","(Aircraft ascent/descent profile without latitude/longitude indicated at each level)",,"B08004","Phase of aircraft flight","Phase of flight",,"Operational"
511.00,"11","Single-level report sequences (conventional data)","D11008","(Aircraft ascent/descent profile without latitude/longitude indicated at each level)",,"R01000","Delayed replication descriptor","Delayed replication of one descriptor",,"Operational"
512.00,"11","Single-level report sequences (conventional data)","D11008","(Aircraft ascent/descent profile without latitude/longitude indicated at each level)",,"D11006","(AMDAR data or aircraft data for one level without latitude/longitude)","Aircraft data for one level without latitude/longitude",,"Operational"
513.00,"11","Single-level report sequences (conventional data)","D11009","(Aircraft ascent/descent profile with latitude/longitude given for each level)",,"B01008","Aircraft registration number or other identification","Aircraft identification",,"Operational"
514.00,"11","Single-level report sequences (conventional data)","D11009","(Aircraft ascent/descent profile with latitude/longitude given for each level)",,"D01011",,"Year, month, day",,"Operational"
515.00,"11","Single-level report sequences (conventional data)","D11009","(Aircraft ascent/descent profile with latitude/longitude given for each level)",,"D01013",,"Hour, minute, second",,"Operational"
516.00,"11","Single-level report sequences (conventional data)","D11009","(Aircraft ascent/descent profile with latitude/longitude given for each level)",,"D01021",,"Latitude, Longitude",,"Operational"
517.00,"11","Single-level report sequences (conventional data)","D11009","(Aircraft ascent/descent profile with latitude/longitude given for each level)",,"B08004","Phase of aircraft flight","Phase of flight",,"Operational"
518.00,"11","Single-level report sequences (conventional data)","D11009","(Aircraft ascent/descent profile with latitude/longitude given for each level)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
519.00,"11","Single-level report sequences (conventional data)","D11009","(Aircraft ascent/descent profile with latitude/longitude given for each level)",,"D11007","(Aircraft data for one level with latitude/longitude indicated)","Aircraft data for one level with latitude/longitude indicated",,"Operational"
520.00,"16","Synoptic feature sequences","D16003","(Jet stream)",,"R09000","Delayed replication descriptor","Delayed replication of 9 descriptors",,"Operational"
