"No","Categry","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
101.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D05017","(Water quality measurement)","Water quality measurement",,"Operational"
102.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B02032","Indicator for digitization","Indicator for digitization",,"Operational"
103.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors",,"Operational"
104.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
105.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B22042","Sea/water temperature","Subsurface sea temperature",,"Operational"
106.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B02032","Indicator for digitization","Indicator for digitization",,"Operational"
107.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B02033","Method of salinity/depth measurement","Method of salinity/depth measurement",,"Operational"
108.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors",,"Operational"
109.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
110.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B22043","Sea/water temperature","Subsurface sea temperature",,"Operational"
111.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B22062","Salinity","Salinity",,"Operational"
112.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B02031","Duration and time of current measurement","Method of current measurement",,"Operational"
113.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors",,"Operational"
114.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
115.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B22004","Direction of current","Direction of current",,"Operational"
116.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B22031","Speed of current","Speed of current",,"Operational"
117.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B01075","Tide station identification","Tide station alphanumeric identification",,"Operational"
118.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"D01011",,"Year, month, day",,"Operational"
119.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"D01012",,"Hour, minute",,"Operational"
120.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22042","Sea/water temperature","Sea/water temperature",,"Operational"
121.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22120","Tide station automated water level check","Tide station automated water level check",,"Operational"
122.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22121","Tide station manual water level check","Tide station manual water level check",,"Operational"
123.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"C01002","Data width replacement","Change data width to 2 characters",,"Operational"
124.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B04015","Time increment","Time increment",,"Operational"
125.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B04065","Short time increment","Short time increment",,"Operational"
126.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B01075","Tide station identification","Tide station alphanumeric identification","(see Note 1)#CREX_7_1_1_TableD.doc#C_Cat06","Operational"
127.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"D01011",,"Year, month, day",,"Operational"
128.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"D01012",,"Hour, minute",,"Operational"
129.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22042","Sea/water temperature","Sea/water temperature",,"Operational"
130.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22120","Tide station automated water level check","Tide station automated water level check",,"Operational"
131.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22121","Tide station manual water level check","Tide station manual water level check",,"Operational"
132.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B04075","Short time period or displacement","Short time period or displacement",,"Operational"
133.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B04065","Short time increment","Short time increment",,"Operational"
134.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B01075","Tide station identification","Tide station alphanumeric identification",,"Operational"
135.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D01011",,"Year, month, day",,"Operational"
136.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D01012",,"Hour, minute",,"Operational"
137.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B22122","Tide station automated meteorological data check","Tide station automated meteorological data check",,"Operational"
138.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B22123","Tide station manual meteorological data check","Tide station manual meteorological data check",,"Operational"
139.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
140.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D03002",,"Pressure, wind direction, wind speed",,"Operational"
141.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B01075","Tide station identification","Tide station identification",,"Operational"
142.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"D01011",,"Year, month, day",,"Operational"
143.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"D01012",,"Hour, minute",,"Operational"
144.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
145.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
146.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"D06020","(Tide report identification, water level checks, time period or displacement, time increment) (see Note 1)","Tide report identification, water level checks, time period or displacement, time increment","(see Note 2)#CREX_7_1_1_TableD.doc#C_Cat06","Operational"
147.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"R02006","Replication descriptor","Replicate two descriptors six times",,"Operational"
148.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
149.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
150.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"D06019","(Tide report identification, water level checks, time increments)","Tide report identification, water level checks, time increments",,"Operational"
151.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"R02006","Replication descriptor","Replicate 2 descriptors 6 times",,"Operational"
152.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
153.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
154.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Station identification","B01075","Tide station identification","Tide station identification",,"Validation"
155.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Station identification","B01015","Station or site name","Station or site name",,"Validation"
156.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Data for each sensor","D01021",,,,"Validation"
157.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Data for each sensor","D01011",,,,"Validation"
158.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Data for each sensor","D01013",,,,"Validation"
159.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)",,"R15000","Delayed replication descriptor","Delayed replication of 15 descriptors ",,"Validation"
160.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Offset from reference date and time","B04016","Time increment","Time increment (offset) - in seconds",,"Validation"
161.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of sensor","B08015","Significance qualifier for sensor","Identification of primary or secondary sensor ",,"Validation"
162.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of sensor","B02007","Type of sensor for water level measuring instrument","Type of sensor ",,"Validation"
163.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of quality check","B22120","Tide station automated water level check","Tide station automated water level check",,"Validation"
164.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Identification of quality check","B22121","Tide station manual water level check","Tide station manual water level check",,"Validation"
165.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B04016","Time increment","Time increment - in seconds",,"Validation"
166.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","R08000","Delayed replication descriptor","Delayed replication of 8 descriptors",,"Validation"
167.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B10051","Pressure reduced to mean sea level","Pressure reduced to mean sea level",,"Validation"
168.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Validation"
169.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Instantaneous data","B22040","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Validation"
170.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B04026","Time period or displacement","Time period or displacement (averaging period) - in seconds",,"Validation"
171.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","R03004","Replication descriptor","Replicate 3 descriptors 4 times",,"Validation"
172.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B08023","First-order statistics","First-order statistics (mean, max., min., standard dev.)",,"Validation"
173.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Validation"
174.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06026","(Template for tide elevation)","Statistical data","B22040","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Validation"
175.00,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"D07001",,"Location (high accuracy) and basic report",,"Operational"
176.00,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
