"No","Title_E","OctetNo","Contents_E","Note_E","Status"
67,"Grid definition template 3.20 - polar stereographic projection","35-38","Ny - number of points along the y-axis",,"Operational"
68,"Grid definition template 3.20 - polar stereographic projection","39-42","La1 - latitude of first grid point",,"Operational"
69,"Grid definition template 3.20 - polar stereographic projection","43-46","Lo1 - longitude of first grid point",,"Operational"
70,"Grid definition template 3.20 - polar stereographic projection","47","Resolution and component flags","(see Flag table 3.3 and Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt320n","Operational"
71,"Grid definition template 3.20 - polar stereographic projection","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
72,"Grid definition template 3.20 - polar stereographic projection","52-55","LoV - orientation of the grid","(see Note 2)#GRIB2_7_0_0_Temp.doc#G2_Gdt320n","Operational"
73,"Grid definition template 3.20 - polar stereographic projection","56-59","Dx - x-direction grid length","(see Note 3)#GRIB2_7_0_0_Temp.doc#G2_Gdt320n","Operational"
74,"Grid definition template 3.20 - polar stereographic projection","60-63","Dy - y-direction grid length","(see Note 3)#GRIB2_7_0_0_Temp.doc#G2_Gdt320n","Operational"
75,"Grid definition template 3.20 - polar stereographic projection","64","Projection centre flag","(see Flag table 3.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF35","Operational"
76,"Grid definition template 3.20 - polar stereographic projection","65","Scanning mode","(see Flag table 3.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF34","Operational"
77,"Grid definition template 3.30 - Lambert conformal","15","Shape of the Earth","(see Code table 3.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF32","Operational"
78,"Grid definition template 3.30 - Lambert conformal","16","Scale factor of radius of spherical Earth",,"Operational"
79,"Grid definition template 3.30 - Lambert conformal","17-20","Scaled value of radius of spherical Earth",,"Operational"
80,"Grid definition template 3.30 - Lambert conformal","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
81,"Grid definition template 3.30 - Lambert conformal","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
82,"Grid definition template 3.30 - Lambert conformal","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
83,"Grid definition template 3.30 - Lambert conformal","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
84,"Grid definition template 3.30 - Lambert conformal","31-34","Nx - number of points along the x-axis",,"Operational"
85,"Grid definition template 3.30 - Lambert conformal","35-38","Ny - number of points along the y-axis",,"Operational"
86,"Grid definition template 3.30 - Lambert conformal","39-42","La1 - latitude of first grid point",,"Operational"
87,"Grid definition template 3.30 - Lambert conformal","43-46","Lo1 - longitude of first grid point",,"Operational"
88,"Grid definition template 3.30 - Lambert conformal","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF33","Operational"
89,"Grid definition template 3.30 - Lambert conformal","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
90,"Grid definition template 3.30 - Lambert conformal","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
91,"Grid definition template 3.30 - Lambert conformal","56-59","Dx - x-direction grid length","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt330n","Operational"
92,"Grid definition template 3.30 - Lambert conformal","60-63","Dy - y-direction grid length","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt330n","Operational"
93,"Grid definition template 3.30 - Lambert conformal","64","Projection centre flag","(see Flag table 3.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF35","Operational"
94,"Grid definition template 3.30 - Lambert conformal","65","Scanning mode","(see Flag table 3.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF34","Operational"
95,"Grid definition template 3.30 - Lambert conformal","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
96,"Grid definition template 3.30 - Lambert conformal","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
97,"Grid definition template 3.30 - Lambert conformal","74-77","Latitude of the southern pole of projection",,"Operational"
98,"Grid definition template 3.30 - Lambert conformal","78-81","Longitude of the southern pole of projection",,"Operational"
99,"Grid definition template 3.31 - Albers equal area","15","Shape of the Earth","(see Code table 3.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF32","Operational"
100,"Grid definition template 3.31 - Albers equal area","16","Scale factor of radius of spherical Earth",,"Operational"
101,"Grid definition template 3.31 - Albers equal area","17-20","Scaled value of radius of spherical Earth",,"Operational"
102,"Grid definition template 3.31 - Albers equal area","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
103,"Grid definition template 3.31 - Albers equal area","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
104,"Grid definition template 3.31 - Albers equal area","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
105,"Grid definition template 3.31 - Albers equal area","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
106,"Grid definition template 3.31 - Albers equal area","31-34","Nx - number of points along the x-axis",,"Operational"
107,"Grid definition template 3.31 - Albers equal area","35-38","Ny - number of points along the y-axis",,"Operational"
108,"Grid definition template 3.31 - Albers equal area","39-42","La1 - latitude of first grid point",,"Operational"
109,"Grid definition template 3.31 - Albers equal area","43-46","Lo1 - longitude of first grid point",,"Operational"
110,"Grid definition template 3.31 - Albers equal area","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF33","Operational"
111,"Grid definition template 3.31 - Albers equal area","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
112,"Grid definition template 3.31 - Albers equal area","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
113,"Grid definition template 3.31 - Albers equal area","56-59","Dx - x-direction grid length","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt331n","Operational"
114,"Grid definition template 3.31 - Albers equal area","60-63","Dy - y-direction grid length","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt331n","Operational"
115,"Grid definition template 3.31 - Albers equal area","64","Projection centre flag","(see Flag table 3.5)#GRIB2_7_0_0_CodeFlag.doc#G2_CF35","Operational"
116,"Grid definition template 3.31 - Albers equal area","65","Scanning mode","(see Flag table 3.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF34","Operational"
117,"Grid definition template 3.31 - Albers equal area","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
118,"Grid definition template 3.31 - Albers equal area","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
119,"Grid definition template 3.31 - Albers equal area","74-77","Latitude of the southern pole of projection",,"Operational"
120,"Grid definition template 3.31 - Albers equal area","78-81","Longitude of the southern pole of projection",,"Operational"
121,"Grid definition template 3.40 - Gaussian latitude/longitude","15","Shape of the Earth","(see Code table 3.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF32","Operational"
122,"Grid definition template 3.40 - Gaussian latitude/longitude","16","Scale factor of radius of spherical Earth",,"Operational"
123,"Grid definition template 3.40 - Gaussian latitude/longitude","17-20","Scaled value of radius of spherical Earth",,"Operational"
124,"Grid definition template 3.40 - Gaussian latitude/longitude","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
125,"Grid definition template 3.40 - Gaussian latitude/longitude","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
126,"Grid definition template 3.40 - Gaussian latitude/longitude","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
127,"Grid definition template 3.40 - Gaussian latitude/longitude","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
128,"Grid definition template 3.40 - Gaussian latitude/longitude","31-34","Ni - number of points along a parallel",,"Operational"
129,"Grid definition template 3.40 - Gaussian latitude/longitude","35-38","Nj - number of points along a meridian",,"Operational"
130,"Grid definition template 3.40 - Gaussian latitude/longitude","39-42","Basic angle of the initial production domain","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
131,"Grid definition template 3.40 - Gaussian latitude/longitude","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
132,"Grid definition template 3.40 - Gaussian latitude/longitude","47-50","La1 - latitude of first grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
133,"Grid definition template 3.40 - Gaussian latitude/longitude","51-54","Lo1 - longitude of first grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
134,"Grid definition template 3.40 - Gaussian latitude/longitude","55","Resolution and component flags","(see Flag table 3.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF33","Operational"
135,"Grid definition template 3.40 - Gaussian latitude/longitude","56-59","La2 - latitude of last grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
136,"Grid definition template 3.40 - Gaussian latitude/longitude","60-63","Lo2 - longitude of last grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
137,"Grid definition template 3.40 - Gaussian latitude/longitude","64-67","Di - i direction increment","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
138,"Grid definition template 3.40 - Gaussian latitude/longitude","68-71","N - number of parallels between a pole and the Equator","(see Note 2)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
139,"Grid definition template 3.40 - Gaussian latitude/longitude","72","Scanning mode","(flags - see Flag table 3.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF34","Operational"
140,"Grid definition template 3.40 - Gaussian latitude/longitude","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_7_0_0_Temp.doc#G2_Gdt340n","Operational"
141,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt341n","Operational"
142,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
143,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
144,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
145,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_7_0_0_Temp.doc#G2_Gdt341n","Operational"
146,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt342n","Operational"
147,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","73-76","Latitude of the pole of stretching",,"Operational"
148,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","77-80","Longitude of the pole of stretching",,"Operational"
149,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","81-84","Stretching factor",,"Operational"
150,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_7_0_0_Temp.doc#G2_Gdt342n","Operational"
151,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt343n","Operational"
152,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
153,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
154,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
155,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","85-88","Latitude of the pole of stretching",,"Operational"
156,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","89-92","Longitude of the pole of stretching",,"Operational"
157,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","93-96","Stretching factor",,"Operational"
158,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","97-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 5)#GRIB2_7_0_0_Temp.doc#G2_Gdt343n","Operational"
159,"Grid definition template 3.50 - spherical harmonic coefficients","15-18","J - pentagonal resolution parameter",,"Operational"
160,"Grid definition template 3.50 - spherical harmonic coefficients","19-22","K - pentagonal resolution parameter",,"Operational"
161,"Grid definition template 3.50 - spherical harmonic coefficients","23-26","M - pentagonal resolution parameter",,"Operational"
162,"Grid definition template 3.50 - spherical harmonic coefficients","27","Representation type indicating the method used to define the norm","(see Code table 3.6)#GRIB2_7_0_0_CodeFlag.doc#G2_CF36","Operational"
163,"Grid definition template 3.50 - spherical harmonic coefficients","28","Representation mode indicating the order of the coefficients","(see Code table 3.7)#GRIB2_7_0_0_CodeFlag.doc#G2_CF37","Operational"
164,"Grid definition template 3.51 - rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
165,"Grid definition template 3.51 - rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
166,"Grid definition template 3.51 - rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
167,"Grid definition template 3.51 - rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
168,"Grid definition template 3.52 - stretched spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
169,"Grid definition template 3.52 - stretched spherical harmonic coefficients","29-32","Latitude of the pole of stretching",,"Operational"
170,"Grid definition template 3.52 - stretched spherical harmonic coefficients","33-36","Longitude of the pole of stretching",,"Operational"
171,"Grid definition template 3.52 - stretched spherical harmonic coefficients","37-40","Stretching factor",,"Operational"
172,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
173,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
174,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
175,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
176,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","41-44","Latitude of pole of stretching",,"Operational"
177,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","45-48","Longitude of pole of stretching",,"Operational"
178,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","49-52","Stretching factor",,"Operational"
179,"Grid definition template 3.90 - space view perspective or orthographic","15","Shape of the Earth","(see Code table 3.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF32","Operational"
180,"Grid definition template 3.90 - space view perspective or orthographic","16","Scale factor of radius of spherical Earth",,"Operational"
181,"Grid definition template 3.90 - space view perspective or orthographic","17-20","Scaled value of radius of spherical Earth",,"Operational"
182,"Grid definition template 3.90 - space view perspective or orthographic","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
183,"Grid definition template 3.90 - space view perspective or orthographic","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
184,"Grid definition template 3.90 - space view perspective or orthographic","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
185,"Grid definition template 3.90 - space view perspective or orthographic","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
186,"Grid definition template 3.90 - space view perspective or orthographic","31-34","Nx - number of points along x-axis (columns)",,"Operational"
187,"Grid definition template 3.90 - space view perspective or orthographic","35-38","Ny - number of points along y-axis (rows or lines)",,"Operational"
188,"Grid definition template 3.90 - space view perspective or orthographic","39-42","Lap - latitude of sub-satellite point",,"Operational"
189,"Grid definition template 3.90 - space view perspective or orthographic","43-46","Lop - longitude of sub-satellite point",,"Operational"
190,"Grid definition template 3.90 - space view perspective or orthographic","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF33","Operational"
191,"Grid definition template 3.90 - space view perspective or orthographic","48-51","dx - apparent diameter of Earth in grid lengths, in x-direction",,"Operational"
192,"Grid definition template 3.90 - space view perspective or orthographic","52-55","dy - apparent diameter of Earth in grid lengths, in y-direction",,"Operational"
193,"Grid definition template 3.90 - space view perspective or orthographic","56-59","Xp - x-coordinate of sub-satellite point (in units of 10-3 grid length expressed as an integer)",,"Operational"
194,"Grid definition template 3.90 - space view perspective or orthographic","60-63","Yp - y-coordinate of sub-satellite point (in units of 10-3 grid length expressed as an integer)",,"Operational"
195,"Grid definition template 3.90 - space view perspective or orthographic","64","Scanning mode (flags - see Flag table 3.4)",,"Operational"
196,"Grid definition template 3.90 - space view perspective or orthographic","65-68","Orientation of the grid; i.e. the angle between the increasing y-axis and the meridian of the sub-satellite point in the direction of increasing latitude","(see Note 3)#GRIB2_7_0_0_Temp.doc#G2_Gdt390n","Operational"
197,"Grid definition template 3.90 - space view perspective or orthographic","69-72","Nr - altitude of the camera from the Earth’s centre, measured in units of the Earth’s (equatorial) radius multiplied by a scale factor of 106","(see Notes 4 and 5)#GRIB2_7_0_0_Temp.doc#G2_Gdt390n","Operational"
198,"Grid definition template 3.90 - space view perspective or orthographic","73-76","Xo - x-coordinate of origin of sector image",,"Operational"
199,"Grid definition template 3.90 - space view perspective or orthographic","77-80","Yo - y-coordinate of origin of sector image",,"Operational"
200,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","15","n2 - exponent of 2 for the number of intervals on main triangle sides",,"Operational"
