#
# BUFR Table D
# hand modified from B_TableD_LATEST.xls file from AShimazaki@wmo.int Dec 15, 2009
# mods:
# 1)
# 1932,07,307091,(BUFR template for surface observations from one-hour period with national and WMO station identification),302175,"Intensity of precipitation, size of precipitation element",Operational
# should be:
# 1932,07,307091,(BUFR template for surface observations from one-hour period with national and WMO station identification),302075,"Intensity of precipitation, size of precipitation element",Operational
# 
#
SNo,Category,FXY1,enElementName1,FXY2,enElementName2,Status
97,01,301035,(Buoy/platform - moving) (see Note 4),001005,Buoy/platform identifier,Operational
98,01,301035,(Buoy/platform - moving) (see Note 4),001012,Direction of motion of moving observing platform,Operational
99,01,301035,(Buoy/platform - moving) (see Note 4),001013,Speed of motion of moving observing platform,Operational
100,01,301035,(Buoy/platform - moving) (see Note 4),002001,Type of station,Operational
101,01,301035,(Buoy/platform - moving) (see Note 4),301011,Date,Operational
102,01,301035,(Buoy/platform - moving) (see Note 4),301012,Time,Operational
103,01,301035,(Buoy/platform - moving) (see Note 4),301023,Latitude and longitude (coarse accuracy),Operational
104,01,301036,(Ship),301003,Ship's call sign and motion,Operational
105,01,301036,(Ship),002001,Type of station,Operational
106,01,301036,(Ship),301011,Date,Operational
107,01,301036,(Ship),301012,Time,Operational
108,01,301036,(Ship),301023,Latitude and longitude (coarse accuracy),Operational
109,01,301037,(Land station for vertical soundings),301001,WMO block and station number,Operational
110,01,301037,(Land station for vertical soundings),002011,Radiosonde type,Operational
111,01,301037,(Land station for vertical soundings),002012,Radiosonde computational method,Operational
112,01,301037,(Land station for vertical soundings),301011,Date,Operational
113,01,301037,(Land station for vertical soundings),301012,Time,Operational
114,01,301037,(Land station for vertical soundings),301022,"Latitude and longitude (high accuracy), height of station",Operational
115,01,301038,(Land station for vertical soundings),301001,WMO block and station number,Operational
116,01,301038,(Land station for vertical soundings),002011,Radiosonde type,Operational
117,01,301038,(Land station for vertical soundings),002012,Radiosonde computational method,Operational
118,01,301038,(Land station for vertical soundings),301011,Date,Operational
119,01,301038,(Land station for vertical soundings),301012,Time,Operational
120,01,301038,(Land station for vertical soundings),301024,"Latitude and longitude (coarse accuracy), height of station",Operational
121,01,301039,(Ship for vertical soundings),301003,Ship's call sign and motion,Operational
122,01,301039,(Ship for vertical soundings),002011,Radiosonde type,Operational
123,01,301039,(Ship for vertical soundings),002012,Radiosonde computational method,Operational
124,01,301039,(Ship for vertical soundings),301011,Date,Operational
125,01,301039,(Ship for vertical soundings),301012,Time,Operational
126,01,301039,(Ship for vertical soundings),301023,Latitude and longitude (coarse accuracy),Operational
127,01,301040,,301003,Ship's call sign and motion,Operational
128,01,301040,,002011,Radiosonde type,Operational
129,01,301040,,002012,Radiosonde computational method,Operational
130,01,301040,,301011,Date,Operational
131,01,301040,,301012,Time,Operational
132,01,301040,,301024,"Latitude and longitude (coarse accuracy), height of station",Operational
133,01,301041,,001007,Satellite identifier,Operational
134,01,301041,,002021,Satellite instrument data used in processing,Operational
135,01,301041,,002022,Satellite data processing technique used,Operational
136,01,301041,,301011,Date,Operational
137,01,301041,,301012,Time,Operational
138,01,301042,,301041,"Satellite identifier, data used, and data processing technique; date/time",Operational
139,01,301042,,301021,"Latitude, longitude",Operational
140,01,301043,,001007,Satellite identifier,Operational
141,01,301043,,002023,Cloud motion computational method,Operational
142,01,301043,,301011,Date,Operational
143,01,301043,,301013,Time,Operational
144,01,301043,,301021,"Latitude, longitude",Operational
145,01,301044,,001007,Satellite identifier,Operational
146,01,301044,,002024,Integrated mean humidity computational method,Operational
147,01,301044,,301011,Date,Operational
148,01,301044,,301013,Time,Operational
149,01,301044,,301021,"Latitude, longitude",Operational
150,01,301045,(Satellite location and velocity),301011,"Year, month, day",Operational
151,01,301045,(Satellite location and velocity),301012,"Time (hour, minute)",Operational
152,01,301045,(Satellite location and velocity),201138,Change width to 16 bits,Operational
153,01,301045,(Satellite location and velocity),202131,Change scale to 3,Operational
154,01,301045,(Satellite location and velocity),004006,Second,Operational
155,01,301045,(Satellite location and velocity),201000,Change width back to Table B,Operational
156,01,301045,(Satellite location and velocity),202000,Change scale back to Table B,Operational
157,01,301045,(Satellite location and velocity),304030,Location relative to the Earth’s centre,Operational
158,01,301045,(Satellite location and velocity),304031,Velocity relative to the Earth’s centre,Operational
159,01,301046,,001007,Satellite identifier,Operational
160,01,301046,,001012,Direction of motion of moving observing platform,Operational
161,01,301046,,002048,Satellite sensor indicator,Operational
162,01,301046,,021119,Wind scatterometer geophysical model function,Operational
163,01,301046,,025060,Software identification,Operational
164,01,301046,,202124,Change scale,Operational
165,01,301046,,002026,Cross-track resolution,Operational
166,01,301046,,002027,Along-tract resolution,Operational
167,01,301046,,202000,Change scale back to Table B,Operational
168,01,301046,,005040,Orbit number,Operational
169,01,301047,(ERS product header),001007,Satellite identifier,Operational
170,01,301047,(ERS product header),025060,Software identification,Operational
171,01,301047,(ERS product header),001033,Originating/generating centre,Operational
172,01,301047,(ERS product header),001034,Originating/generating sub-centre,Operational
173,01,301047,(ERS product header),001012,Direction of motion of moving observation platform,Operational
174,01,301047,(ERS product header),301045,Satellite location and velocity,Operational
175,01,301047,(ERS product header),002021,Satellite instrument data used in processing,Operational
176,01,301047,(ERS product header),301011,"Date (year, month, day)",Operational
177,01,301047,(ERS product header),301012,"Time (hour, minute)",Operational
178,01,301047,(ERS product header),201138,Change bit width to 16 bits,Operational
179,01,301047,(ERS product header),202131,Change scale to 3,Operational
180,01,301047,(ERS product header),004006,Second,Operational
181,01,301047,(ERS product header),201000,Change width back to Table B,Operational
182,01,301047,(ERS product header),202000,Change scale back to Table B,Operational
183,01,301047,(ERS product header),301023,"Location (latitude, longitude)",Operational
184,01,301048,(Radar parameters),002104,Antenna polarization,Operational
185,01,301048,(Radar parameters),002121,Mean frequency,Operational
186,01,301048,(Radar parameters),002113,Number of azimuth looks,Operational
187,01,301048,(Radar parameters),002026,Cross-track resolution,Operational
188,01,301048,(Radar parameters),002027,Along-track resolution,Operational
189,01,301048,(Radar parameters),002111,Radar incidence angle,Operational
190,01,301048,(Radar parameters),002140,Satellite radar beam azimuth angle,Operational
191,01,301048,(Radar parameters),202127,Change scale to -1,Operational
192,01,301048,(Radar parameters),001013,Radar platform velocity,Operational
193,01,301048,(Radar parameters),202126,Change scale to -2,Operational
194,01,301048,(Radar parameters),007001,Radar platform altitude,Operational
195,01,301048,(Radar parameters),202000,Change scale to Table B,Operational
196,01,301048,(Radar parameters),025010,Clutter treatment,Operational
197,01,301048,(Radar parameters),021064,Clutter noise estimate,Operational
198,01,301049,(Radar beam data),002111,Radar incidence angle,Operational
199,01,301049,(Radar beam data),002112,Radar look angle,Operational
200,01,301049,(Radar beam data),021062,Backscatter,Operational
201,01,301049,(Radar beam data),021063,Radiometric resolution (Noise value),Operational
202,01,301049,(Radar beam data),021065,Missing packet counter,Operational
203,01,301051,,001006,Aircraft flight number,Operational
204,01,301051,,002061,Navigational system,Operational
205,01,301051,,301011,Date,Operational
206,01,301051,,301012,Time,Operational
207,01,301051,,301021,"Latitude, longitude",Operational
208,01,301051,,008004,Phase of aircraft flight,Operational
209,01,301055,,001005,Buoy/platform identifier,Operational
210,01,301055,,002001,Type of station,Operational
211,01,301055,,301011,Date,Operational
212,01,301055,,301012,Time,Operational
213,01,301055,,301021,Latitude and longitude (high accuracy),Operational
214,01,301055,,001012,Direction of motion of moving observing platform,Operational
215,01,301055,,001014,Platform drift speed (high precision),Operational
216,01,301058,(Date/time of lightning event),301011,"Year, month, day",Validation
217,01,301058,(Date/time of lightning event),301012,"Hour, minute",Validation
218,01,301058,(Date/time of lightning event),004008,Seconds within a minute (High accuracy),Validation
219,01,301058,(Date/time of lightning event),,Horizontal and vertical coordinates of lightning event,Validation
220,01,301058,(Date/time of lightning event),301021,"Latitude, longitude (high accuracy)",Validation
221,01,301058,(Date/time of lightning event),020111,X-Axis error ellipse,Validation
222,01,301058,(Date/time of lightning event),020112,Y-Axis error ellipse,Validation
223,01,301058,(Date/time of lightning event),020113,Z-Axis error ellipse,Validation
224,01,301058,(Date/time of lightning event),020114,Angle of X-Axis in error ellipse,Validation
225,01,301058,(Date/time of lightning event),020115,Angle of Z-Axis in error ellipse,Validation
226,01,301058,(Date/time of lightning event),020116,Emission Height of cloud stroke,Validation
227,01,301058,(Date/time of lightning event),, Emission information,Validation
228,01,301058,(Date/time of lightning event),020117,Amplitude of Lightning Strike,Validation
229,01,301058,(Date/time of lightning event),020118,Lightning Detection Error,Validation
230,01,301058,(Date/time of lightning event),020119,Lightning Discharge Polarity,Validation
231,01,301058,(Date/time of lightning event),025035,Decision Method for Polarity (V or A),Validation
232,01,301058,(Date/time of lightning event),020121,Threshold voltage for Polarity decision,Validation
233,01,301058,(Date/time of lightning event),020122,Threshold current for Polarity decision,Validation
234,01,301058,(Date/time of lightning event),020123,Minimum threshold for Detection,Validation
235,01,301058,(Date/time of lightning event),020124,Lightning Stroke or Flash,Validation
236,01,301058,(Date/time of lightning event),025175,Modified Residual,Validation
237,01,301058,(Date/time of lightning event),020023,Other Weather (for c2g or c2c identification),Validation
238,01,301058,(Date/time of lightning event),,Sensor Processing,Validation
239,01,301058,(Date/time of lightning event),025063,Central Processor Identifier,Validation
240,01,301058,(Date/time of lightning event),202136,,Validation
241,01,301058,(Date/time of lightning event),201136,,Validation
242,01,301058,(Date/time of lightning event),002121,"Mean Frequency (to define centre frequency, if used)",Validation
243,01,301058,(Date/time of lightning event),201000,,Validation
244,01,301058,(Date/time of lightning event),202000,,Validation
245,01,301058,(Date/time of lightning event),025061,Software identification and version number,Validation
246,01,301058,(Date/time of lightning event),002184,Type of Lightning Detection Sensor,Validation
247,01,301058,(Date/time of lightning event),002189,Capability to Discriminate Lightning Strike,Validation
248,01,301058,(Date/time of lightning event),025036,Atmospherics Location Method,Validation
249,01,301059,(Identification of sensor site and instrumentation),301021,"Latitude, longitude (high accuracy) of sensor",Validation
250,01,301059,(Identification of sensor site and instrumentation),007030,Height of station ground above mean sea level,Validation
251,01,301059,(Identification of sensor site and instrumentation),007032,Height of sensor above local ground (for lightning),Validation
252,01,301062,(Radar location(s)),101000,Delayed replication of 1 descriptor,Operational
253,01,301062,(Radar location(s)),031001,Replication factor,Operational
254,01,301062,(Radar location(s)),301001,WMO block and station number,Operational
255,01,301065,(ACARS identification),001006,Aircraft flight number (see Note 1),Operational
256,01,301065,(ACARS identification),001008,Aircraft registration number (see Note 1),Operational
257,01,301065,(ACARS identification),002001,Type of station,Operational
258,01,301065,(ACARS identification),002002,Type of instrumentation for wind measurement,Operational
259,01,301065,(ACARS identification),002005,Precision of temperature observation,Operational
260,01,301065,(ACARS identification),002062,Type of aircraft data relay system,Operational
261,01,301065,(ACARS identification),002070,Original specification of latitude/longitude,Operational
262,01,301065,(ACARS identification),002065,ACARS ground receiving station,Operational
263,01,301066,(ACARS location),301011,"Year, month, day",Operational
264,01,301066,(ACARS location),301013,"Hour, minute, second",Operational
265,01,301066,(ACARS location),301023,Latitude and longitude (coarse accuracy),Operational
266,01,301066,(ACARS location),007004,Pressure,Operational
267,01,301066,(ACARS location),002064,Aircraft roll angle quality,Operational
268,01,301066,(ACARS location),008004,Phase of aircraft flight,Operational
269,01,301071,(Satellite identifier/Generating resolution),001007,Satellite identifier,Operational
270,01,301071,(Satellite identifier/Generating resolution),001031,Generating centre,Operational
271,01,301071,(Satellite identifier/Generating resolution),002020,Satellite classification,Operational
272,01,301071,(Satellite identifier/Generating resolution),002028,Segment size at nadir in X direction,Operational
273,01,301071,(Satellite identifier/Generating resolution),002029,Segment size at nadir in Y direction,Operational
274,01,301072,(Satellite identification),301071,"Satellite identification, Generation resolution",Operational
275,01,301072,(Satellite identification),301011,Date,Operational
276,01,301072,(Satellite identification),301013,Time,Operational
277,01,301072,(Satellite identification),301021,"Latitude, longitude",Operational
278,01,301089,(National station identification),001101,State identifier,Operational
279,01,301089,(National station identification),001102,National station number,Operational
280,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301004,Surface station identification,Operational
281,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301011,"Year, month, day",Operational
282,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301012,"Hour, minute",Operational
283,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301021,"Latitude, longitude (high accuracy)",Operational
284,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",007030,Height of station ground above mean sea level,Operational
285,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",007031,Height of barometer above mean sea level,Operational
286,01,301091,(Surface station instrumentation),002180,Main present weather detecting system,Operational
287,01,301091,(Surface station instrumentation),002181,Supplementary present weather sensor,Operational
288,01,301091,(Surface station instrumentation),002182,Visibility measurement system,Operational
289,01,301091,(Surface station instrumentation),002183,Cloud detection system,Operational
290,01,301091,(Surface station instrumentation),002184,Type of lightning detection sensor,Operational
291,01,301091,(Surface station instrumentation),002179,Type of sky condition algorithm,Operational
292,01,301091,(Surface station instrumentation),002186,Capability to detect precipitation phenomena,Operational
293,01,301091,(Surface station instrumentation),002187,Capability to detect other weather phenomena,Operational
294,01,301091,(Surface station instrumentation),002188,Capability to detect obscuration,Operational
295,01,301091,(Surface station instrumentation),002189,Capability to discriminate lightning strikes,Operational
296,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",001011,Mobile land station identifier,Operational
297,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",001003,WMO Region number,Operational
298,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",002001,Type of station,Operational
299,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",301011,"Year, Month, Day",Operational
300,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",301012,"Hour, Minute",Operational
301,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",301021,"Latitude (high accuracy), Longitude (high accuracy)",Operational
302,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",007030,Height of station ground above mean sea level,Operational
303,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",007031,Height of barometer above mean sea level,Operational
304,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",033024,Station elevation quality mark,Operational
305,01,301093,"(Ship identification, movement, date/time, horizontal and vertical coordinates)",301036,Ship identification,Operational
306,01,301093,"(Ship identification, movement, date/time, horizontal and vertical coordinates)",007030,Height of station platform above mean sea level,Operational
307,01,301093,"(Ship identification, movement, date/time, horizontal and vertical coordinates)",007031,Height of barometer above mean sea level,Operational
308,01,301110,(Identification of launch site and instrumentation for wind measurements),301001,"WMO block number, WMO station number",Operational
309,01,301110,(Identification of launch site and instrumentation for wind measurements),001011,Ship or mobile land station identifier,Operational
310,01,301110,(Identification of launch site and instrumentation for wind measurements),002011,Radiosonde type,Operational
311,01,301110,(Identification of launch site and instrumentation for wind measurements),002014,Tracking technique/status of system used,Operational
312,01,301110,(Identification of launch site and instrumentation for wind measurements),002003,Type of measuring equipment used,Operational
313,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",301001,"WMO block number, WMO station number",Operational
314,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",001011,Ship or mobile land station identifier,Operational
315,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002011,Radiosonde type,Operational
316,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002013,Solar and infrared radiation correction,Operational
317,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002014,Tracking technique/status of system used,Operational
318,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002003,Type of measuring equipment used,Operational
319,01,301112,(Identification of launch point and instrumentation of dropsonde),001006,Aircraft identifier,Operational
320,01,301112,(Identification of launch point and instrumentation of dropsonde),002011,Radiosonde type,Operational
321,01,301112,(Identification of launch point and instrumentation of dropsonde),002013,Solar and infrared radiation correction,Operational
322,01,301112,(Identification of launch point and instrumentation of dropsonde),002014,Tracking technique/status of system used,Operational
323,01,301112,(Identification of launch point and instrumentation of dropsonde),002003,Type of measuring equipment used,Operational
324,01,301113,(Date/time of launch) (see Note 3),008021,Time significance   ( = 18 (launch time)),Operational
325,01,301113,(Date/time of launch) (see Note 3),301011,"Year, month, day of launch",Operational
326,01,301113,(Date/time of launch) (see Note 3),301013,"Hour, minute, second of launch",Operational
327,01,301114,(Horizontal and vertical coordinates of launch site),301021,Latitude (high accuracy) Longitude (high accuracy),Operational
328,01,301114,(Horizontal and vertical coordinates of launch site),007030,Height of station ground above mean sea level,Operational
329,01,301114,(Horizontal and vertical coordinates of launch site),007031,Height of barometer above mean sea level,Operational
330,01,301114,(Horizontal and vertical coordinates of launch site),007007,Height of release of sonde above mean sea level,Operational
331,01,301114,(Horizontal and vertical coordinates of launch site),033024,Station elevation quality mark (for mobile stations),Operational
332,01,301120,(Radiosonde abbreviated header and launch information),301001,WMO block and station number,Operational
333,01,301120,(Radiosonde abbreviated header and launch information),001094,WBAN number,Operational
334,01,301120,(Radiosonde abbreviated header and launch information),002011,Radiosonde type,Operational
335,01,301120,(Radiosonde abbreviated header and launch information),301121,Radiosonde launch point location,Operational
336,01,301121,(Radiosonde launch point location),008041,"Data significance (3 = ""balloon launch point"")",Operational
337,01,301121,(Radiosonde launch point location),301122,Date/time (to hundredths of second),Operational
338,01,301121,(Radiosonde launch point location),301021,Latitude and longitude (high accuracy),Operational
339,01,301121,(Radiosonde launch point location),007031,Height of barometer above MSL,Operational
340,01,301121,(Radiosonde launch point location),007007,Height (of radiosonde release above MSL),Operational
341,01,301122,(Date/time (to hundredths of second)) (see Note 3),301011,Date,Operational
342,01,301122,(Date/time (to hundredths of second)) (see Note 3),301012,Time,Operational
343,01,301122,(Date/time (to hundredths of second)) (see Note 3),201135,Change data width,Operational
344,01,301122,(Date/time (to hundredths of second)) (see Note 3),202130,Change scale,Operational
345,01,301122,(Date/time (to hundredths of second)) (see Note 3),004006,Second,Operational
346,01,301122,(Date/time (to hundredths of second)) (see Note 3),202000,Cancel change scale,Operational
347,01,301122,(Date/time (to hundredths of second)) (see Note 3),201000,Cancel change data width,Operational
348,01,301123,(Radiosonde full header information),102002,Replicate 2 descriptors 2 times,Operational
349,01,301123,(Radiosonde full header information),008041,"Data significance (0 = ""parent site"", 1 = ""observation site"")",Operational
350,01,301123,(Radiosonde full header information),001062,Short ICAO location identifier,Operational
351,01,301123,(Radiosonde full header information),301001,WMO block and station number,Operational
352,01,301123,(Radiosonde full header information),001094,WBAN number,Operational
353,01,301123,(Radiosonde full header information),002011,Radiosonde type,Operational
354,01,301123,(Radiosonde full header information),001018,Short station or site name,Operational
355,01,301123,(Radiosonde full header information),001095,Observer identification,Operational
356,01,301123,(Radiosonde full header information),025061,Software identification,Operational
357,01,301123,(Radiosonde full header information),025068,Number of archive recomputes,Operational
358,01,301123,(Radiosonde full header information),001082,Radiosonde ascension number,Operational
359,01,301123,(Radiosonde full header information),001083,Radiosonde release number,Operational
360,01,301123,(Radiosonde full header information),001081,Radiosonde serial number,Operational
361,01,301123,(Radiosonde full header information),002067,Radiosonde operating frequency,Operational
362,01,301123,(Radiosonde full header information),002066,Radiosonde ground receiving system,Operational
363,01,301123,(Radiosonde full header information),002014,Tracking technique/status of system used,Operational
364,01,301123,(Radiosonde full header information),025067,Release point pressure correction,Operational
365,01,301123,(Radiosonde full header information),025065,Orientation correction (azimuth),Operational
366,01,301123,(Radiosonde full header information),025066,Orientation correction (elevation),Operational
367,01,301123,(Radiosonde full header information),002095,Type of pressure sensor,Operational
368,01,301123,(Radiosonde full header information),002096,Type of temperature sensor,Operational
369,01,301123,(Radiosonde full header information),002097,Type of humidity sensor,Operational
370,01,301123,(Radiosonde full header information),002016,Radiosonde configuration,Operational
371,01,301123,(Radiosonde full header information),002083,Type of balloon shelter,Operational
372,01,301123,(Radiosonde full header information),002080,Balloon manufacturer,Operational
373,01,301123,(Radiosonde full header information),002081,Type of balloon,Operational
374,01,301123,(Radiosonde full header information),001093,Balloon lot number,Operational
375,01,301123,(Radiosonde full header information),002084,Type of gas used in balloon,Operational
376,01,301123,(Radiosonde full header information),002085,Amount of gas used in balloon,Operational
377,01,301123,(Radiosonde full header information),002086,Balloon flight train length,Operational
378,01,301123,(Radiosonde full header information),002082,Weight of balloon,Operational
379,01,301123,(Radiosonde full header information),008041,"Data significance (2 = ""balloon manufacture date"")",Operational
380,01,301123,(Radiosonde full header information),301011,Date,Operational
381,01,301125,(ASCAT header information),001033,Identification of originating/generating centre,Operational
382,01,301125,(ASCAT header information),001034,Identification of originating/generating sub-centre,Operational
383,01,301125,(ASCAT header information),025060,Software identification,Operational
384,01,301125,(ASCAT header information),001007,Satellite identifier,Operational
385,01,301125,(ASCAT header information),002019,Satellite instruments,Operational
386,01,301125,(ASCAT header information),001012,Direction of motion of moving observing platform,Operational
387,02,302001,,010004,Pressure (at station level),Operational
388,02,302001,,010051,Pressure reduced to mean sea level,Operational
389,02,302001,,010061,3-hour pressure change,Operational
390,02,302001,,010063,Characteristic of pressure tendency,Operational
391,02,302002,(High altitude station),010004,Pressure (at station level),Operational
392,02,302002,(High altitude station),007004,Pressure level,Operational
393,02,302002,(High altitude station),010003,Geopotential of pressure level,Operational
394,02,302002,(High altitude station),010061,3-hour pressure change,Operational
395,02,302002,(High altitude station),010063,Characteristic of pressure tendency,Operational
396,02,302003,,011011,Wind direction (10 m),Operational
397,02,302003,,011012,Wind speed (10 m),Operational
398,02,302003,,012004,Temperature (2 m),Operational
399,02,302003,,012006,Dew point (2 m),Operational
400,02,302003,,013003,Relative humidity,Operational
401,02,302003,,020001,Horizontal visibility,Operational
402,02,302003,,020003,Present weather,Operational
403,02,302003,,020004,Past weather (1),Operational
404,02,302003,,020005,Past weather (2),Operational
