#
# BUFR Code and Flag Table
# hand modified from BC_CodeFlagTable.xls file from AShimazaki@wmo.int Dec 01, 2009
#
SNo,FXY,CodeFigure,enDescription1,enDescription2,enDescription3
230,001101,414,Haiti,,
231,001101,415,Honduras,,
232,001101,416,Jamaica,,
233,001101,417,Mexico,,
234,001101,418,Netherlands Antilles and Aruba,,
235,001101,419,Nicaragua,,
236,001101,420,Panama,,
237,001101,421,Saint Lucia,,
238,001101,422,Trinidad and Tobago,,
239,001101,423,United Kingdom of Great Britain and Northern Ireland (RA IV),,
240,001101,424,United States of America (RA IV),,
241,001101,425,Venezuela,,
242,001101,426-499,"Reserved for Region IV (North America, Central America and the Caribbean)",,
243,001101,500,Australia,,
244,001101,501,Brunei Darussalam,,
245,001101,502,Cook Islands,,
246,001101,503,Fiji,,
247,001101,504,French Polynesia,,
248,001101,505,Indonesia,,
249,001101,506,Kiribati,,
250,001101,507,Malaysia,,
251,001101,508,"Micronesia, Federated States of",,
252,001101,509,New Caledonia,,
253,001101,510,New Zealand,,
254,001101,511,Niue,,
255,001101,512,Papua New Guinea,,
256,001101,513,Philippines,,
257,001101,514,Samoa,,
258,001101,515,Singapore,,
259,001101,516,Solomon Islands,,
260,001101,517,Tonga,,
261,001101,518,United Kingdom of Great Britain and Northern Ireland (RA V),,
262,001101,519,United States of America (RA V),,
263,001101,520,Vanuatu,,
264,001101,521–599,Reserved for Region V (South-West Pacific),,
265,001101,600,Albania,,
266,001101,601,Armenia,,
267,001101,602,Austria,,
268,001101,603,Azerbaijan,,
269,001101,604,Belarus,,
270,001101,605,Belgium,,
271,001101,606,Bosnia and Herzegovina,,
272,001101,607,Bulgaria,,
273,001101,608,Croatia,,
274,001101,609,Cyprus ,,
275,001101,610,Czech Republic,,
276,001101,611,Denmark,,
277,001101,612,Estonia,,
278,001101,613,Finland,,
279,001101,614,France (RA VI),,
280,001101,615,Georgia,,
281,001101,616,Germany,,
282,001101,617,Greece,,
283,001101,618,Hungary,,
284,001101,619,Iceland,,
285,001101,620,Ireland,,
286,001101,621,Israel,,
287,001101,622,Italy,,
288,001101,623,Jordan,,
289,001101,624,Kazakhstan,,
290,001101,625,Latvia,,
291,001101,626,Lebanon,,
292,001101,627,Lithuania,,
293,001101,628,Luxembourg,,
294,001101,629,Malta,,
295,001101,630,Monaco,,
296,001101,631,Montenegro,,
297,001101,632,Netherlands,,
298,001101,633,Norway,,
299,001101,634,Poland,,
300,001101,635,Portugal (RA VI),,
301,001101,636,Republic of Moldova,,
302,001101,637,Romania,,
303,001101,638,Russian Federation (RA VI),,
304,001101,639,Serbia,,
305,001101,640,Slovakia,,
306,001101,641,Slovenia,,
307,001101,642,Spain,,
308,001101,643,Sweden,,
309,001101,644,Switzerland,,
310,001101,645,Syrian Arab Republic,,
311,001101,646,The Former Yugoslav Republic of Macedonia,,
312,001101,647,Turkey,,
313,001101,648,Ukraine,,
314,001101,649,United Kingdom of Great Britain and Northern Ireland (RA VI),,
315,001101,650-699,Reserved for Region VI (Europe),,
316,001101,700-999,Reserved,,
317,001101,1000-1022,Not used,,
318,001101,1023,Missing value,,
319,002001,0,Automatic,,
320,002001,1,Manned,,
321,002001,2,Hybrid:both manned and automatic,,
322,002001,3,Missing value,,
323,002002,1,Certified Instruments,,
324,002002,2,Originally measured in knots,,
325,002002,3,Originally measured in km h-1,,
326,002002,All 4,Missing value,,
327,002003,0,Pressure Instrument associated with wind measuring equipment,,
328,002003,1,Optical theodolite,,
329,002003,2,Radio theodolite,,
330,002003,3,Radar,,
331,002003,4,VLF-Omega,,
332,002003,5,Loran C,,
333,002003,6,Wind profiler,,
334,002003,7,Satellite navigation,,
335,002003,8,Radio-acoustic Sounding System (RASS),,
336,002003,9,Sodar,,
337,002003,10-13,Reserved,,
338,002003,14,Pressure instrument associated with wind measuring equipment but pressure element failed during ascent,,
339,002003,15,Missing value,,
340,002004,0,USA open pan evaporimeter (without cover),Evaporation,
341,002004,1,USA open pan evaporimeter (mesh covered),Evaporation,
342,002004,2,GGI 3000 evaporimeter (sunken),Evaporation,
343,002004,3,20 m2 tank,Evaporation,
344,002004,4,Others,Evaporation,
345,002004,5,Rice,Evapotraspiration,
346,002004,6,Wheat,Evapotraspiration,
347,002004,7,Maize,Evapotraspiration,
348,002004,8,Sorghum,Evapotraspiration,
349,002004,9,Other crops,Evapotraspiration,
350,002004,10-14,Reserved,,
351,002004,15,Missing value,,
352,002013,0,No correction,,
353,002013,1,CIMO solar corrected and CIMO infrared corrected,,
354,002013,2,CIMO solar corrected and infrared corrected,,
355,002013,3,CIMO solar corrected only,,
356,002013,4,Solar and infrared corrected automatically by radiosonde system,,
357,002013,5,Solar corrected automatically by radiosonde system,,
358,002013,6,Solar and infrared corrected as specified by country,,
359,002013,7,Solar corrected as specified by country,,
360,002013,8-14,Reserved,,
361,002013,15,Missing value,,
362,002015,0,Reserved,,
363,002015,1,Pressure only radiosonde,,
364,002015,2,Pressure only radiosonde plus transponder,,
365,002015,3,Pressure only radiosonde plus radar reflector,,
366,002015,4,No-pressure radiosonde plus transponder,,
367,002015,5,No-pressure radiosonde plus radar reflector,,
368,002015,6-14,Reserved,,
369,002015,15,Missing value,,
370,002016,1,Train regulator,,
371,002016,2,Light unit,,
372,002016,3,Parachute,,
373,002016,4,Rooftop release,,
374,002016,All 5,Missing value,,
375,002020,0,Nimbus,,
376,002020,1,VTPR,,
377,002020,2,"Tiros 1 (Tiros, NOAA-6 to NOAA-13)",,
378,002020,3,Tiros 2 (NOAA-14 onwards),,
379,002020,10,EOS,,
380,002020,31,DMSP,,
381,002020,61,EUMETSAT Polar System (EPS),,
382,002020,91,ERS,,
383,002020,121,ADEOS,,
384,002020,241,GOES,,
385,002020,261,JASON,,
386,002020,271,GMS,,
387,002020,272,MTSAT,,
388,002020,301,INSAT,,
389,002020,331,METEOSAT Operational Programme (MOP),,
390,002020,332,METEOSAT Transitional Programme (MTP),,
391,002020,333,METEOSAT Second Generation Programme (MSG),,
392,002020,351,GOMS,,
393,002020,380,FY-1,,
394,002020,381,FY-2,,
395,002020,382-400,Reserved,,
396,002020,401,GPS,,
397,002020,402,GLONASS,,
398,002020,403,GALILEO,,
399,002020,404-510,Reserved,,
400,002020,511,Missing value,,
401,002021,1,High resolution Infrared sounder (HIRS),,
402,002021,2,Microwave sounding unit (MSU),,
403,002021,3,Stratospheric sounding unit (SSU),,
404,002021,4,AMI (Advanced microwave instrument) Wind mode,,
405,002021,5,AMI (Advanced microwave instrument) Wave mode,,
406,002021,6,AMI (Advanced microwave instrument) Image mode,,
407,002021,7,RADAR altimeter,,
408,002021,8,ATSR (along track scanning radiometer),,
409,002021,All 9,Missing value,,
410,002022,1,Processing technique not defined,,
411,002022,2,Automated statistical regression,,
412,002022,3,Clear path,,
413,002022,4,Partly cloudy path,,
414,002022,5,Cloudy path,,
415,002022,6-7,Reserved,,
416,002022,All 8,Missing value,,
417,002023,0,Reserved,,
418,002023,1,Wind derived from cloud motion observed in the infrared channel,,
419,002023,2,Wind derived from cloud motion observed in the visible channel,,
420,002023,3,Wind derived from motion observed in the water vapour channel,,
421,002023,4,Wind derived from motion observed in a combination of spectral channels,,
422,002023,5,Wind derived from motion observed in the water vapour channel in clear air,,
423,002023,6,Wind derived from motion observed in the ozone channel,,
424,002023,7,Wind derived from motion observed in water vapour channel (cloud or clear air not specified),,
425,002023,8-12,Reserved,,
426,002023,13,Root-mean-square,,
427,002023,14,Reserved,,
428,002023,15,Missing value,,
429,002024,0,Reserved,,
430,002024,1,Table with full range of humidity variation in layer,,
431,002024,2,Regression technique on 2 humidity values in layer,,
432,002024,3-14,Reserved,,
433,002024,15,Missing value,,
434,002025,1,Reserved,,
435,002025,2,HIRS,"Group 1 - Layer precipitable water for the layers: surface to 700 hPa, 700 to 500 hPa, and 500 to 300 hPa",
436,002025,3,MSU,"Group 1 - Layer precipitable water for the layers: surface to 700 hPa, 700 to 500 hPa, and 500 to 300 hPa",
437,002025,4-5,Reserved,"Group 1 - Layer precipitable water for the layers: surface to 700 hPa, 700 to 500 hPa, and 500 to 300 hPa",
438,002025,6,HIRS,Group 2 - Tropopause temperature and pressure,
439,002025,7,MSU,Group 2 - Tropopause temperature and pressure,
440,002025,8-9,Reserved,Group 2 - Tropopause temperature and pressure,
441,002025,10,"HIRS (1, 2, 3, 8, 9, 16, 17)",Group 3 - Total ozone,
442,002025,11,"HIRS (1, 2, 3, 9, 17)",Group 3 - Total ozone,
443,002025,12,MSU,Group 3 - Total ozone,
444,002025,13-14,Reserved,Group 3 - Total ozone,
445,002025,15,HIRS,"Group 4 - Mean temperature for the layers: surface to 850 hPa, 850 to 700 hPa, 700 to 500 hPa, 500 to 400 hPa, 400 to 300 hPa, 300 to 200 hPa, and 200 to 100 hPa",
446,002025,16,HIRS*,"Group 4 - Mean temperature for the layers: surface to 850 hPa, 850 to 700 hPa, 700 to 500 hPa, 500 to 400 hPa, 400 to 300 hPa, 300 to 200 hPa, and 200 to 100 hPa",
447,002025,17,MSU,"Group 4 - Mean temperature for the layers: surface to 850 hPa, 850 to 700 hPa, 700 to 500 hPa, 500 to 400 hPa, 400 to 300 hPa, 300 to 200 hPa, and 200 to 100 hPa",
448,002025,18,SKINTK (ocean only),"Group 4 - Mean temperature for the layers: surface to 850 hPa, 850 to 700 hPa, 700 to 500 hPa, 500 to 400 hPa, 400 to 300 hPa, 300 to 200 hPa, and 200 to 100 hPa",
449,002025,19-20,Reserved,"Group 4 - Mean temperature for the layers: surface to 850 hPa, 850 to 700 hPa, 700 to 500 hPa, 500 to 400 hPa, 400 to 300 hPa, 300 to 200 hPa, and 200 to 100 hPa",
450,002025,21,HIRS*,"Group 5 - Channel combinations used to obtain mean temperatures for the layers 100 to 70 hPa, 70 to 50 hPa, 50 to 30 hPa, 30 to 10 hPa, 10 to 5 hPa, 5 to 2 hPa, 2 to 1 hPa, 1 to 0.4 hPa",
451,002025,22,SSU,"Group 5 - Channel combinations used to obtain mean temperatures for the layers 100 to 70 hPa, 70 to 50 hPa, 50 to 30 hPa, 30 to 10 hPa, 10 to 5 hPa, 5 to 2 hPa, 2 to 1 hPa, 1 to 0.4 hPa",
452,002025,23,"MSU (3, 4)","Group 5 - Channel combinations used to obtain mean temperatures for the layers 100 to 70 hPa, 70 to 50 hPa, 50 to 30 hPa, 30 to 10 hPa, 10 to 5 hPa, 5 to 2 hPa, 2 to 1 hPa, 1 to 0.4 hPa",
453,002025,24,Reserved,"Group 5 - Channel combinations used to obtain mean temperatures for the layers 100 to 70 hPa, 70 to 50 hPa, 50 to 30 hPa, 30 to 10 hPa, 10 to 5 hPa, 5 to 2 hPa, 2 to 1 hPa, 1 to 0.4 hPa",
454,002025,All 25,Missing value,,
455,002030,0,Reserved,,
456,002030,1,ADCP (Acoustic Doppler Current Profiler),,
457,002030,2,GEK (Geomagnetic ElectroKinetograph),,
458,002030,3,Ship's set and drift determined by fixes 3-6 hours apart,,
459,002030,4,Ship's set and drift determined by fixes more than 6 hours but less than 12 hours apart,,
460,002030,5,Drift of buoy,,
461,002030,6,ADCP (Acoustic Doppler Current Profiler),,
462,002030,7,Missing value,,
463,002031,0,Reserved,,
464,002031,1,Instantaneous,between H 1 and H,
465,002031,2,Averaged over 3 minutes or less,between H 1 and H,
466,002031,3,"Averaged over more than 3 minutes, but 6 at the most",between H 1 and H,
467,002031,4,"Averaged over more than 6 minutes, but 12 at the most",between H 1 and H,
468,002031,5,Instantaneous,between H 2 and H 1,
469,002031,6,Averaged over 3 minutes or less,between H 2 and H 1,
470,002031,7,"Averaged over more than 3 minutes, but 6 at the most",between H 2 and H 1,
471,002031,8,"Averaged over more than 6 minutes, but 12 at the most",between H 2 and H 1,
472,002031,9,Vector or Doppler current profiling method not used,,
473,002031,10,Reserved,,
474,002031,11,1 hour or less,,
475,002031,12,More than 1 hour but 2 at the most,,
476,002031,13,More than 2 hours but 4 at the most,,
477,002031,14,More than 4 hours but 8 at the most,,
478,002031,15,More than 8 hours but 12 at the most,,
479,002031,16,More than 12 hours but 18 at the most,,
480,002031,17,More than 18 hours but 24 at the most,,
481,002031,18,Reserved,,
482,002031,19,Drift method not used,,
483,002031,20-30,Reserved,,
484,002031,31,Missing value,,
485,002032,0,Values at selected depths (data points fixed by the instrument or selected by any other method),,
486,002032,1,Values at selected depths (data points taken from traces at significant depths),,
487,002032,2,Reserved,,
488,002032,3,Missing value,,
489,002033,0,No salinity measured,,
490,002033,1,"In situ sensor, accuracy better than 0.02 %",,
491,002033,2,"In situ sensor, accuracy less than 0.02 %",,
492,002033,3,Sample analysis,,
493,002033,4-6,Reserved,,
494,002033,7,Missing value,,
495,002034,0,Unspecified drogue,,
496,002034,1,Holey sock,,
497,002034,2,TRISTAR,,
498,002034,3,Window shade,,
499,002034,4,Parachute,,
500,002034,5,Non-Lagrangian sea anchor,,
501,002034,6-30,Reserved (to be developed),,
502,002034,31,Missing value,,
503,002036,0,Drifting buoy,,
504,002036,1,Fixed buoy,,
505,002036,2,Sub-surface float (moving),,
506,002036,3,Missing value,,
507,002037,0,Reserved,,
508,002037,1,Manual reading from vertical tide staff,,
509,002037,2,Manual reading from single automatic recorder at station,,
510,002037,3,Manual reading from multiple automatic recorders at station,,
511,002037,4,Automatic reading from single automatic recorder at station without level reference check.,,
512,002037,5,"Automatic reading from a single automatic recorder at station with level reference check, or from multiple automatic recorders.",,
513,002037,6,Reserved,,
514,002037,7,Missing value,,
515,002038,0,Ship intake,,
516,002038,1,Bucket,,
517,002038,2,Hull contact sensor,,
518,002038,3,Reversing Thermometer,,
519,002038,4,STD/CTD sensor,,
520,002038,5,Mechanical BT,,
521,002038,6,Expendable BT,,
522,002038,7,Digital BT,,
523,002038,8,Thermistor chain,,
524,002038,9,Infra-red scanner,,
525,002038,10,Micro-wave scanner,,
526,002038,11,Infrared radiometer,,
527,002038,12,In line thermosalinograph,,
528,002038,13,Towed body,,
529,002038,14,Other,,
530,002038,15,Missing value,,
531,002039,0,Measured wet-bulb temperature,,
532,002039,1,Iced bulb measured wet-bulb temperature,,
533,002039,2,Computed wet-bulb temperature,,
534,002039,3,Iced bulb computed wet-bulb temperature,,
535,002039,4-6,Reserved,,
536,002039,7,Missing value,,
537,002040,0,Ships motion removed by averaging,Ship's velocity removed by botton tracking,
538,002040,1,Ships motion removed by motion compensation,Ship's velocity removed by botton tracking,
539,002040,2,Ships motion not removed,Ship's velocity removed by botton tracking,
540,002040,3,Ships motion removed by averaging,Ship's velocity removed by navigation,
541,002040,4,Ships motion removed by motion compensation,Ship's velocity removed by navigation,
542,002040,5,Ships motion not removed,Ship's velocity removed by navigation,
543,002040,6,Doppler current profiling method not used,,
544,002040,7-14,Reserved,,
545,002040,15,Missing value,,
546,002041,0,Information based on manual analysis,,
547,002041,1,Information based on computer analysis,,
548,002041,2,Information based on data assimilation,,
549,002041,3,Information based on computer analysis or data assimilation manually modified,,
550,002041,4-9,Reserved,,
551,002041,10,Information based on the numerical weather prediction,,
552,002041,11-62,Reserved for future use,,
553,002041,63,Missing value,,
554,002042,0,Value originally reported in m/s,,
555,002042,1,Value originally reported in knots,,
556,002042,2,No sea current data available,,
557,002042,3,Missing value,,
558,002044,0,Reserved for future use,,
559,002044,1,Longuet-Higgins (1964),,
560,002044,2,Longuet-Higgins (F3 method),,
561,002044,3,Maximum likelihood method,,
562,002044,4,Maximum entropy method,,
563,002044,5-14,Reserved,,
564,002044,15,Missing value,,
565,002045,0,Sea station,,
566,002045,1,Automatic data buoy,,
567,002045,2,Aircraft,,
568,002045,3,Satellite,,
569,002045,4-14,Reserved,,
570,002045,15,Missing value,,
571,002046,0,Reserved for future use,,
572,002046,1,Heave sensor,,
573,002046,2,Slope sensor,,
574,002046,3-14,Reserved,,
575,002046,15,Missing value,,
576,002048,0,HIRS,,
577,002048,1,MSU,,
578,002048,2,SSU,,
579,002048,3,AMSU-A,,
580,002048,4,AMSU-B,,
581,002048,5,AVHRR,,
582,002048,6,SSMI,,
583,002048,7,NSCAT,,
584,002048,8,SEAWINDS,,
585,002048,9,POSEIDON altimeter,,
586,002048,10,JMR (JASON Microwave Radiometer),,
587,002048,11,MHS,,
588,002048,12,ASCAT,,
589,002048,13-14,Reserved,,
590,002048,15,Missing value,,
591,002049,1,Processing technique not defined,,
592,002049,2,Simultaneous physical retrieval,,
593,002049,3,Clear sounding,,
594,002049,4,Cloudy sounding,,
595,002049,5-7,Reserved for future use,,
596,002049,All 8,Missing value,,
597,002050,1,1,14.71,
598,002050,2,2,14.37,
599,002050,3,3,14.06,
600,002050,4,4,13.64,
601,002050,5,5,13.37,
602,002050,6,6,12.66,
603,002050,7,7,12.02,
604,002050,8,8,11.03,
605,002050,9,9,9.71,
606,002050,10,10,7.43,
607,002050,11,11,7.02,
608,002050,12,12,6.51,
609,002050,13,13,4.57,
610,002050,14,14,4.52,
611,002050,15,15,4.45,
612,002050,16,16,4.13,
613,002050,17,17,3.98,
614,002050,18,18,3.74,
615,002050,19,19,0.969,
616,002050,All 20,Missing value,,
617,002051,0,Reserved,,
618,002051,1,Maximum/minimum temperatures,,
619,002051,2,Automated instruments,,
620,002051,3,Thermograph,,
621,002051,4-14,Reserved,,
622,002051,15,Missing value,,
623,002052,1,1,0.55 – 0.75,
624,002052,2,2,3.9,
625,002052,3,3,6.7,
626,002052,4,4,10.7,
627,002052,5,5,12.0,
628,002052,All 6,Missing value,,
629,002053,0,Observed brightness temperature,,
630,002053,1,Brightness temperature with bias correction applied,,
631,002053,2,Brightness temperature calculated from first guess,,
632,002053,3,Brightness temperature calculated from sounding,,
633,002053,4-14,Reserved,,
634,002053,15,Missing value,,
635,002054,0,Parameter derived using observed sounder brightness temperatures,,
636,002054,1,Parameter derived using observed imager brightness temperatures,,
637,002054,2,Parameter derived using first guess information,,
638,002054,3,Parameter derived using NMC analysis information,,
639,002054,4,Parameter derived using radiosonde information,,
640,002054,5-14,Reserved,,
641,002054,15,Missing value,,
642,002055,0,Statistics generated comparing retrieval versus radiosonde,,
643,002055,1,Statistics generated comparing retrieval versus first guess,,
644,002055,2,Statistics generated comparing radiosonde versus first guess,,
645,002055,3,Statistics generated comparing observed versus retrieval,,
646,002055,4,Statistics generated comparing observed versus first guess,,
647,002055,5,Statistics generated comparing radiosonde versus imager,,
648,002055,6,Statistics generated comparing radiosonde versus sounder,,
649,002055,7,Statistics generated for radiosonde,,
650,002055,8,Statistics generated for first guess,,
651,002055,9-14,Reserved,,
652,002055,15,Missing value,,
653,002056,0,Sums of differences,,
654,002056,1,Sums of squared differences,,
655,002056,2,Sample size,,
656,002056,3,Minimum difference,,
657,002056,4,Maximum difference,,
658,002056,5-14,Reserved,,
659,002056,15,Missing value,,
660,002057,0,Nested Grid Model (NGM),,
661,002057,1,Aviation Model (AVN),,
662,002057,2,Medium Range Forecast (MRF) Model,,
663,002057,3,Global Data Assimilation System (GDAS) Forecast Model,,
