,,Radar spectra (2),,,,,Spectral/Engineering > Radar
,,Radar spectra (3),,,,,Spectral/Engineering > Radar
,Nuclear/radiology,Air concentration of Caesium 137,,,,,Human Dimensions > Environmental Impacts > Nuclear Radiation
,,Air concentration of Iodine 131,,,,,Human Dimensions > Environmental Impacts > Nuclear Radiation
,,Air concentration of radioactive pollutant,,,,,Human Dimensions > Environmental Impacts > Nuclear Radiation
,,Ground deposition of Caesium 137,,,,,Human Dimensions > Environmental Impacts > Nuclear Radiation
,,Ground deposition of Iodine 131,,,,,Human Dimensions > Environmental Impacts > Nuclear Radiation
,Physical atmospheric properties,Visibility,,,,,Atmosphere > Air Quality > Visibility
,,Albedo,,,,,Atmosphere > Atmospheric Radiation > Albedo 
,,Thunderstorm probability,,,,,n/a
,,Mixed layer depth,,,,,n/a
,,Volcanic ash,,,,,Atmosphere > Aerosols > Dust/Ash 
,,Icing top,,,,,n/a
,,Icing base,,,,,n/a
,,Icing,,,,,n/a
,,Turbulence top,,,,,Atmosphere > Atmospheric Winds > Turbulence 
,,Turbulence base,,,,,Atmosphere > Atmospheric Winds > Turbulence 
,,Turbulence,,,,,Atmosphere > Atmospheric Winds > Turbulence 
,,Turbulent kinetic energy,,,,,Atmosphere > Atmospheric Winds > Turbulence 
,,Planetary boundary layer regime,,,,,Atmosphere > Altitude > Planetary Boundary Layer Height 
,,Contrail intensity,,,,,n/a
,,Contrail engine type,,,,,n/a
,,Contrail top,,,,,n/a
,,Contrail base,,,,,n/a
Hydrologic products,Hydrology Base Products,Flash flood guidance,,,,,Hydrosphere > Surface Water > Floods 
,,Flash flood runoff,,,,,Hydrosphere > Surface Water > Runoff 
,,Remotely-sensed snow cover,,,,,Cryosphere > Snow/Ice > Snow Cover 
,,Elevation of snow covered terrain,,,,,Land Surface > Topography > Terrain Elevation
,,Snow water equivalent percent of normal,,,,,Cryosphere > Snow/Ice > Snow Water Equivalent
,Hydrologic probabilities,Conditional percent precipitation amount fractile for an overall period,,,,,Atmosphere > Precipitation > Precipitation Amount 
,,Percent precipitation ina sub-period of an overall period,,,,,Atmosphere > Precipitation > Precipitation Amount 
,,Probability of 0.01 inch of precipitation (POP),,,,,Atmosphere > Precipitation > Precipitation Amount 
Land Surface Products,Vegetation/Biomass,Land cover,"1=land, 2-sea",,,,Land Surface > Land Use/Land Cover > Land Cover
,,Surface roughness,,,,,Land Surface > Topography > Surface Roughness
,,Soil temperature,,,,,Land Surface > Soils > Soil Temperature 
,,Soil Moisture content,,,,,Land Surface > Soils > Soil Moisture/Water Content 
,,Vegetation,,,,,Biosphere > Vegetation > Vegetation Cover 
,,Water runoff,,,,,Hydrosphere > Surface Water > Runoff
,,Evapotranspiration,,,,,Atmosphere > Atmospheric Water Vapor > Evapotranspiration 
,,Model terrain height,,,,,Land Surface > Topography > Terrain Elevation
,,Land use,,,,,Land Surface > Land Use/Land Cover > Land Use Classes
,Soil Products,Soil type,,,,,Land Surface > Soils > Soil Horizons/Profile 
,,Upper layer soil temperature,,,,,Land Surface > Soils > Soil Temperature 
,,Upper layer soil moisture,,,,,Land Surface > Soils > Soil Moisture/Water Content 
,,Lower layer soil moisture,,,,,Land Surface > Soils > Soil Moisture/Water Content 
,,Bottom layer soil temperature,,,,,Land Surface > Soils > Soil Temperature 
Space Products,Image format products,Scaled radiance,,,,,Spectral/Engineering > Visible Wavelengths > Visible Radiance
,,Scaled albedo,,,,,Atmosphere > Atmospheric Radiation > Albedo
,,Scaled brightness temperature,,,,,Spectral/Engineering > Infrared Wavelengths > Brightness Temperature 
,,Scaled precipitable water,,,,,Atmosphere > Atmospheric Water Vapor > Precipitable Water
,,Scaled lifted index,,,,,n/a
,,Scaled cloud top presure,,,,,Atmosphere > Clouds > Cloud Top Pressure
,,Scaled cloud top pressure,,,,,Atmosphere > Clouds > Cloud Top Pressure
,,Scaled skin temperature,,,,,Atmosphere > Atmospheric Temperature > Skin Temperature
,Quantitative Products,Estimated precipitation,,,,,Atmosphere > Precipitation > Precipitation Amount
Oceanographic Products,Waves,Wave spectra (1),,,,,Oceans > Ocean Waves > Wave Spectra
,,Wave spectra (2),,,,,Oceans > Ocean Waves > Wave Spectra
,,Wave spectra (3),,,,,Oceans > Ocean Waves > Wave Spectra
,,Significant height of combined wind waves and swell,,,,,Oceans > Ocean Waves > Significant Wave Height 
,,Direction of wind waves,,,,,Oceans > Ocean Waves > Wave Speed/Direction 
,,Significant height of wind waves,,,,,Oceans > Ocean Waves > Significant Wave Height 
,,Mean period of wind waves,,,,,Oceans > Ocean Waves > Wave Period 
,,Direction of swell waves,,,,,Oceans > Ocean Waves > Swells 
,,Significant height of swell waves,,,,,Oceans > Ocean Waves > Significant Wave Height 
,,Mean period of swell waves,,,,,Oceans > Ocean Waves > Wave Period 
,,Primary wave direction,,,,,Oceans > Ocean Waves > Wave Speed/Direction
,,Primary wave mean period,,,,,Oceans > Ocean Waves > Wave Period
,,Secondary wave direction,,,,,Oceans > Ocean Waves > Wave Speed/Direction 
,,Secondary wave mean period,,,,,Oceans > Ocean Waves > Wave Period
,Currents,Current direction,,,,,Oceans > Ocean Circulation > Ocean Currents 
,,Current speed,,,,,Oceans > Ocean Circulation > Ocean Currents 
,,u-component of current,,,,,Oceans > Ocean Circulation > Ocean Currents 
,,v-component of current,,,,,Oceans > Ocean Circulation > Ocean Currents 
,Ice,Ice cover,,,,,n/a
,,Ice thickness,,,,,Cryosphere > Snow/Ice > Ice Depth/Thickness 
,,Direction of ice drift,,,,,Cryosphere > Snow/Ice > Ice Motion 
,,Speed of ice drift,,,,,Cryosphere > Snow/Ice > Ice Motion 
,,u-component of drift,,,,,Cryosphere > Snow/Ice > Ice Motion 
,,v-component of drift,,,,,Cryosphere > Snow/Ice > Ice Motio
,,Ice growth rate,,,,,Cryosphere > Snow/Ice > Ice Growth/Melt
,,Ice divergence,,,,,n/a
,Surface Properties,Water temperature,,,,,Oceans > Ocean Temperature > Water Temperature 
,,Deviation of sea level from mean,,,,,Oceans > Coastal Processes > Sea Level Rise
,Sub-surface Properties,Main thermocline depth,,,,,Oceans > Ocean Temperature > Thermocline 
,,Main thermocline anomaly,,,,,Oceans > Ocean Temperature > Thermocline 
,,Transient themocline depth,,,,,Oceans > Ocean Temperature > Thermocline 
,,Salinity,,,,,Oceans > Salinity/Density > Salinity 
