#
# BUFR Table D
# hand modified from B_TableD.xls file from AShimazaki@wmo.int Dec 01, 2009
#
SNo,Category,FXY1,enElementName1,FXY2,enElementName2
122,01,301039,(Ship for vertical soundings),002011,Radiosonde type
123,01,301039,(Ship for vertical soundings),002012,Radiosonde computational method
124,01,301039,(Ship for vertical soundings),301011,Date
125,01,301039,(Ship for vertical soundings),301012,Time
126,01,301039,(Ship for vertical soundings),301023,Latitude and longitude (coarse accuracy)
127,01,301040,,301003,Ship's call sign and motion
128,01,301040,,002011,Radiosonde type
129,01,301040,,002012,Radiosonde computational method
130,01,301040,,301011,Date
131,01,301040,,301012,Time
132,01,301040,,301024,"Latitude and longitude (coarse accuracy), height of station"
133,01,301041,,001007,Satellite identifier
134,01,301041,,002021,Satellite instrument data used in processing
135,01,301041,,002022,Satellite data processing technique used
136,01,301041,,301011,Date
137,01,301041,,301012,Time
138,01,301042,,301041,"Satellite identifier, data used, and data processing technique; date/time"
139,01,301042,,301021,"Latitude, longitude"
140,01,301043,,001007,Satellite identifier
141,01,301043,,002023,Cloud motion computational method
142,01,301043,,301011,Date
143,01,301043,,301013,Time
144,01,301043,,301021,"Latitude, longitude"
145,01,301044,,001007,Satellite identifier
146,01,301044,,002024,Integrated mean humidity computational method
147,01,301044,,301011,Date
148,01,301044,,301013,Time
149,01,301044,,301021,"Latitude, longitude"
150,01,301045,(Satellite location and velocity),301011,"Year, month, day"
151,01,301045,(Satellite location and velocity),301012,"Time (hour, minute)"
152,01,301045,(Satellite location and velocity),201138,Change width to 16 bits
153,01,301045,(Satellite location and velocity),202131,Change scale to 3
154,01,301045,(Satellite location and velocity),004006,Second
155,01,301045,(Satellite location and velocity),201000,Change width back to Table B
156,01,301045,(Satellite location and velocity),202000,Change scale back to Table B
157,01,301045,(Satellite location and velocity),304030,Location relative to the Earth’s centre
158,01,301045,(Satellite location and velocity),304031,Velocity relative to the Earth’s centre
159,01,301046,,001007,Satellite identifier
160,01,301046,,001012,Direction of motion of moving observing platform
161,01,301046,,002048,Satellite sensor indicator
162,01,301046,,021119,Wind scatterometer geophysical model function
163,01,301046,,025060,Software identification
164,01,301046,,202124,Change scale
165,01,301046,,002026,Cross-track resolution
166,01,301046,,002027,Along-tract resolution
167,01,301046,,202000,Change scale back to Table B
168,01,301046,,005040,Orbit number
169,01,301047,(ERS product header),001007,Satellite identifier
170,01,301047,(ERS product header),025060,Software identification
171,01,301047,(ERS product header),001033,Originating/generating centre
172,01,301047,(ERS product header),001034,Originating/generating sub-centre
173,01,301047,(ERS product header),001012,Direction of motion of moving observation platform
174,01,301047,(ERS product header),301045,Satellite location and velocity
175,01,301047,(ERS product header),002021,Satellite instrument data used in processing
176,01,301047,(ERS product header),301011,"Date (year, month, day)"
177,01,301047,(ERS product header),301012,"Time (hour, minute)"
178,01,301047,(ERS product header),201138,Change bit width to 16 bits
179,01,301047,(ERS product header),202131,Change scale to 3
180,01,301047,(ERS product header),004006,Second
181,01,301047,(ERS product header),201000,Change width back to Table B
182,01,301047,(ERS product header),202000,Change scale back to Table B
183,01,301047,(ERS product header),301023,"Location (latitude, longitude)"
184,01,301048,(Radar parameters),002104,Antenna polarization
185,01,301048,(Radar parameters),002121,Mean frequency
186,01,301048,(Radar parameters),002113,Number of azimuth looks
187,01,301048,(Radar parameters),002026,Cross-track resolution
188,01,301048,(Radar parameters),002027,Along-track resolution
189,01,301048,(Radar parameters),002111,Radar incidence angle
190,01,301048,(Radar parameters),002140,Satellite radar beam azimuth angle
191,01,301048,(Radar parameters),202127,Change scale to -1
192,01,301048,(Radar parameters),001013,Radar platform velocity
193,01,301048,(Radar parameters),202126,Change scale to -2
194,01,301048,(Radar parameters),007001,Radar platform altitude
195,01,301048,(Radar parameters),202000,Change scale to Table B
196,01,301048,(Radar parameters),025010,Clutter treatment
197,01,301048,(Radar parameters),021064,Clutter noise estimate
198,01,301049,(Radar beam data),002111,Radar incidence angle
199,01,301049,(Radar beam data),002112,Radar look angle
200,01,301049,(Radar beam data),021062,Backscatter
201,01,301049,(Radar beam data),021063,Radiometric resolution (Noise value)
202,01,301049,(Radar beam data),021065,Missing packet counter
203,01,301051,,001006,Aircraft flight number
204,01,301051,,002061,Navigational system
205,01,301051,,301011,Date
206,01,301051,,301012,Time
207,01,301051,,301021,"Latitude, longitude"
208,01,301051,,008004,Phase of aircraft flight
209,01,301055,,001005,Buoy/platform identifier
210,01,301055,,002001,Type of station
211,01,301055,,301011,Date
212,01,301055,,301012,Time
213,01,301055,,301021,Latitude and longitude (high accuracy)
214,01,301055,,001012,Direction of motion of moving observing platform
215,01,301055,,001014,Platform drift speed (high precision)
216,01,301062,(Radar location(s)),101000,Delayed replication of 1 descriptor
217,01,301062,(Radar location(s)),031001,Replication factor
218,01,301062,(Radar location(s)),301001,WMO block and station number
219,01,301065,(ACARS identification),001006,Aircraft flight number (see Note 1)
220,01,301065,(ACARS identification),001008,Aircraft registration number (see Note 1)
221,01,301065,(ACARS identification),002001,Type of station
222,01,301065,(ACARS identification),002002,Type of instrumentation for wind measurement
223,01,301065,(ACARS identification),002005,Precision of temperature observation
224,01,301065,(ACARS identification),002062,Type of aircraft data relay system
225,01,301065,(ACARS identification),002070,Original specification of latitude/longitude
226,01,301065,(ACARS identification),002065,ACARS ground receiving station
227,01,301066,(ACARS location),301011,"Year, month, day"
228,01,301066,(ACARS location),301013,"Hour, minute, second"
229,01,301066,(ACARS location),301023,Latitude and longitude (coarse accuracy)
230,01,301066,(ACARS location),007004,Pressure
231,01,301066,(ACARS location),002064,Aircraft roll angle quality
232,01,301066,(ACARS location),008004,Phase of aircraft flight
233,01,301071,(Satellite identifier/Generating resolution),001007,Satellite identifier
234,01,301071,(Satellite identifier/Generating resolution),001031,Generating centre
235,01,301071,(Satellite identifier/Generating resolution),002020,Satellite classification
236,01,301071,(Satellite identifier/Generating resolution),002028,Segment size at nadir in X direction
237,01,301071,(Satellite identifier/Generating resolution),002029,Segment size at nadir in Y direction
238,01,301072,(Satellite identification),301071,"Satellite identification, Generation resolution"
239,01,301072,(Satellite identification),301011,Date
240,01,301072,(Satellite identification),301013,Time
241,01,301072,(Satellite identification),301021,"Latitude, longitude"
242,01,301089,(National station identification),001101,State identifier
243,01,301089,(National station identification),001102,National station number
244,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301004,Surface station identification
245,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301011,"Year, month, day"
246,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301012,"Hour, minute"
247,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",301021,"Latitude, longitude (high accuracy)"
248,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",007030,Height of station ground above mean sea level
249,01,301090,"(Surface station identification; time, horizontal and vertical co-ordinates)",007031,Height of barometer above mean sea level
250,01,301091,(Surface station instrumentation),002180,Main present weather detecting system
251,01,301091,(Surface station instrumentation),002181,Supplementary present weather sensor
252,01,301091,(Surface station instrumentation),002182,Visibility measurement system
253,01,301091,(Surface station instrumentation),002183,Cloud detection system
254,01,301091,(Surface station instrumentation),002184,Type of lightning detection sensor
255,01,301091,(Surface station instrumentation),002179,Type of sky condition algorithm
256,01,301091,(Surface station instrumentation),002186,Capability to detect precipitation phenomena
257,01,301091,(Surface station instrumentation),002187,Capability to detect other weather phenomena
258,01,301091,(Surface station instrumentation),002188,Capability to detect obscuration
259,01,301091,(Surface station instrumentation),002189,Capability to discriminate lightning strikes
260,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",001011,Mobile land station identifier
261,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",001003,WMO Region number
262,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",002001,Type of station
263,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",301011,"Year, Month, Day"
264,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",301012,"Hour, Minute"
265,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",301021,"Latitude (high accuracy), Longitude (high accuracy)"
266,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",007030,Height of station ground above mean sea level
267,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",007031,Height of barometer above mean sea level
268,01,301092,"(Mobile surface station identification,date/time, horizontal and vertical coordinates)",033024,Station elevation quality mark
269,01,301093,"(Ship identification, movement, date/time, horizontal and vertical coordinates)",301036,Ship identification
270,01,301093,"(Ship identification, movement, date/time, horizontal and vertical coordinates)",007030,Height of station platform above mean sea level
271,01,301093,"(Ship identification, movement, date/time, horizontal and vertical coordinates)",007031,Height of barometer above mean sea level
272,01,301110,(Identification of launch site and instrumentation for wind measurements),301001,"WMO block number, WMO station number"
273,01,301110,(Identification of launch site and instrumentation for wind measurements),001011,Ship or mobile land station identifier
274,01,301110,(Identification of launch site and instrumentation for wind measurements),002011,Radiosonde type
275,01,301110,(Identification of launch site and instrumentation for wind measurements),002014,Tracking technique/status of system used
276,01,301110,(Identification of launch site and instrumentation for wind measurements),002003,Type of measuring equipment used
277,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",301001,"WMO block number, WMO station number"
278,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",001011,Ship or mobile land station identifier
279,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002011,Radiosonde type
280,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002013,Solar and infrared radiation correction
281,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002014,Tracking technique/status of system used
282,01,301111,"(Identification of launch site and instrumentation for P, T, U and wind measurements)",002003,Type of measuring equipment used
283,01,301112,(Identification of launch point and instrumentation of dropsonde),001006,Aircraft identifier
284,01,301112,(Identification of launch point and instrumentation of dropsonde),002011,Radiosonde type
285,01,301112,(Identification of launch point and instrumentation of dropsonde),002013,Solar and infrared radiation correction
286,01,301112,(Identification of launch point and instrumentation of dropsonde),002014,Tracking technique/status of system used
287,01,301112,(Identification of launch point and instrumentation of dropsonde),002003,Type of measuring equipment used
288,01,301113,(Date/time of launch) (see Note 3),008021,Time significance   ( = 18 (launch time))
289,01,301113,(Date/time of launch) (see Note 3),301011,"Year, month, day of launch"
290,01,301113,(Date/time of launch) (see Note 3),301013,"Hour, minute, second of launch"
291,01,301114,(Horizontal and vertical coordinates of launch site),301021,Latitude (high accuracy) Longitude (high accuracy)
292,01,301114,(Horizontal and vertical coordinates of launch site),007030,Height of station ground above mean sea level
293,01,301114,(Horizontal and vertical coordinates of launch site),007031,Height of barometer above mean sea level
294,01,301114,(Horizontal and vertical coordinates of launch site),007007,Height of release of sonde above mean sea level
295,01,301114,(Horizontal and vertical coordinates of launch site),033024,Station elevation quality mark (for mobile stations)
296,01,301120,(Radiosonde abbreviated header and launch information),301001,WMO block and station number
297,01,301120,(Radiosonde abbreviated header and launch information),001094,WBAN number
298,01,301120,(Radiosonde abbreviated header and launch information),002011,Radiosonde type
299,01,301120,(Radiosonde abbreviated header and launch information),301121,Radiosonde launch point location
300,01,301121,(Radiosonde launch point location),008041,"Data significance (3 = ""balloon launch point"")"
301,01,301121,(Radiosonde launch point location),301122,Date/time (to hundredths of second)
302,01,301121,(Radiosonde launch point location),301021,Latitude and longitude (high accuracy)
303,01,301121,(Radiosonde launch point location),007031,Height of barometer above MSL
304,01,301121,(Radiosonde launch point location),007007,Height (of radiosonde release above MSL)
305,01,301122,(Date/time (to hundredths of second)) (see Note 3),301011,Date
306,01,301122,(Date/time (to hundredths of second)) (see Note 3),301012,Time
307,01,301122,(Date/time (to hundredths of second)) (see Note 3),201135,Change data width
308,01,301122,(Date/time (to hundredths of second)) (see Note 3),202130,Change scale
309,01,301122,(Date/time (to hundredths of second)) (see Note 3),004006,Second
310,01,301122,(Date/time (to hundredths of second)) (see Note 3),202000,Cancel change scale
311,01,301122,(Date/time (to hundredths of second)) (see Note 3),201000,Cancel change data width
312,01,301123,(Radiosonde full header information),102002,Replicate 2 descriptors 2 times
313,01,301123,(Radiosonde full header information),008041,"Data significance (0 = ""parent site"", 1 = ""observation site"")"
314,01,301123,(Radiosonde full header information),001062,Short ICAO location identifier
315,01,301123,(Radiosonde full header information),301001,WMO block and station number
316,01,301123,(Radiosonde full header information),001094,WBAN number
317,01,301123,(Radiosonde full header information),002011,Radiosonde type
318,01,301123,(Radiosonde full header information),001018,Short station or site name
319,01,301123,(Radiosonde full header information),001095,Observer identification
320,01,301123,(Radiosonde full header information),025061,Software identification
321,01,301123,(Radiosonde full header information),025068,Number of archive recomputes
322,01,301123,(Radiosonde full header information),001082,Radiosonde ascension number
323,01,301123,(Radiosonde full header information),001083,Radiosonde release number
324,01,301123,(Radiosonde full header information),001081,Radiosonde serial number
325,01,301123,(Radiosonde full header information),002067,Radiosonde operating frequency
326,01,301123,(Radiosonde full header information),002066,Radiosonde ground receiving system
327,01,301123,(Radiosonde full header information),002014,Tracking technique/status of system used
328,01,301123,(Radiosonde full header information),025067,Release point pressure correction
329,01,301123,(Radiosonde full header information),025065,Orientation correction (azimuth)
330,01,301123,(Radiosonde full header information),025066,Orientation correction (elevation)
331,01,301123,(Radiosonde full header information),002095,Type of pressure sensor
332,01,301123,(Radiosonde full header information),002096,Type of temperature sensor
333,01,301123,(Radiosonde full header information),002097,Type of humidity sensor
334,01,301123,(Radiosonde full header information),002016,Radiosonde configuration
335,01,301123,(Radiosonde full header information),002083,Type of balloon shelter
336,01,301123,(Radiosonde full header information),002080,Balloon manufacturer
337,01,301123,(Radiosonde full header information),002081,Type of balloon
338,01,301123,(Radiosonde full header information),001093,Balloon lot number
339,01,301123,(Radiosonde full header information),002084,Type of gas used in balloon
340,01,301123,(Radiosonde full header information),002085,Amount of gas used in balloon
341,01,301123,(Radiosonde full header information),002086,Balloon flight train length
342,01,301123,(Radiosonde full header information),002082,Weight of balloon
343,01,301123,(Radiosonde full header information),008041,"Data significance (2 = ""balloon manufacture date"")"
344,01,301123,(Radiosonde full header information),301011,Date
345,01,301125,(ASCAT header information),001033,Identification of originating/generating centre
346,01,301125,(ASCAT header information),001034,Identification of originating/generating sub-centre
347,01,301125,(ASCAT header information),025060,Software identification
348,01,301125,(ASCAT header information),001007,Satellite identifier
349,01,301125,(ASCAT header information),002019,Satellite instruments
350,01,301125,(ASCAT header information),001012,Direction of motion of moving observing platform
351,02,302001,,010004,Pressure (at station level)
352,02,302001,,010051,Pressure reduced to mean sea level
353,02,302001,,010061,3-hour pressure change
354,02,302001,,010063,Characteristic of pressure tendency
355,02,302002,(High altitude station),010004,Pressure (at station level)
356,02,302002,(High altitude station),007004,Pressure level
357,02,302002,(High altitude station),010003,Geopotential of pressure level
358,02,302002,(High altitude station),010061,3-hour pressure change
359,02,302002,(High altitude station),010063,Characteristic of pressure tendency
360,02,302003,,011011,Wind direction (10 m)
361,02,302003,,011012,Wind speed (10 m)
362,02,302003,,012004,Temperature (2 m)
363,02,302003,,012006,Dew point (2 m)
364,02,302003,,013003,Relative humidity
365,02,302003,,020001,Horizontal visibility
366,02,302003,,020003,Present weather
367,02,302003,,020004,Past weather (1)
368,02,302003,,020005,Past weather (2)
369,02,302004,(General cloud information),020010,Cloud cover (total in %)
370,02,302004,(General cloud information),008002,Vertical significance
371,02,302004,(General cloud information),020011,Cloud amount
372,02,302004,(General cloud information),020013,Height of base of cloud
373,02,302004,(General cloud information),020012,Cloud type
374,02,302004,(General cloud information),020012,Cloud type
375,02,302004,(General cloud information),020012,Cloud type
376,02,302005,,008002,Vertical significance
377,02,302005,,020011,Cloud amount
378,02,302005,,020012,Cloud type
379,02,302005,,020013,Height of base of cloud
380,02,302006,,010004,Pressure (at station level)
381,02,302006,,010051,Pressure reduced to mean sea level
382,02,302006,,010062,24-hour pressure change
383,02,302006,,010063,Characteristic of pressure tendency
384,02,302011,(Low altitude station),302001,Pressure and pressure change
385,02,302011,(Low altitude station),302003,"Wind, temperature, humidity, visibility, weather"
386,02,302011,(Low altitude station),302004,Significant cloud layer
387,02,302012,(High altitude station),302002,Pressure and pressure change
388,02,302012,(High altitude station),302003,"Wind, temperature, humidity, visibility, weather"
389,02,302012,(High altitude station),302004,Significant cloud information
390,02,302013,,302006,Pressure and pressure change
391,02,302013,,302003,"Wind, temperature, humidity, visibility, weather"
392,02,302013,,101000,Delayed replication of 1 descriptor
393,02,302013,,031001,Delayed descriptor replication factor
394,02,302013,,302005,Cloud layer information
395,02,302021,,022001,Direction of waves
396,02,302021,,022011,Period of waves
397,02,302021,,022021,Height of waves
398,02,302022,,022002,Direction of wind waves
399,02,302022,,022012,Period of wind waves
400,02,302022,,022022,Height of wind waves
401,02,302023,,022003,Direction of swell waves
402,02,302023,,022013,Period of swell waves
403,02,302023,,022023,Height of swell waves
404,02,302024,,302022,Wind waves
405,02,302024,,101002,Replicate 1 descriptor 2 times
406,02,302024,,302023,Swell waves (2 systems of swell)
407,02,302031,(Pressure information),302001,Pressure data
408,02,302031,(Pressure information),010062,24-hour pressure change
409,02,302031,(Pressure information),007004,Pressure (standard level)
410,02,302031,(Pressure information),010009,Geopotential height of the standard level
411,02,302032,(Temperature and humidity data),007032,Height of sensor above local ground (for temperature and humidity measurement)
412,02,302032,(Temperature and humidity data),012101,Temperature/dry-bulb temperature (scale 2)
413,02,302032,(Temperature and humidity data),012103,Dew-point temperature (scale 2)
414,02,302032,(Temperature and humidity data),013003,Relative humidity
415,02,302033,(Visibility data),007032,Height of sensor above local ground (for visibility measurement)
416,02,302033,(Visibility data),020001,Horizontal visibility
417,02,302034,(Precipitation past 24 hours),007032,Height of sensor above local ground (for precipitation measurement)
418,02,302034,(Precipitation past 24 hours),013023,Total precipitation past 24 hours
419,02,302035,"(Basic synoptic ""instantaneous"" data)",302032,Temperature and humidity data
420,02,302035,"(Basic synoptic ""instantaneous"" data)",302033,Visibility data
421,02,302035,"(Basic synoptic ""instantaneous"" data)",302034,Precipitation past 24 hours
422,02,302035,"(Basic synoptic ""instantaneous"" data)",007032,Height of sensor above local ground (set to missing to cancel the previous value)
423,02,302035,"(Basic synoptic ""instantaneous"" data)",302004,Cloud data
424,02,302035,"(Basic synoptic ""instantaneous"" data)",101000,Delayed replication
425,02,302035,"(Basic synoptic ""instantaneous"" data)",031001,Delayed descriptor replication factor
426,02,302035,"(Basic synoptic ""instantaneous"" data)",302005,Individual cloud layer or mass
427,02,302036,(Clouds with bases below station level),105000,Delayed replication of 5 descriptors
428,02,302036,(Clouds with bases below station level),031001,Delayed descriptor replication factor
429,02,302036,(Clouds with bases below station level),008002,Vertical significance
430,02,302036,(Clouds with bases below station level),020011,Cloud amount
431,02,302036,(Clouds with bases below station level),020012,Cloud type
432,02,302036,(Clouds with bases below station level),020014,Height of top of cloud
433,02,302036,(Clouds with bases below station level),020017,Cloud top description
434,02,302037,"(State of ground, snow depth, ground minimum temperature)",020062,State of ground (with or without snow)
435,02,302037,"(State of ground, snow depth, ground minimum temperature)",013013,Total snow depth
436,02,302037,"(State of ground, snow depth, ground minimum temperature)",012113,"Ground minimum temperature (scale 2), past 12 hours"
437,02,302038,(Present and past weather),020003,Present weather
438,02,302038,(Present and past weather),004024,Time period in hours
439,02,302038,(Present and past weather),020004,Past weather (1)
440,02,302038,(Present and past weather),020005,Past weather (2)
441,02,302039,(Sunshine data (from 1 hour and 24 hour period)),004024,Time period in hours
442,02,302039,(Sunshine data (from 1 hour and 24 hour period)),014031,Total sunshine
443,02,302040,(Precipitation measurement),007032,Height of sensor above local ground (for precipitation measurement)
444,02,302040,(Precipitation measurement),102002,Replicate next 2 descriptors 2 times
445,02,302040,(Precipitation measurement),004024,Time period in hours
446,02,302040,(Precipitation measurement),013011,Total precipitation / total water equivalent of snow
447,02,302041,(Extreme temperature data),007032,Height of sensor above local ground (for temperature measurement)
448,02,302041,(Extreme temperature data),004024,Time period or displacement
449,02,302041,(Extreme temperature data),004024,Time period or displacement (see Notes 1 and 2)
450,02,302041,(Extreme temperature data),012111,Maximum temperature (scale 2) at height and over period specified
451,02,302041,(Extreme temperature data),004024,Time period or displacement
452,02,302041,(Extreme temperature data),004024,Time period or displacement (see Note 2)
453,02,302041,(Extreme temperature data),012112,Minimum temperature (scale 2) at height and over period specified
454,02,302042,(Wind data),007032,Height of sensor above local ground (for wind measurement)
455,02,302042,(Wind data),002002,Type of instrumentation for wind measurement
456,02,302042,(Wind data),008021,Time significance (= 2 (time averaged))
457,02,302042,(Wind data),004025,"Time period  (=  -10 minutes, or number of minutes after a significant change of wind)"
458,02,302042,(Wind data),011001,Wind direction
459,02,302042,(Wind data),011002,Wind speed
460,02,302042,(Wind data),008021,Time significance (= missing value)
461,02,302042,(Wind data),103002,Replicate next 3 descriptors 2 times
462,02,302042,(Wind data),004025,Time period in minutes
463,02,302042,(Wind data),011043,Maximum wind gust direction
464,02,302042,(Wind data),011041,Maximum wind gust speed
465,02,302043,"(Basic synoptic ""period"" data)",302038,Present and past weather
466,02,302043,"(Basic synoptic ""period"" data)",101002,Replicate 1 descriptors 2 times
467,02,302043,"(Basic synoptic ""period"" data)",302039,Sunshine data (from 1 hour and 24 hour period)
