#
# BUFR Table B
# hand modified from BC_TableB.xls file from AShimazaki@wmo.int Dec 01, 2009
#
Class,FXY,enElementName,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth
2,2021,Satellite instrument data used in processing*,Flag table,0,0,9,Flag table,0,3
2,2022,Satellite data-processing technique used,Flag table,0,0,8,Flag table,0,3
2,2023,Satellite derived wind computation method,Code table,0,0,4,Code table,0,2
2,2024,Integrated mean humidity computational method,Code table,0,0,4,Code table,0,2
2,2025,Satellite channel(s) used in computation,Flag table,0,0,25,Flag table,0,9
2,2026,Cross-track resolution,m,2,0,12,m,2,4
2,2027,Along-track resolution,m,2,0,12,m,2,4
2,2028,Segment size at nadir in x-direction,m,0,0,18,m,0,6
2,2029,Segment size at nadir in y-direction,m,0,0,18,m,0,6
2,2030,Method of current measurement,Code table,0,0,3,Code table,0,1
2,2031,Duration and time of current measurement,Code table,0,0,5,Code table,0,2
2,2032,Indicator for digitization,Code table,0,0,2,Code table,0,1
2,2033,Method of salinity/depth measurement,Code table,0,0,3,Code table,0,1
2,2034,Drogue type,Code table,0,0,5,Code table,0,2
2,2035,Cable length,m,0,0,9,m,0,3
2,2036,Buoy type,Code table,0,0,2,Code table,0,1
2,2037,Method of tidal observation,Code table,0,0,3,Code table,0,1
2,2038,Method of water temperature and/or salinity measurement,Code table,0,0,4,Code table,0,2
2,2039,Method of wet-bulb temperature measurement,Code table,0,0,3,Code table,0,1
2,2040,Method of removing velocity and motion of platform from current,Code table,0,0,4,Code table,0,2
2,2041,Method for estimating reports related to synoptic features,Code table,0,0,6,Code table,0,2
2,2042,Indicator for sea-surface current speed,Code table,0,0,2,Code table,0,1
2,2044,Indicator for method of calculating spectral wave data,Code table,0,0,4,Code table,0,2
2,2045,Indicator for type of platform,Code table,0,0,4,Code table,0,2
2,2046,Wave measurement instrumentation,Code table,0,0,4,Code table,0,2
2,2048,Satellite sensor indicator,Code table,0,0,4,Code table,0,2
2,2049,Geostationary satellite data-processing technique used,Flag table,0,0,8,Flag table,0,3
2,2050,Geostationary sounder satellite channels used,Flag table,0,0,20,Flag table,0,7
2,2051,Indicator to specify observing method for extreme temperatures,Code table,0,0,4,Code table,0,2
2,2052,Geostationary imager satellite channels used,Flag table,0,0,6,Flag table,0,2
2,2053,GOES-I/M brightness temperature characteristics,Code table,0,0,4,Code table,0,2
2,2054,GOES-I/M soundings parameter characteristics,Code table,0,0,4,Code table,0,2
2,2055,Geostationary soundings statistical parameters,Code table,0,0,4,Code table,0,2
2,2056,Geostationary soundings accuracy statistics,Code table,0,0,4,Code table,0,2
2,2057,Origin of first guess information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2
2,2058,Valid times of first guess information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2
2,2059,Origin of analysis information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2
2,2060,Origin of surface information for GOES-I/M soundings,Code table,0,0,4,Code table,0,2
2,2061,Aircraft navigational system,Code table,0,0,3,Code table,0,1
2,2062,Type of aircraft data relay system,Code table,0,0,4,Code table,0,2
2,2063,Aircraft roll angle,Degree,2,-18000,16,Degree,2,5
2,2064,Aircraft roll angle quality,Code table,0,0,2,Code table,0,1
2,2065,ACARS ground-receiving station,CCITT IA5,0,0,40,Character,0,5
2,2066,Radiosonde ground receiving system,Code table,0,0,6,Code table,0,2
2,2067,Radiosonde operating frequency,Hz,-5,0,15,Hz,-5,5
2,2070,Original specification of latitude/longitude,Code table,0,0,4,Code table,0,2
2,2071,Spectrographic wavelength,m,13,0,30,m,13,10
2,2080,Balloon manufacturer,Code table,0,0,6,Code table,0,2
2,2081,Type of balloon,Code table,0,0,5,Code table,0,2
2,2082,Weight of balloon,kg,3,0,12,kg,3,4
2,2083,Type of balloon shelter,Code table,0,0,4,Code table,0,2
2,2084,Type of gas used in balloon,Code table,0,0,4,Code table,0,2
2,2085,Amount of gas used in balloon,kg,3,0,13,kg,3,4
2,2086,Balloon flight train length,m,1,0,10,m,1,4
2,2091,Entry sensor 4/20 mA,A,4,0,10,A,4,3
2,2095,Type of pressure sensor,Code table,0,0,5,Code table,0,2
2,2096,Type of temperature sensor,Code table,0,0,5,Code table,0,2
2,2097,Type of humidity sensor,Code table,0,0,5,Code table,0,2
2,2099,Polarisation,Code table,0,0,3,Code table,0,1
2,2100,Radar constant*,dB,1,0,12,dB,1,4
2,2101,Type of antenna,Code table,0,0,4,Code table,0,2
2,2102,Antenna height above tower base,m,0,0,8,m,0,3
2,2103,Radome,Flag table,0,0,2,Flag table,0,1
2,2104,Antenna polarisation,Code table,0,0,4,Code table,0,2
2,2105,Maximum antenna gain,dB,0,0,6,dB,0,2
2,2106,3-dB beamwidth,Degree,1,0,6,Degree,1,2
2,2107,Sidelobe suppression,dB,0,0,6,dB,0,2
2,2108,Crosspol discrimination (on axis),dB,0,0,6,dB,0,2
2,2109,Antenna speed (azimuth),Degree s-1,2,0,12,Degree s-1,2,4
2,2110,Antenna speed (elevation),Degree s-1,2,0,12,Degree s-1,2,4
2,2111,Radar incidence angle,Degree,1,0,10,Degree,1,4
2,2112,Radar look angle,Degree,1,0,12,Degree,1,4
2,2113,Number of azimuth looks,Numeric,0,0,4,Numeric,0,2
2,2114,Antenna effective surface area,m2,0,0,15,m2,0,5
2,2115,Type of surface observing equipment,Code table,0,0,5,Code table,0,2
2,2116,Percentage of 320 MHz band processed,%,0,0,7,%,0,3
2,2117,Percentage of 80 MHz band processed,%,0,0,7,%,0,3
2,2118,Percentage of 20 MHz band processed,%,0,0,7,%,0,3
2,2119,RA-2 instrument operations,Code table,0,0,3,Code table,0,1
2,2120,Ocean wave frequency,Hz,3,0,10,Hz,3,4
2,2121,Mean frequency,Hz,-8,0,7,Hz,-8,3
2,2122,Frequency agility range,Hz,-6,-128,8,Hz,-6,3
2,2123,Peak power,W,-4,0,7,W,-4,3
2,2124,Average power,W,-1,0,7,W,-1,3
2,2125,Pulse repetition frequency,Hz,-1,0,8,Hz,-1,3
2,2126,Pulse width,s,7,0,6,s,7,2
2,2127,Receiver intermediate frequency,Hz,-6,0,7,Hz,-6,3
2,2128,Intermediate frequency bandwidth,Hz,-5,0,6,Hz,-5,2
2,2129,Minimum detectable signal,dB,0,-150,5,dB,0,3
2,2130,Dynamic range,dB,0,0,7,dB,0,3
2,2131,Sensitivity time control (STC),Flag table,0,0,2,Flag table,0,1
2,2132,Azimuth pointing accuracy,Degree,2,0,6,Degree,2,2
2,2133,Elevation pointing accuracy,Degree,2,0,6,Degree,2,2
2,2134,Antenna beam azimuth,Degree,2,0,16,Degree,2,5
2,2135,Antenna elevation,Degree,2,-9000,15,Degree,2,5
2,2136,Range processed by range attenuation correction,m,-3,0,16,m,-3,5
2,2140,Satellite radar beam azimuth angle,Degree,0,0,9,Degree,0,3
2,2141,Measurement type,CCITT IA5,0,0,24,Character,0,3
2,2142,Ozone instrument serial number/identification,CCITT IA5,0,0,32,Character,0,4
2,2143,Ozone instrument type,Code table,0,0,7,Code table,0,3
2,2144,Light source type for Brewer spectrophotometer,Code table,0,0,4,Code table,0,2
2,2145,Wave length setting for Dobson instruments,Code table,0,0,4,Code table,0,2
2,2146,Source conditions for Dobson instruments,Code table,0,0,4,Code table,0,2
2,2148,Data collection and/or location system,Code table,0,0,5,Code table,0,2
2,2149,Type of data buoy,Code table,0,0,6,Code table,0,2
2,2150,TOVS/ATOVS/AVHRR instrumentation channel number,Code table,0,0,6,Code table,0,2
2,2151,Radiometer identifier,Code table,0,0,11,Code table,0,4
2,2152,Satellite instrument used in data processing (see Note 6),Flag table,0,0,31,Flag table,0,10
2,2153,Satellite channel centre frequency,Hz,-8,0,26,Hz,-8,8
2,2154,Satellite channel band width,Hz,-8,0,26,Hz,-8,8
2,2156,Percentage of valid KU ocean retracker measurements,%,0,0,7,%,0,3
2,2157,Percentage of valid S ocean retracker measurements,%,0,0,7,%,0,3
2,2158,RA-2 instrument,Flag table,0,0,9,Flag table,0,3
2,2159,MWR instrument,Flag table,0,0,8,Flag table,0,3
2,2160,Wave length of the radar,Code table,0,0,4,Code table,0,2
2,2163,Height assignment method,Code table,0,0,4,Code table,0,2
2,2164,Tracer correlation method,Code table,0,0,3,Code table,0,1
2,2166,Radiance type,Code table,0,0,4,Code table,0,2
2,2167,Radiance computational method,Code table,0,0,4,Code table,0,2
2,2168,Hydrostatic pressure of lower end of cable (thermistor string),Pa,-3,0,16,kPa,0,5
2,2169,Anemometer type,Code table,0,0,4,Code table,0,2
2,2172,Product type for retrieved atmospheric gases,Code table,0,0,8,Code table,0,3
2,2173,Square of the off-nadir angle (see Note 7),Degree2,4,0,10,Degree2,4,4
2,2174,Mean across track pixel number,Numeric,0,0,9,Numeric,0,3
2,2175,Method of precipitation measurement,Code table,0,0,4,Code table,0,2
2,2176,Method of state of ground measurement,Code table,0,0,4,Code table,0,2
2,2177,Method of snow depth measurement,Code table,0,0,4,Code table,0,2
2,2178,Method of liquid content measurement of precipitation,Code table,0,0,4,Code table,0,2
2,2179,Type of sky condition algorithm,Code table,0,0,4,Code table,0,2
2,2180,Main present weather detecting system,Code table,0,0,4,Code table,0,2
2,2181,Supplementary present weather sensor,Flag table,0,0,21,Flag table,0,7
2,2182,Visibility measurement system,Code table,0,0,4,Code table,0,2
2,2183,Cloud detection system,Code table,0,0,4,Code table,0,2
2,2184,Type of lightning detection sensor,Code table,0,0,4,Code table,0,2
2,2185,Method of evaporation measurement,Code table,0,0,4,Code table,0,2
2,2186,Capability to detect precipitation phenomena,Flag table,0,0,30,Flag table,0,10
2,2187,Capability to detect other weather phenomena,Flag table,0,0,18,Flag table,0,6
2,2188,Capability to detect obscuration,Flag table,0,0,21,Flag table,0,7
2,2189,Capability to discriminate lightning strikes,Flag table,0,0,12,Flag table,0,4
2,2190,Lagrangian drifter submergence (% time submerged),%,0,0,7,%,0,3
4,4001,Year,Year,0,0,12,Year,0,4
4,4002,Month,Month,0,0,4,Month,0,2
4,4003,Day,Day,0,0,6,Day,0,2
4,4004,Hour,Hour,0,0,5,Hour,0,2
4,4005,Minute,Minute,0,0,6,Minute,0,2
4,4006,Second,Second,0,0,6,Second,0,2
4,4007,Seconds within a minute (microsecond accuracy),Second,6,0,26,Second,6,8
4,4011,Time increment,Year,0,-1024,11,Year,0,4
4,4012,Time increment,Month,0,-1024,11,Month,0,4
4,4013,Time increment,Day,0,-1024,11,Day,0,4
4,4014,Time increment,Hour,0,-1024,11,Hour,0,4
4,4015,Time increment,Minute,0,-2048,12,Minute,0,4
4,4016,Time increment,Second,0,-4096,13,Second,0,4
4,4017,Reference time period for accumulated or extreme data,Minute,0,-1440,12,Minute,0,4
4,4021,Time period or displacement,Year,0,-1024,11,Year,0,4
4,4022,Time period or displacement,Month,0,-1024,11,Month,0,4
4,4023,Time period or displacement,Day,0,-1024,11,Day,0,4
4,4024,Time period or displacement,Hour,0,-2048,12,Hour,0,4
4,4025,Time period or displacement,Minute,0,-2048,12,Minute,0,4
4,4026,Time period or displacement,Second,0,-4096,13,Second,0,4
4,4031,Duration of time relating to following value,Hour,0,0,8,Hour,0,3
4,4032,Duration of time relating to following value,Minute,0,0,6,Minute,0,2
4,4041,"Time difference, UTC - LMT (see Note 6)",Minute,0,-1440,12,Minute,0,4
4,4043,Day of the year,Day,0,0,9,Day,0,3
4,4051,Principal time of daily reading of maximum temperature,Hour,0,0,5,Hour,0,2
4,4052,Principal time of daily reading of minimum temperature,Hour,0,0,5,Hour,0,2
4,4053,Number of days with precipitation equal to or more than 1 mm,Numeric,0,0,6,Numeric,0,2
4,4059,Times of observation used to compute the reported mean values,Flag table,0,0,6,Flag table,0,2
4,4065,Short time increment,Minute,0,-128,8,Minute,0,2
4,4073,Short time period or displacement,Day,0,-128,8,Day,0,2
4,4074,Short time period or displacement,Hour,0,-128,8,Hour,0,2
4,4075,Short time period or displacement,Minute,0,-128,8,Minute,0,2
4,4080,Averaging period for following value,Code table,0,0,4,Code table,0,2
4,4086,Long time period or displacement,Second,0,-8192,15,Second,0,5
5,5001,Latitude (high accuracy),Degree,5,-9000000,25,Degree,5,7
5,5002,Latitude (coarse accuracy),Degree,2,-9000,15,Degree,2,4
5,5011,Latitude increment (high accuracy),Degree,5,-9000000,25,Degree,5,7
5,5012,Latitude increment (coarse accuracy),Degree,2,-9000,15,Degree,2,4
5,5015,Latitude displacement (high accuracy),Degree,5,-9000000,25,Degree,5,7
5,5016,Latitude displacement (coarse accuracy),Degree,2,-9000,15,Degree,2,4
5,5021,Bearing or azimuth,Degree true,2,0,16,Degree true,2,5
5,5022,Solar azimuth,Degree true,2,0,16,Degree true,2,5
5,5023,Sun to satellite azimuth difference,Degree,1,-1800,12,Degree,1,4
5,5030,Direction (spectral),Degree,0,0,12,Degree,0,4
5,5031,Row number,Numeric,0,0,12,Numeric,0,4
5,5033,Pixel size on horizontal - 1,m,-1,0,16,m,-1,5
5,5034,Along track row number,Numeric,0,0,11,Numeric,0,4
5,5036,Ship transect number according to SOOP,Numeric,0,0,7,Numeric,0,2
5,5040,Orbit number,Numeric,0,0,24,Numeric,0,8
5,5041,Scan line number,Numeric,0,0,8,Numeric,0,3
5,5042,Channel number,Numeric,0,0,6,Numeric,0,2
5,5043,Field of view number,Numeric,0,0,8,Numeric,0,3
5,5044,Satellite cycle number,Numeric,0,0,11,Numeric,0,4
5,5052,Channel number increment,Numeric,0,0,5,Numeric,0,2
5,5053,Field of view number increment,Numeric,0,0,5,Numeric,0,2
5,5060,Y angular position from centre of gravity,Degree,6,-8000000,24,Degree,6,8
5,5061,Z angular position from centre of gravity,Degree,6,-8000000,24,Degree,6,8
6,6001,Longitude (high accuracy),Degree,5,-18000000,26,Degree,5,8
6,6002,Longitude (coarse accuracy),Degree,2,-18000,16,Degree,2,5
6,6011,Longitude increment (high accuracy),Degree,5,-18000000,26,Degree,5,8
6,6012,Longitude increment (coarse accuracy),Degree,2,-18000,16,Degree,2,5
6,6015,Longitude displacement (high accuracy),Degree,5,-18000000,26,Degree,5,8
6,6016,Longitude displacement (coarse accuracy),Degree,2,-18000,16,Degree,2,5
6,6021,Distance,m,-1,0,13,m,-1,4
6,6030,Wave number (spectral),rad m-1,5,0,13,rad m-1,5,4
6,6031,Column number,Numeric,0,0,12,Numeric,0,4
6,6033,Pixel size on horizontal - 2,m,-1,0,16,m,-1,5
6,6034,Cross-track cell number,Numeric,0,0,7,Numeric,0,3
6,6040,Radius of confidence,m,0,0,13,m,0,4
7,7001,Height of station (see Note 1),m,0,-400,15,m,0,5
7,7002,Height or altitude,m,-1,-40,16,m,-1,5
7,7003,Geopotential,m2 s-2,-1,-400,17,m2 s-2,1,6
7,7004,Pressure,Pa,-1,0,14,Pa,-1,5
7,7005,Height increment,m,0,-400,12,m,0,4
7,7006,Height above station,m,0,0,15,m,0,5
7,7007,Height,m,0,-1000,17,m,0,6
7,7008,Geopotential,m2 s-2,0,-10000,20,m2 s-2,0,7
7,7009,Geopotential height,gpm,0,-1000,17,gpm,0,5
7,7010,Flight level,m,0,-1024,16,ft,-1,5
7,7012,Grid point altitude,m,2,-50000,20,m,2,7
7,7021,Elevation (see Note 2),Degree,2,-9000,15,Degree,2,5
7,7022,Solar elevation,Degree,2,-9000,15,Degree,2,5
7,7024,Satellite zenith angle,Degree,2,-9000,15,Degree,2,5
7,7025,Solar zenith angle,Degree,2,-9000,15,Degree,2,5
7,7026,Satellite zenith angle,Degree,4,-900000,21,Degree,4,7
7,7030,Height of station ground above mean sea level (see Note 3),m,1,-4000,17,m,1,5
7,7031,Height of barometer above mean sea level (see Note 4),m,1,-4000,17,m,1,5
7,7032,Height of sensor above local ground (or deck of marine platform) (see Note 5),m,2,0,16,m,2,5
7,7033,Height of sensor above water surface (see Note 6),m,1,0,12,m,1,4
7,7040,Impact parameter (see Note 7),m,1,62000000,22,m,1,8
7,7061,Depth below land surface,m,2,0,14,m,2,5
7,7062,Depth below sea/water surface,m,1,0,17,m,1,6
7,7063,Depth below sea/water surface (cm),m,2,0,20,m,2,7
7,7064,Representative height of sensor above station (see Note 8),m,0,0,4,m,0,2
7,7065,Water pressure,Pa,-3,0,17,Pa,-3,6
7,7070,Drogue depth,m,0,0,10,m,0,4
8,8001,Vertical sounding significance,Flag table,0,0,7,Flag table,0,3
8,8002,Vertical significance (surface observations),Code table,0,0,6,Code table,0,2
8,8003,Vertical significance (satellite observations),Code table,0,0,6,Code table,0,2
8,8004,Phase of aircraft flight,Code table,0,0,3,Code table,0,1
8,8005,Meteorological attribute significance,Code table,0,0,4,Code table,0,2
8,8006,Ozone vertical sounding significance,Flag table,0,0,9,Flag table,0,3
8,8007,Dimensional significance,Code table,0,0,4,Code table,0,2
8,8008,Radiation vertical sounding significance,Flag table,0,0,9,Flag table,0,3
8,8009,Detailed phase of flight,Code table,0,0,4,Code table,0,2
8,8010,Surface qualifier (temperature data),Code table,0,0,5,Code table,0,2
8,8011,Meteorological feature,Code table,0,0,6,Code table,0,2
8,8012,Land/sea qualifier,Code table,0,0,2,Code table,0,1
8,8013,Day/night qualifier,Code table,0,0,2,Code table,0,1
8,8014,Qualifier for runway visual range,Code table,0,0,4,Code table,0,2
8,8016,Change qualifier of a trend-type forecast or an aerodrome forecast,Code table,0,0,3,Code table,0,1
8,8017,Qualifier of the time when the forecast change is expected,Code table,0,0,2,Code table,0,1
8,8018,SEAWINDS land/ice surface type,Flag table,0,0,17,Flag table,0,6
8,8019,Qualifier for following centre identifier,Code table,0,0,4,Code table,0,2
8,8020,Total number of missing entities (with respect to accumulation or average),Numeric,0,0,16,Numeric,0,5
8,8021,Time significance,Code table,0,0,5,Code table,0,2
8,8022,Total number (with respect to accumulation or average),Numeric,0,0,16,Numeric,0,5
8,8023,First-order statistics,Code table,0,0,6,Code table,0,2
8,8024,Difference statistics,Code table,0,0,6,Code table,0,2
8,8025,Time difference qualifier (see Note 5),Code table,0,0,4,Code table,0,2
8,8026,Matrix significance,Code table,0,0,6,Code table,0,2
8,8029,Remotely-sensed surface type,Code table,0,0,8,Code table,0,3
8,8030,"Manual on Codes (Volume I.1, Section C) Code table from which data are derived",Numeric,0,0,13,Numeric,0,4
8,8031,Data category - CREX table A,Numeric,0,0,8,Numeric,0,3
8,8033,Method of derivation of percentage confidence (see Note 6),Code table,0,0,7,Code table,0,3
8,8035,Type of monitoring exercise,Code table,0,0,3,Code table,0,1
8,8036,Type of centre or station performing monitoring,Code table,0,0,3,Code table,0,1
8,8039,Time significance (Aviation forecast),Code table,0,0,6,Code table,0,2
8,8040,Flight Level significance,Code table,0,0,6,Code table,0,2
8,8041,Data significance,Code table,0,0,5,Code table,0,2
8,8042,Extended vertical sounding significance,Flag table,0,0,18,Flag table,0,6
8,8043,Atmospheric chemical or physical constituent type,Code table,0,0,8,Code table,0,3
8,8049,Number of observations,Numeric,0,0,8,Numeric,0,3
8,8050,Qualifier for number of missing values in calculation of statistic,Code table,0,0,4,Code table,0,2
8,8051,Qualifier for number of missing values in calculation of statistic,Code table,0,0,3,Code table,0,1
8,8052,Condition for which number of days of occurrence follows,Code table,0,0,5,Code table,0,2
8,8053,Day of occurrence qualifier,Code table,0,0,2,Code table,0,1
8,8054,Qualifier for wind speed or wind gusts,Code table,0,0,3,Code table,0,1
8,8060,Sample scanning mode significance,Code table,0,0,4,Code table,0,2
8,8065,Sun-glint indicator,Code table,0,0,2,Code table,0,1
8,8066,Semi-transparency indicator,Code table,0,0,2,Code table,0,1
8,8070,TOVS/ATOVS product qualifier,Code table,0,0,4,Code table,0,2
8,8072,Pixel(s) type,Code table,0,0,3,Code table,0,1
8,8074,Altimeter echo type,Code table,0,0,2,Code table,0,1
8,8075,Ascending/descending orbit qualifier,Code table,0,0,2,Code table,0,1
8,8076,Type of band,Code table,0,0,6,Code table,0,2
8,8077,Radiometer sensed surface type,Code table,0,0,7,Code table,0,3
8,8079,Product status,Code table,0,0,4,Code table,0,2
8,8080,Qualifier for GTSPP quality flag,Code table,0,0,6,Code table,0,2
8,8081,Type of equipment,Code table,0,0,6,Code table,0,2
8,8082,Modification of sensor height to another value,Code table,0,0,3,Code table,0,1
8,8083,Nominal value indicator,Flag table,0,0,15,Flag table,0,5
